,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,0,0,0,0,0,-1,0,-1,83779,0,w1,0,0,83779,16774,-1,117419,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,07/02 00:00:00 EDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,16774,-1,33640,0,-1,0,0,-1,0,1193939,-1,1193940,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,16774,-1,117419,16774,-1,117419,False,False,0,False,0,0,16774,-1,33640,-1,-1,-1,-1,0.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,0,22605,0,22605,22605,-1,0,-1,22605,0,w2,22605,0,22605,16774,-1,117419,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,Above Trend,07/03 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,-5831,-1,94814,0,-1,0,0,-1,0,1230343,-1,1230344,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,16774,-1,117419,16774,-1,117419,True,True,22605,True,0,0,-5831,-1,94814,-1,-1,-1,-1,200.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,-1,-1,-1,4,7510,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,30115,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,16774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,16774,-1,117419,16774,-1,117419,True,True,30115,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,0,3,0,0,-1,0,-1,30115,0,w3,0,0,30115,16774,-1,117419,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,07/05 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,16774,-1,87304,0,-1,0,0,-1,0,1252497,-1,1252498,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,16774,-1,117419,16774,-1,117419,False,True,30115,True,0,0,16774,-1,87304,-1,-1,-1,-1,0.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,0,3,0,0,-1,0,-1,30115,0,w3,0,0,30115,16774,-1,117419,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,07/06 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,16774,-1,87304,0,-1,0,0,-1,0,1262870,-1,1262871,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,16774,-1,117419,16774,-1,117419,False,True,30115,True,0,0,16774,-1,87304,-1,-1,-1,-1,0.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,13500,3,13500,6000,-1,0,-1,36115,0,w3,6000,0,36115,16774,-1,117419,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,Below Trend,07/07 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,10774,-1,81304,0,-1,0,0,-1,0,1273242,-1,1273243,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,16774,-1,117419,16774,-1,117419,False,False,43615,True,0,0,3274,-1,81304,-1,-1,-1,-1,0.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,21000,3,21000,21000,-1,0,-1,64615,0,w3,21000,0,64615,25161,-1,164387,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,07/08 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,4161,-1,99772,0,-1,0,0,-1,0,1293094,-1,1293095,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,16774,-1,117419,25161,-1,164387,False,True,64615,True,0,0,4161,-1,99772,-1,-1,-1,-1,133.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,0,22499,0,22499,22499,-1,0,-1,87114,0,w3,22499,0,87114,25161,-1,164387,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,07/09 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,2662,-1,77273,0,-1,0,0,-1,0,1314748,-1,1314749,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,16774,-1,117419,25161,-1,164387,False,True,87114,True,0,0,2662,-1,77273,-1,-1,-1,-1,400.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,22610,3,22610,15000,-1,0,-1,15000,0,w4,15000,0,15000,25161,-1,164387,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,07/10 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,10161,-1,149387,0,-1,0,0,-1,0,1324529,-1,1324530,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,16774,-1,117419,25161,-1,164387,False,False,22610,True,0,0,2551,-1,149387,-1,-1,-1,-1,200.0,0,117419,16774.0,519994.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SELMA NC KM#4 TP - 00LQ,ULSD,16774,-1,117419,3,30100,3,30100,30100,-1,0,-1,52710,0,w4,30100,0,52710,25161,-1,164387,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,07/11 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,16774,16774,-1,-1,117419,-4939,-1,111677,0,-1,0,0,-1,0,1377670,-1,1377671,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,16774,-1,117419,25161,-1,164387,True,True,52710,True,0,0,-4939,-1,111677,-1,-1,-1,-1,133.0,0,117419,16774.0,519994.0,-1,0,0
