,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,-1,0,7500,0,7500,7500,-1,0,-1,-1,0,w1,7500,0,-1,69300,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,07/02 00:00:00 EDT,-1,w1,1,2015-07-02 00:00:00,Contract,-1,-1,69300,69300,-1,-1,-1,61800,-1,-1,0,-1,-1,0,-1,-1,1193954,-1,-1,2015-07-01 00:00:00,2015-07-01 00:00:00,2015-07-01 00:00:00,Mansfield,-1,-1,69300,-1,-1,69300,-1,-1,False,False,7500,False,0,0,61800,-1,-1,-1,-1,-1,-1,0.0,-1,485100,69300.0,2148300.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,0,42005,0,42005,42005,-1,0,-1,42005,0,w1,42005,0,42005,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/03 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,61945,-1,637135,0,-1,0,0,-1,0,1230358,-1,1230359,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,True,42005,True,0,0,61945,-1,637135,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,-1,-1,-1,4,22300,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,64305,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,69300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,69300,-1,485100,103950,-1,679140,True,True,64305,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,0,3,0,0,-1,0,-1,64305,0,w2,0,0,64305,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/05 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,103950,-1,614835,0,-1,0,0,-1,0,1252512,-1,1252513,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,True,64305,True,0,0,103950,-1,614835,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,14910,3,14910,7500,-1,0,-1,71805,0,w2,7500,0,71805,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/06 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,96450,-1,607335,0,-1,0,0,-1,0,1262885,-1,1262886,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,False,79215,True,0,0,89040,-1,607335,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,91023,3,91023,44433,-1,0,-1,123648,0,w2,44433,0,123648,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,07/07 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,59517,-1,555492,0,-1,0,0,-1,0,1273257,-1,1273258,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,False,170238,True,0,0,12927,-1,555492,-1,-1,-1,-1,400.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,49945,3,49945,49945,-1,0,-1,220183,0,w2,49945,0,220183,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/08 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,54005,-1,458957,0,-1,0,0,-1,0,1293109,-1,1293110,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,True,220183,True,0,0,54005,-1,458957,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,0,18501,0,18501,18501,-1,0,-1,238684,0,w2,18501,0,238684,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/09 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,85449,-1,440456,0,-1,0,0,-1,0,1314763,-1,1314764,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,True,238684,True,0,0,85449,-1,440456,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,95782,3,95782,66096,-1,0,-1,66096,0,w3,66096,0,66096,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Above Trend,07/10 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,37854,-1,613044,0,-1,0,0,-1,0,1324544,-1,1324545,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,False,False,95782,True,0,0,8168,-1,613044,-1,-1,-1,-1,200.0,0,485100,69300.0,2148300.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAMPA FL GATX TP - 00NB,ULSD,69300,-1,485100,3,29700,3,29700,29700,-1,0,-1,125482,0,w3,29700,0,125482,103950,-1,679140,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/11 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,69300,69300,-1,-1,485100,74250,-1,553658,0,-1,0,0,-1,0,1377685,-1,1377686,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,69300,-1,485100,103950,-1,679140,True,True,125482,True,0,0,74250,-1,553658,-1,-1,-1,-1,0.0,0,485100,69300.0,2148300.0,-1,0,0
