,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,0,0,0,2801,1,w1,0,0,0,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Below Trend,Above Trend,07/02 00:00:00 PDT,08/01 00:00:00 PDT,w1,0,2015-07-02 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,8162,-958,0,0,0,0,0,0,1193944,1193946,1193945,2015-07-01 22:07:38,2015-07-01 22:07:38,2015-07-01 22:07:38,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,False,0,True,0,True,263,8162,1843,-1,-1,-1,-1.0,0.0,0,1843.0,263.0,8153.0,-1.0,1,1
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,2800,0,2800,2800,2800,0,2800,2800,1,w2,2800,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,07/03 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,-2537,5362,-957,0,0,0,0,0,0,1230348,1230350,1230349,2015-07-02 15:07:52,2015-07-02 15:07:52,2015-07-02 15:07:52,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,-2537,5362,-957,-1,-1,-1,532.0,2000.0,0,1843.0,263.0,8153.0,532.0,1,1
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/04 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1240716,1240718,1240717,2015-07-03 08:58:33,2015-07-03 08:58:33,2015-07-03 08:58:33,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,354.0,0.0,0,1843.0,263.0,8153.0,354.0,1,1
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/05 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1252502,1252504,1252503,2015-07-04 08:07:42,2015-07-04 08:07:42,2015-07-04 08:07:42,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,266.0,0.0,0,1843.0,263.0,8153.0,266.0,1,1
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/06 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1262875,1262877,1262876,2015-07-05 08:07:39,2015-07-05 08:07:39,2015-07-05 08:07:39,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,213.0,0.0,0,1843.0,263.0,8153.0,213.0,1,1
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/07 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1273247,1273249,1273248,2015-07-06 08:08:36,2015-07-06 08:08:36,2015-07-06 08:08:36,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,177.0,0.0,0,1843.0,263.0,8153.0,177.0,1,1
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/08 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1293099,1293101,1293100,2015-07-07 22:02:18,2015-07-07 22:02:18,2015-07-07 22:02:18,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,152.0,0.0,0,1843.0,263.0,8153.0,152.0,1,1
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,0,0,0,2800,0,2800,2800,1,w2,0,0,2800,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/09 00:00:00 PDT,08/01 00:00:00 PDT,w2,0,2015-07-09 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,-957,0,0,0,0,0,0,1314753,1314755,1314754,2015-07-08 12:08:40,2015-07-08 12:08:40,2015-07-08 12:08:40,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,2800,True,2800,True,263,5362,-957,-1,-1,-1,133.0,0.0,100,1843.0,263.0,8153.0,133.0,1,1
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,3400,3,3400,0,2800,0,2800,0,1,w3,0,0,3400,263,8162,1843,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Below Trend,07/10 00:00:00 PDT,08/01 00:00:00 PDT,w3,0,2015-07-16 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,5362,1843,0,0,0,0,0,0,1324687,1324689,1324688,2015-07-09 17:36:01,2015-07-09 17:36:01,2015-07-09 17:36:01,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,False,True,3400,True,6200,True,-3137,5362,-1557,-1,-1,-1,118.0,2400.0,0,1843.0,263.0,8153.0,262.0,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,263,8162,1843,1,0,3,0,0,6200,0,6200,3400,1,w3,0,0,3400,263,8162,1843,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,07/11 00:00:00 PDT,08/01 00:00:00 PDT,w3,0,2015-07-16 00:00:00,Contract,Contract,Contract,263,263,8162,8162,1843,263,1962,-1557,0,0,0,0,0,0,1377675,1377677,1377676,2015-07-10 22:08:37,2015-07-10 22:08:37,2015-07-10 22:08:37,Mansfield,Mansfield,Mansfield,263,8162,1843,263,8162,1843,True,True,3400,True,6200,True,263,1962,-1557,-1,-1,-1,235.0,0.0,0,1843.0,263.0,8153.0,235.0,1,1
