,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,-1,0,3400,0,3400,3400,-1,0,-1,-1,0,w1,3400,0,-1,1958,-1,-1,Out,-1,-1,40%,40,-1,100,-1,-1,Above Trend,-1,-1,06/02 00:00:00 CDT,-1,w1,1,2015-06-04 00:00:00,Contract,-1,-1,4896,4896,-1,-1,-1,-1442,-1,-1,0,-1,-1,0,-1,-1,195876,-1,-1,2015-06-01 00:00:00,2015-06-01 00:00:00,2015-06-01 00:00:00,Mansfield,-1,-1,4895,-1,-1,1958,-1,-1,False,False,3400,False,0,0,-1442,-1,-1,-1,-1,-1,-1,0.0,-1,34265,4895.0,146850.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,3,14001,3,14001,0,-1,0,-1,8800,0,w1,0,0,8800,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/03 00:00:00 CDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,7344,-1,39177,0,-1,0,0,-1,0,200928,-1,200929,2015-06-02 02:11:50,2015-06-02 00:00:00,2015-06-02 02:11:50,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,False,False,17401,False,0,0,-6657,-1,39177,-1,-1,-1,-1,0.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,0,0,0,0,0,-1,0,-1,22801,0,w1,0,0,22801,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/04 00:00:00 CDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,7344,-1,25176,0,-1,0,0,-1,0,205987,-1,205988,2015-06-03 01:53:11,2015-06-03 00:00:00,2015-06-03 01:53:11,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,False,False,17401,False,0,0,7344,-1,25176,-1,-1,-1,-1,0.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/05 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,7344,-1,47977,0,-1,0,0,-1,0,211046,-1,211047,2015-06-04 06:16:17,2015-06-04 00:00:00,2015-06-04 06:16:17,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,True,True,0,0,0,0,7344,-1,47977,-1,-1,-1,-1,0.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,0,14250,0,14250,14250,-1,0,-1,14250,0,w2,14250,0,14250,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,06/05 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,-6906,-1,33727,0,-1,0,30000,-1,30000,216167,-1,216168,2015-06-05 00:50:25,2015-06-05 00:00:00,2015-06-05 00:50:25,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,True,True,0,0,0,0,-6906,-1,33727,-1,-1,-1,-1,0.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,4896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,4896,-1,34269,7344,-1,47977,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,34269,4896.0,146880.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,4896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,3,5000,3,5000,5000,-1,0,-1,39995,0,w3,5000,0,39995,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,06/09 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,2344,-1,16341,0,-1,8359,60000,-1,60000,226347,-1,226348,2015-06-08 12:53:27,2015-06-08 00:00:00,2015-06-08 12:53:27,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,False,False,0,0,0,0,2344,-1,7982,-1,-1,-1,-1,400.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,3,13700,3,13700,0,-1,0,-1,39995,0,w3,0,0,39995,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,06/10 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,7344,-1,16341,0,-1,8359,0,-1,0,231405,-1,231406,2015-06-09 01:14:01,2015-06-09 00:00:00,2015-06-09 01:14:01,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,False,False,0,0,0,0,-6356,-1,7982,-1,-1,-1,-1,0.0,0,34269,4896.0,146880.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,4896,-1,34269,0,5200,0,5200,5200,-1,0,-1,58895,0,w3,5200,0,58895,7344,-1,47977,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Above Trend,06/11 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4896,4896,-1,-1,34269,2144,-1,-2559,0,-1,8359,7500,-1,7500,244534,-1,244535,2015-06-10 16:32:18,2015-06-10 00:00:00,2015-06-10 16:32:18,Mansfield,-1,Mansfield,4896,-1,34269,7344,-1,47977,False,False,0,0,0,0,2144,-1,-10918,-1,-1,8359,-1,200.0,100,34269,4896.0,146880.0,-1,0,0
