,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/02 00:00:00 EDT,-1,w1,1,2015-06-04 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,0,-1,-1,195890,-1,-1,2015-06-01 00:00:00,2015-06-01 00:00:00,2015-06-01 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,False,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/03 00:00:00 EDT,-1,w1,1,2015-06-04 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,0,-1,-1,200944,-1,-1,2015-06-02 00:00:00,2015-06-02 00:00:00,2015-06-02 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,False,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/04 00:00:00 EDT,-1,w1,1,2015-06-04 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,15000,-1,-1,206003,-1,-1,2015-06-03 00:00:00,2015-06-03 00:00:00,2015-06-03 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,False,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/05 00:00:00 EDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,15000,-1,-1,211065,-1,-1,2015-06-04 00:00:00,2015-06-04 00:00:00,2015-06-04 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,0,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/06 00:00:00 EDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,0,-1,-1,216186,-1,-1,2015-06-05 00:00:00,2015-06-05 00:00:00,2015-06-05 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,0,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,50778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,50778,-1,-1,50778,-1,-1,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,355446,50778.0,1523340.0,-1,1,1
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,50778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/09 00:00:00 EDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,0,-1,-1,226366,-1,-1,2015-06-08 00:00:00,2015-06-08 00:00:00,2015-06-08 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,0,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,50778,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,06/10 00:00:00 EDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,50778,50778,-1,-1,-1,50778,-1,-1,0,-1,-1,0,-1,-1,231424,-1,-1,2015-06-09 00:00:00,2015-06-09 00:00:00,2015-06-09 00:00:00,Mansfield,-1,-1,50778,-1,-1,50778,-1,-1,False,False,0,0,0,0,50778,-1,-1,-1,-1,-1,-1,0.0,-1,355446,50778.0,1523340.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,JACKSONVILLE FL SUPP EX - 00PH,ULSD,50778,-1,355446,0,36800,0,36800,36800,-1,0,-1,161600,0,w1,36800,0,161600,76167,-1,497624,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/11 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,50778,50778,-1,-1,355446,39367,-1,336024,0,-1,0,0,-1,0,244551,-1,244552,2015-06-10 16:32:18,2015-06-10 00:00:00,2015-06-10 16:32:18,Mansfield,-1,Mansfield,50778,-1,355446,76167,-1,497624,False,False,0,0,0,0,39367,-1,336024,-1,-1,-1,-1,0.0,0,355446,50778.0,1523340.0,-1,0,0
