,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,3,44574,3,44574,7505,-1,0,-1,111524,0,w1,7505,0,111524,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/02 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,77125,-1,441392,0,-1,0,0,-1,0,195928,-1,195929,2015-06-01 05:59:07,2015-06-01 00:00:00,2015-06-01 05:59:07,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,44574,False,0,0,40056,-1,441392,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,3,22301,3,22301,0,-1,0,-1,148593,0,w1,0,0,148593,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/03 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,84630,-1,404323,0,-1,0,0,-1,0,200983,-1,200984,2015-06-02 02:11:50,2015-06-02 00:00:00,2015-06-02 02:11:50,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,66875,False,0,0,62329,-1,404323,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,0,0,0,0,0,-1,0,-1,170894,0,w1,0,0,170894,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/04 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,84630,-1,382022,0,-1,0,0,-1,0,206042,-1,206043,2015-06-03 01:53:11,2015-06-03 00:00:00,2015-06-03 01:53:11,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,66875,False,0,0,84630,-1,382022,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,3,36999,3,36999,0,-1,0,-1,0,0,w2,0,0,0,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/05 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,84630,-1,552916,0,-1,0,0,-1,0,211106,-1,211107,2015-06-04 06:16:17,2015-06-04 00:00:00,2015-06-04 06:16:17,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,0,0,0,0,47631,-1,552916,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,0,0,0,0,0,-1,0,-1,36999,0,w2,0,0,36999,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/06 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,84630,-1,515917,0,-1,0,0,-1,0,216227,-1,216228,2015-06-05 00:50:25,2015-06-05 00:00:00,2015-06-05 00:50:25,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,True,True,0,0,0,0,84630,-1,515917,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,56420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,56420,-1,394940,84630,-1,552916,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,394940,56420.0,1692600.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,56420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,3,44479,3,44479,29904,-1,0,-1,208129,0,w3,29904,0,208129,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/09 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,54726,-1,344787,0,-1,0,0,-1,0,226407,-1,226408,2015-06-08 12:53:27,2015-06-08 00:00:00,2015-06-08 12:53:27,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,0,0,0,0,40151,-1,344787,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,3,22001,3,22001,0,-1,0,-1,222704,0,w3,0,0,222704,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/10 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,84630,-1,330212,0,-1,0,0,-1,0,231464,-1,231465,2015-06-09 01:14:01,2015-06-09 00:00:00,2015-06-09 01:14:01,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,0,0,0,0,62629,-1,330212,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ROANOKE VA KM SET2 TP - 00WT,ULSD,56420,-1,394940,0,14801,0,14801,14801,-1,0,-1,259506,0,w3,14801,0,259506,84630,-1,552916,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/11 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,56420,56420,-1,-1,394940,69829,-1,293410,0,-1,0,0,-1,0,244593,-1,244594,2015-06-10 16:32:18,2015-06-10 00:00:00,2015-06-10 16:32:18,Mansfield,-1,Mansfield,56420,-1,394940,84630,-1,552916,False,False,0,0,0,0,69829,-1,293410,-1,-1,-1,-1,0.0,0,394940,56420.0,1692600.0,-1,0,0
