,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-06-04 00:00:00,-1,-1,-1,10939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-01 00:00:00,2015-06-01 00:00:00,2015-06-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-06-04 00:00:00,-1,-1,-1,10939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-02 00:00:00,2015-06-02 00:00:00,2015-06-02 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,76571,0,0,3,0,0,-1,0,-1,0,0,w1,0,0,0,4376,-1,30628,Available,-1,Available,40%,40,-1,100,40%,40,Below Trend,-1,Below Trend,06/04 00:00:00 CDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,10939,10939,-1,-1,76571,4376,-1,30628,0,-1,0,0,-1,0,206047,-1,206048,2015-06-03 01:53:11,2015-06-03 00:00:00,2015-06-03 01:53:11,Mansfield,-1,Mansfield,10940,-1,76570,4376,-1,30628,False,False,0,0,0,0,4376,-1,30628,-1,-1,-1,-1,0.0,0,76570,10939.0,328170.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,76571,3,0,3,0,0,-1,0,-1,0,0,w1,0,0,0,4376,-1,30628,Available,-1,Available,40%,40,-1,100,40%,40,Below Trend,-1,Below Trend,06/05 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,10939,10939,-1,-1,76571,4376,-1,30628,0,-1,0,0,-1,0,211111,-1,211112,2015-06-04 06:16:17,2015-06-04 00:00:00,2015-06-04 06:16:17,Mansfield,-1,Mansfield,10940,-1,76570,4376,-1,30628,False,True,0,0,0,0,4376,-1,30628,-1,-1,-1,-1,0.0,0,76570,10939.0,328170.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,76571,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4376,-1,30628,Available,-1,Available,40%,40,-1,100,40%,40,Below Trend,-1,Below Trend,06/05 00:00:00 CDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,10939,10939,-1,-1,76571,4376,-1,30628,0,-1,0,0,-1,0,216232,-1,216233,2015-06-05 00:50:25,2015-06-05 00:00:00,2015-06-05 00:50:25,Mansfield,-1,Mansfield,10940,-1,76570,4376,-1,30628,False,True,0,0,0,0,4376,-1,30628,-1,-1,-1,-1,0.0,0,76570,10939.0,328170.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,100,-1,40,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,10939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,10940,-1,76570,4376,-1,30628,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,76570,10939.0,328170.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,100,-1,40,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,10939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w2,0,0,-1,13674,-1,-1,Available,-1,-1,125%,125,-1,100,-1,40,Below Trend,-1,-1,06/09 00:00:00 CDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,10939,10939,-1,-1,-1,13674,-1,-1,0,-1,-1,0,-1,-1,226412,-1,-1,2015-06-08 00:00:00,2015-06-08 00:00:00,2015-06-08 00:00:00,Mansfield,-1,-1,10939,-1,-1,13674,-1,-1,False,False,0,0,0,0,13674,-1,-1,-1,-1,-1,-1,0.0,-1,76573,10939.0,328170.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w2,0,0,-1,13674,-1,-1,Available,-1,-1,125%,125,-1,100,-1,40,Below Trend,-1,-1,06/10 00:00:00 CDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,10939,10939,-1,-1,-1,13674,-1,-1,0,-1,-1,0,-1,-1,231469,-1,-1,2015-06-09 00:00:00,2015-06-09 00:00:00,2015-06-09 00:00:00,Mansfield,-1,-1,10939,-1,-1,13674,-1,-1,False,False,0,0,0,0,13674,-1,-1,-1,-1,-1,-1,0.0,-1,76573,10939.0,328170.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SAN ANTONIO TX (MOC) - 00K3,ULSD,10939,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w2,0,0,-1,13674,-1,-1,Available,-1,-1,125%,125,-1,100,-1,40,Below Trend,-1,-1,06/11 00:00:00 CDT,-1,w2,1,2015-06-11 00:00:00,Contract,-1,-1,10939,10939,-1,-1,-1,13674,-1,-1,0,-1,-1,0,-1,-1,244598,-1,-1,2015-06-10 00:00:00,2015-06-10 00:00:00,2015-06-10 00:00:00,Mansfield,-1,-1,10939,-1,-1,13674,-1,-1,False,False,0,0,0,0,13674,-1,-1,-1,-1,-1,-1,0.0,-1,76573,10939.0,328170.0,-1,0,0
