,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,3,0,3,0,0,-1,0,-1,14299,0,w1,0,0,14299,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,Below Trend,-1,Below Trend,06/02 00:00:00 PDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,4834,-1,19538,0,-1,0,0,-1,0,195936,-1,195937,2015-06-01 05:59:07,2015-06-01 00:00:00,2015-06-01 05:59:07,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,0,False,0,0,4834,-1,19538,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,3,1000,3,1000,1000,-1,0,-1,15299,0,w1,1000,0,15299,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,Below Trend,-1,Below Trend,06/02 00:00:00 PDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,3834,-1,18538,0,-1,0,0,-1,0,200991,-1,200992,2015-06-02 02:11:50,2015-06-02 00:00:00,2015-06-02 02:11:50,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,1000,False,0,0,3834,-1,18538,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,0,10801,0,10801,10801,-1,0,-1,26100,0,w1,10801,0,26100,4834,-1,33837,Out,-1,Out,100%,100,-1,-1,100%,100,Above Trend,-1,On Track,06/03 00:00:00 PDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,-5967,-1,7737,0,-1,0,0,-1,0,206052,-1,206053,2015-06-03 01:53:11,2015-06-03 00:00:00,2015-06-03 01:53:11,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,11801,False,0,0,-5967,-1,7737,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,Below Trend,-1,Below Trend,06/05 00:00:00 PDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,4834,-1,33837,0,-1,0,0,-1,0,211116,-1,211117,2015-06-04 06:16:17,2015-06-04 00:00:00,2015-06-04 06:16:17,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,True,True,0,0,0,0,4834,-1,33837,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,0,5400,0,5400,5400,-1,0,-1,5400,0,w2,5400,0,5400,4834,-1,33837,Out,-1,Out,100%,100,-1,-1,100%,100,Above Trend,-1,Above Trend,06/05 00:00:00 PDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,-566,-1,28437,0,-1,0,0,-1,0,216237,-1,216238,2015-06-05 00:50:25,2015-06-05 00:00:00,2015-06-05 00:50:25,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,True,True,0,0,0,0,-566,-1,28437,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,100,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,4834,-1,145014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,4834,-1,33837,4834,-1,33837,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,33837.0,4834.0,145020.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,100,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,4834,-1,145014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,3,0,3,0,2000,-1,0,-1,19201,0,w3,2000,0,19201,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,On Track,-1,On Track,06/09 00:00:00 PDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,2834,-1,14636,0,-1,0,0,-1,0,226416,-1,226417,2015-06-08 12:53:27,2015-06-08 00:00:00,2015-06-08 12:53:27,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,0,0,0,0,4834,-1,14636,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,3,9500,3,9500,2000,-1,0,-1,19201,0,w3,2000,0,19201,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,Below Trend,-1,On Track,06/09 00:00:00 PDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,2834,-1,14636,0,-1,0,0,-1,0,231473,-1,231474,2015-06-09 01:14:01,2015-06-09 00:00:00,2015-06-09 01:14:01,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,0,0,0,0,-4666,-1,14636,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,SPOKANE WA (MOC) - 00KJ,ULSD,4834,-1,33837,0,0,0,0,0,-1,0,-1,26701,0,w3,0,0,26701,4834,-1,33837,Available,-1,Available,100%,100,-1,-1,100%,100,Below Trend,-1,On Track,06/11 00:00:00 PDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,4834,4834,145014,-1,33837,4834,-1,7136,0,-1,0,0,-1,0,244602,-1,244603,2015-06-10 16:32:18,2015-06-10 00:00:00,2015-06-10 16:32:18,Mansfield,-1,Mansfield,4834,-1,33837,4834,-1,33837,False,False,0,0,0,0,4834,-1,7136,-1,-1,-1,-1.0,0.0,0,33837.0,4834.0,145020.0,-1,0,0
