,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/02 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,467852,0,-1,0,0,-1,0,195942,-1,195943,2015-06-01 05:59:07,2015-06-01 00:00:00,2015-06-01 05:59:07,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,0,True,0,0,71610,-1,467852,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/03 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,467852,0,-1,0,0,-1,0,200997,-1,200998,2015-06-02 02:11:50,2015-06-02 00:00:00,2015-06-02 02:11:50,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,0,True,0,0,71610,-1,467852,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/04 00:00:00 EDT,-1,w1,0,2015-06-04 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,467852,0,-1,0,0,-1,0,206058,-1,206059,2015-06-03 01:53:11,2015-06-03 00:00:00,2015-06-03 01:53:11,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,0,True,0,0,71610,-1,467852,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/05 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,467852,0,-1,0,0,-1,0,211122,-1,211123,2015-06-04 06:16:17,2015-06-04 00:00:00,2015-06-04 06:16:17,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,0,0,0,0,71610,-1,467852,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/06 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,467852,0,-1,0,0,-1,0,216243,-1,216244,2015-06-05 00:50:25,2015-06-05 00:00:00,2015-06-05 00:50:25,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,0,0,0,0,71610,-1,467852,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,47740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,47740,-1,334180,71610,-1,467852,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,334180,47740.0,1432200.0,-1,1,1
2015-06-07,2015-06-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,47740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,3,41499,3,41499,37498,-1,0,-1,44998,0,w2,37498,0,44998,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,06/09 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,34112,-1,422854,0,-1,0,0,-1,0,226422,-1,226423,2015-06-08 12:53:27,2015-06-08 00:00:00,2015-06-08 12:53:27,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,False,False,0,0,0,0,30111,-1,422854,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,3,24600,3,24600,0,-1,0,-1,48999,0,w2,0,0,48999,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/10 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,418853,0,-1,0,0,-1,0,231479,-1,231480,2015-06-09 01:14:01,2015-06-09 00:00:00,2015-06-09 01:14:01,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,False,False,0,0,0,0,47010,-1,418853,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,TAFT FL CFPL TP - 00N1,ULSD,47740,-1,334180,0,37550,0,37550,37550,-1,0,-1,111149,0,w2,37550,0,111149,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,06/11 00:00:00 EDT,-1,w2,0,2015-06-11 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,34060,-1,356703,0,-1,0,0,-1,0,244608,-1,244609,2015-06-10 16:32:18,2015-06-10 00:00:00,2015-06-10 16:32:18,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,False,False,0,0,0,0,34060,-1,356703,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
