,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,53466,0,0,0,0,0,-1,0,-1,7501,0,w1,0,0,7501,7638,-1,53466,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,11/02 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,7638,7638,-1,-1,53466,7638,-1,45965,0,-1,0,0,-1,0,7363652,-1,7363653,2015-11-01 22:05:41,2015-11-01 00:00:00,2015-11-01 22:05:41,Mansfield,-1,Mansfield,7638,-1,53466,7638,-1,53466,True,True,0,False,0,0,7638,-1,45965,-1,-1,-1,-1,0.0,0,53466,7638.0,229140.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,-1,-1,-1,4,7505,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,15006,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,7638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,7638,-1,53466,7638,-1,53466,True,True,7505,False,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,53466,7638.0,229140.0,-1,1,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,53466,3,7501,3,7501,7501,-1,0,-1,22507,0,w2,7501,0,22507,7638,-1,53466,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,Below Trend,11/04 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,7638,7638,-1,-1,53466,137,-1,30959,0,-1,0,0,-1,0,7474522,-1,7474523,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,7638,-1,53466,7638,-1,53466,False,True,15006,False,0,0,137,-1,30959,-1,-1,-1,-1,0.0,0,53466,7638.0,229140.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,53466,0,14997,0,14997,14997,-1,0,-1,37504,0,w2,14997,0,37504,7638,-1,53466,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,Below Trend,11/05 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,7638,7638,-1,-1,53466,-7359,-1,15962,0,-1,0,0,-1,0,7698366,-1,7698367,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,7638,-1,53466,7638,-1,53466,False,True,30003,False,0,0,-7359,-1,15962,-1,-1,-1,-1,133.0,0,53466,7638.0,229140.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,7638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,7638,-1,53466,7638,-1,53466,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,53466,7638.0,229140.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w3,0,0,-1,9548,-1,-1,Available,-1,-1,125%,125,-1,100,-1,100,Below Trend,-1,-1,11/07 00:00:00 EST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,7638,7638,-1,-1,-1,9548,-1,-1,0,-1,-1,0,-1,-1,7884695,-1,-1,2015-11-06 00:00:00,2015-11-06 00:00:00,2015-11-06 00:00:00,Mansfield,-1,-1,7638,-1,-1,9548,-1,-1,True,True,0,0,0,0,9548,-1,-1,-1,-1,-1,-1,0.0,-1,53466,7638.0,229140.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w3,0,0,-1,9548,-1,-1,Available,-1,-1,125%,125,-1,100,-1,100,Below Trend,-1,-1,11/08 00:00:00 EST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,7638,7638,-1,-1,-1,9548,-1,-1,0,-1,-1,0,-1,-1,7928193,-1,-1,2015-11-07 00:00:00,2015-11-07 00:00:00,2015-11-07 00:00:00,Mansfield,-1,-1,7638,-1,-1,9548,-1,-1,True,True,0,0,0,0,9548,-1,-1,-1,-1,-1,-1,0.0,-1,53466,7638.0,229140.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w3,0,0,-1,9548,-1,-1,Available,-1,-1,125%,125,-1,100,-1,100,Below Trend,-1,-1,11/09 00:00:00 EST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,7638,7638,-1,-1,-1,9548,-1,-1,0,-1,-1,0,-1,-1,7976099,-1,-1,2015-11-08 00:00:00,2015-11-08 00:00:00,2015-11-08 00:00:00,Mansfield,-1,-1,7638,-1,-1,9548,-1,-1,True,True,0,0,0,0,9548,-1,-1,-1,-1,-1,-1,0.0,-1,53466,7638.0,229140.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,-1,0,7497,0,7497,7497,-1,0,-1,-1,0,w3,7497,0,-1,9548,-1,-1,Available,-1,-1,125%,125,-1,100,-1,100,On Track,-1,-1,11/10 00:00:00 EST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,7638,7638,-1,-1,-1,2051,-1,-1,0,-1,-1,0,-1,-1,8026111,-1,-1,2015-11-09 00:00:00,2015-11-09 00:00:00,2015-11-09 00:00:00,Mansfield,-1,-1,7638,-1,-1,9548,-1,-1,False,False,0,0,0,0,2051,-1,-1,-1,-1,-1,-1,0.0,-1,53466,7638.0,229140.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BELTON SC BUCKEYE TP - 02EM,ULSD,7638,-1,-1,0,15001,0,15001,15001,-1,0,-1,-1,0,w3,15001,0,-1,9548,-1,-1,Out,-1,-1,125%,125,-1,100,-1,100,Above Trend,-1,-1,11/11 00:00:00 EST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,7638,7638,-1,-1,-1,-5454,-1,-1,0,-1,-1,0,-1,-1,8078744,-1,-1,2015-11-10 00:00:00,2015-11-10 00:00:00,2015-11-10 00:00:00,Mansfield,-1,-1,7638,-1,-1,9548,-1,-1,False,False,0,0,0,0,-5453,-1,-1,-1,-1,-1,-1,0.0,-1,53466,7638.0,229140.0,-1,0,0
