,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,1,0,0,0,0,0,0,0,700,1,w1,0,0,0,3088,92640,21616,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,11/02 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-05 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,3088,92640,20916,0,0,0,0,0,0,7363680,7363682,7363681,2015-11-01 22:05:41,2015-11-01 22:05:41,2015-11-01 22:05:41,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,True,False,0,True,0,False,3088,92640,21616,-1,-1,-1,-1.0,0.0,0,21616.0,3088.0,92640.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,-1,-1,-1,2,0,0,-1,-1,-1,2,0,-1,2,w2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,3088,-1,92640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,3088,92640,21616,3088,92640,21616,True,False,0,True,0,False,-1,-1,-1,-1,-1,-1,-1.0,0.0,0,21616.0,3088.0,92640.0,-1.0,0,1
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,3,8220,3,7520,7520,7520,0,7520,8220,1,w2,7520,0,7520,3088,92640,21616,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,On Track,Below Trend,11/04 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-05 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,-4432,85120,13396,0,0,0,0,0,0,7474549,7474551,7474550,2015-11-03 22:03:53,2015-11-03 22:03:53,2015-11-03 22:03:53,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,False,False,8220,True,8220,False,-5132,85120,14096,-1,-1,-1,81.0,267.0,0,21616.0,3088.0,92640.0,89.0,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,0,7300,0,7300,7300,14820,0,14820,15520,0,w2,7300,0,15520,3088,92640,21616,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,On Track,Below Trend,11/05 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-05 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,-4212,77820,6096,0,0,0,0,0,0,7698393,7698395,7698394,2015-11-04 23:34:54,2015-11-04 23:34:54,2015-11-04 23:34:54,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,False,False,15520,True,15520,False,-4212,77820,6096,-1,-1,-1,120.0,267.0,0,21616.0,3088.0,92640.0,126.0,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,-1,-1,-1,2,7000,0,-1,-1,-1,2,21820,-1,2,w3,-1,0,7000,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,3088,-1,92640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,3088,92640,21616,3088,92640,21616,True,True,7000,True,22520,False,-1,-1,-1,-1,-1,-1,141.0,0.0,0,21616.0,3088.0,92640.0,146.0,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,1,1000,3,1000,1000,22820,0,22820,8000,1,w3,1000,0,8000,3088,92640,21616,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,11/07 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-12 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,2088,69820,13616,0,0,0,0,0,0,7884723,7884725,7884724,2015-11-06 22:07:09,2015-11-06 22:07:09,2015-11-06 22:07:09,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,False,True,8000,True,23520,False,2088,69820,13616,-1,-1,-1,123.0,0.0,0,21616.0,3088.0,92640.0,127.0,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,3,0,3,0,0,22820,0,22820,8000,1,w3,0,0,8000,3088,92640,21616,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,On Track,11/08 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-12 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,3088,69820,13616,0,0,0,0,0,0,7928221,7928223,7928222,2015-11-07 22:09:30,2015-11-07 22:09:30,2015-11-07 22:09:30,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,False,True,8000,True,23520,False,3088,69820,13616,-1,-1,-1,106.0,0.0,0,21616.0,3088.0,92640.0,109.0,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,92640,21616,3,0,3,0,0,22820,0,22820,8000,0,w3,0,0,8000,3088,92640,21616,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,Below Trend,11/09 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-12 00:00:00,Contract,Contract,Contract,3088,3088,92640,92640,21616,3088,69820,13616,0,0,0,0,0,0,7976127,7976129,7976128,2015-11-08 22:05:08,2015-11-08 22:05:08,2015-11-08 22:05:08,Mansfield,Mansfield,Mansfield,3088,92640,21616,3088,92640,21616,False,True,8000,True,23520,False,3088,69820,13616,-1,-1,-1,92.0,0.0,0,21616.0,3088.0,92640.0,95.0,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,-1,21616,3,0,3,0,0,-1,0,-1,8000,0,w3,0,0,8000,4632,-1,30262,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/10 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,3088,3088,92640,-1,21616,4632,-1,22262,0,-1,0,0,-1,0,8026141,-1,8026142,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,3088,92640,21616,4632,92640,30262,False,True,8000,True,23520,False,4632,-1,22262,-1,-1,-1,-1.0,0.0,0,21616.0,3088.0,92640.0,85.0,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,HAMMOND IN (MOC) - 00DH,ULSD,3088,-1,21616,3,3000,3,3000,3000,-1,0,-1,11000,0,w3,3000,0,11000,4632,-1,30262,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/11 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,3088,3088,92640,-1,21616,1632,-1,19262,0,-1,0,0,-1,0,8078774,-1,8078775,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,3088,-1,21616,4632,-1,30262,False,True,11000,True,26520,False,1632,-1,19262,-1,-1,-1,-1.0,0.0,0,21616.0,3088.0,92640.0,-1.0,0,0
