,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,390600,91140,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,13020,390600,91140,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,11/02 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-05 00:00:00,Contract,Contract,Contract,13020,13020,390600,390600,91140,13020,390600,91140,0,0,0,0,0,0,7363715,7363717,7363716,2015-11-01 22:05:41,2015-11-01 22:05:41,2015-11-01 22:05:41,Mansfield,Mansfield,Mansfield,13020,390600,91140,13020,390600,91140,True,True,0,True,0,False,13020,390600,91140,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,-1,-1,-1,4,13004,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,13004,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,13020,-1,390600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,13020,390600,91140,13020,390600,91140,True,True,13004,True,13004,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,50.0,1,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,14254,3,14254,14254,-1,0,-1,27258,0,w2,14254,0,27258,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/04 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,5276,-1,100338,0,-1,0,0,-1,0,7474584,-1,7474585,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,27258,True,27258,False,5276,-1,100338,-1,-1,-1,-1,133.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,0,7504,0,7504,7504,-1,0,-1,34762,0,w2,7504,0,34762,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/05 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,12026,-1,92834,0,-1,0,0,-1,0,7698427,-1,7698428,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,34762,True,34762,False,12026,-1,92834,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,-1,-1,-1,6,21854,0,-1,-1,-1,0,-1,-1,6,w3,-1,0,21854,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,13020,-1,390600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,13020,-1,91140,19530,-1,127596,True,True,21854,True,56616,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,0,3,0,0,-1,0,-1,21854,0,w3,0,0,21854,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/07 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,19530,-1,105742,0,-1,0,0,-1,0,7884759,-1,7884760,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,21854,True,56616,False,19530,-1,105742,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,0,3,0,0,-1,0,-1,21854,0,w3,0,0,21854,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/08 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,19530,-1,105742,0,-1,0,0,-1,0,7928257,-1,7928258,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,21854,True,56616,False,19530,-1,105742,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,0,3,0,0,-1,0,-1,21854,0,w3,0,0,21854,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/09 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,19530,-1,105742,0,-1,0,0,-1,0,7976163,-1,7976164,2015-11-08 22:05:08,2015-11-08 00:00:00,2015-11-08 22:05:08,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,21854,True,56616,False,19530,-1,105742,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,7257,3,7257,7257,-1,0,-1,29111,0,w3,7257,0,29111,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/10 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,12273,-1,98485,0,-1,0,0,-1,0,8026176,-1,8026177,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,29111,True,63873,False,12273,-1,98485,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NILES MI BUCK NORTH TP - 00U8,ULSD,13020,-1,91140,3,6501,3,6501,6501,-1,0,-1,35612,0,w3,6501,0,35612,19530,-1,127596,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/11 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,13020,13020,390600,-1,91140,13029,-1,91984,0,-1,0,0,-1,0,8078809,-1,8078810,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,13020,-1,91140,19530,-1,127596,False,True,35612,True,70374,False,13029,-1,91984,-1,-1,-1,-1,0.0,0,91140.0,13020.0,390600.0,-1.0,0,0
