,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,6273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/02 00:00:00 CST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,6273,-1,-1,0,-1,-1,0,-1,-1,7363719,-1,-1,2015-11-01 00:00:00,2015-11-01 00:00:00,2015-11-01 00:00:00,Mansfield,-1,-1,6273,-1,-1,6273,-1,-1,True,True,0,0,0,0,6273,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,6273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,6273,-1,-1,6273,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,43911,6273.0,188190.0,-1,1,1
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,43910,3,8303,3,8303,8303,-1,0,-1,41906,0,w1,8303,0,41906,9410,-1,61474,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,11/04 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,6273,6273,-1,-1,43910,1107,-1,19568,0,-1,0,0,-1,0,7474588,-1,7474589,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,6273,-1,43910,9410,-1,61474,False,False,0,0,0,0,1107,-1,19568,-1,-1,-1,-1,133.0,0,43910,6273.0,188190.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,43910,0,6000,0,6000,6000,-1,0,-1,47906,0,w1,6000,0,47906,9410,-1,61474,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/05 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,6273,6273,-1,-1,43910,3410,-1,13568,0,-1,0,0,-1,0,7698431,-1,7698432,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,6273,-1,43910,9410,-1,61474,False,False,0,0,0,0,3410,-1,13568,-1,-1,-1,-1,0.0,100,43910,6273.0,188190.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,6273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,6273,-1,43910,9410,-1,61474,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,43910,6273.0,188190.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,8401,0,8401,8401,-1,0,-1,-1,0,w2,8401,0,-1,9410,-1,-1,Available,-1,-1,150%,150,-1,100,-1,140,On Track,-1,-1,11/07 00:00:00 CST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,1009,-1,-1,0,-1,-1,0,-1,-1,7884762,-1,-1,2015-11-06 00:00:00,2015-11-06 00:00:00,2015-11-06 00:00:00,Mansfield,-1,-1,6273,-1,-1,9410,-1,-1,False,False,0,0,0,0,1009,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,8400,0,8400,8400,-1,0,-1,-1,0,w2,8400,0,-1,9410,-1,-1,Available,-1,-1,150%,150,-1,100,-1,140,On Track,-1,-1,11/08 00:00:00 CST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,1010,-1,-1,0,-1,-1,0,-1,-1,7928260,-1,-1,2015-11-07 00:00:00,2015-11-07 00:00:00,2015-11-07 00:00:00,Mansfield,-1,-1,6273,-1,-1,9410,-1,-1,False,False,0,0,0,0,1010,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w2,0,0,-1,9410,-1,-1,Available,-1,-1,150%,150,-1,100,-1,140,Below Trend,-1,-1,11/09 00:00:00 CST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,9410,-1,-1,0,-1,-1,0,-1,-1,7976166,-1,-1,2015-11-08 00:00:00,2015-11-08 00:00:00,2015-11-08 00:00:00,Mansfield,-1,-1,6273,-1,-1,9410,-1,-1,False,False,0,0,0,0,9410,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,7300,0,7300,7300,-1,0,-1,-1,0,w2,7300,0,-1,9410,-1,-1,Available,-1,-1,150%,150,-1,100,-1,140,On Track,-1,-1,11/10 00:00:00 CST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,2110,-1,-1,0,-1,-1,0,-1,-1,8026179,-1,-1,2015-11-09 00:00:00,2015-11-09 00:00:00,2015-11-09 00:00:00,Mansfield,-1,-1,6273,-1,-1,9410,-1,-1,False,False,0,0,0,0,2110,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NORTH LITTLE ROCK AR JPENERGY TP - 02EG,Regular Conventional / E10,6273,-1,-1,0,7749,0,7749,7749,-1,0,-1,-1,0,w2,7749,0,-1,9410,-1,-1,Available,-1,-1,150%,150,-1,100,-1,140,On Track,-1,-1,11/11 00:00:00 CST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,6273,6273,-1,-1,-1,1661,-1,-1,0,-1,-1,0,-1,-1,8078812,-1,-1,2015-11-10 00:00:00,2015-11-10 00:00:00,2015-11-10 00:00:00,Mansfield,-1,-1,6273,-1,-1,9410,-1,-1,False,False,0,0,0,0,1661,-1,-1,-1,-1,-1,-1,0.0,-1,43911,6273.0,188190.0,-1,0,0
