,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,0,0,0,0,0,-1,0,-1,62051,0,w1,0,0,62051,25347,-1,165603,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/02 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,25347,-1,103552,0,-1,0,0,-1,0,7363720,-1,7363721,2015-11-01 22:05:41,2015-11-01 00:00:00,2015-11-01 22:05:41,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,True,True,0,False,0,False,25347,-1,103552,-1,-1,-1,-1,0.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,-1,-1,-1,4,15001,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,77052,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,16898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,16898,-1,118288,25347,-1,165603,True,True,15001,False,15001,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,118288,16898.0,506940.0,-1,1,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,22503,3,22503,22503,-1,0,-1,99555,0,w2,22503,0,99555,25347,-1,165603,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,11/04 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,2844,-1,66048,0,-1,0,0,-1,0,7474590,-1,7474591,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,37504,False,37504,False,2844,-1,66048,-1,-1,-1,-1,133.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,0,29999,0,29999,29999,-1,0,-1,129554,0,w2,29999,0,129554,25347,-1,165603,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,11/05 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,-4652,-1,36049,0,-1,0,0,-1,0,7698433,-1,7698434,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,67503,False,67503,False,-4652,-1,36049,-1,-1,-1,-1,133.0,100,118288,16898.0,506940.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,-1,-1,-1,6,15001,0,-1,-1,-1,0,-1,-1,6,w3,-1,0,15001,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,16898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,16898,-1,118288,25347,-1,165603,True,True,15001,True,82504,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,29706,3,29706,29706,-1,0,-1,44707,0,w3,29706,0,44707,25347,-1,165603,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,11/07 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,-4359,-1,120896,0,-1,0,0,-1,0,7884763,-1,7884764,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,44707,True,112210,False,-4359,-1,120896,-1,-1,-1,-1,133.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,15003,3,15003,15003,-1,0,-1,59710,0,w3,15003,0,59710,25347,-1,165603,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/08 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,10344,-1,105893,0,-1,0,0,-1,0,7928261,-1,7928262,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,59710,True,127213,False,10344,-1,105893,-1,-1,-1,-1,0.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,0,3,0,0,-1,0,-1,59710,0,w3,0,0,59710,25347,-1,165603,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/09 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,25347,-1,105893,0,-1,0,0,-1,0,7976167,-1,7976168,2015-11-08 22:05:08,2015-11-08 00:00:00,2015-11-08 22:05:08,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,59710,True,127213,False,25347,-1,105893,-1,-1,-1,-1,0.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,25211,3,25211,25211,-1,0,-1,84921,0,w3,25211,0,84921,25347,-1,165603,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,11/10 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,136,-1,80682,0,-1,0,0,-1,0,8026180,-1,8026181,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,84921,True,152424,False,136,-1,80682,-1,-1,-1,-1,133.0,0,118288,16898.0,506940.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PASADENA TX KM TP - 00UU,ULSD,16898,-1,118288,3,25500,3,25500,25500,-1,0,-1,110421,0,w3,25500,0,110421,25347,-1,165603,Out,-1,Out,150%,150,-1,100,140%,140,On Track,-1,Below Trend,11/11 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,16898,16898,-1,-1,118288,-153,-1,55182,0,-1,0,0,-1,0,8078813,-1,8078814,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,16898,-1,118288,25347,-1,165603,False,True,110421,True,177924,False,-153,-1,55182,-1,-1,-1,-1,133.0,0,118288,16898.0,506940.0,-1,0,0
