,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,0,0,0,0,0,-1,0,-1,8497,0,w1,0,0,8497,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/02 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,14720,0,-1,0,0,-1,0,7363724,-1,7363725,2015-11-01 22:05:41,2015-11-01 00:00:00,2015-11-01 22:05:41,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19917,True,True,0,False,0,False,3048,-1,11421,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,8497,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,2032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,2032,-1,14227,3048,-1,19918,True,True,0,False,0,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,1,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,0,3,0,0,-1,0,-1,8497,0,w2,0,0,8497,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/04 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,14720,0,-1,0,0,-1,0,7474594,-1,7474595,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,0,False,0,False,3048,-1,11421,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,1,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,0,3499,0,3499,3499,-1,0,-1,11996,0,w2,3499,0,11996,3048,-1,19918,Out,-1,Out,150%,150,-1,100,140%,140,On Track,-1,Below Trend,11/05 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,-451,-1,11221,0,-1,0,0,-1,0,7698437,-1,7698438,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,3499,False,3499,False,-451,-1,7922,-1,-1,-1,-1,133.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,-1,-1,-1,6,8699,0,-1,-1,-1,0,-1,-1,6,w3,-1,0,8699,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,2032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,2032,-1,14227,3048,-1,19918,True,True,8699,True,12198,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,0,3,0,0,-1,0,-1,8699,0,w3,0,0,8699,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,11/07 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,11219,0,-1,0,0,-1,0,7884767,-1,7884768,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,8699,True,12198,False,3048,-1,11219,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,0,3,0,0,-1,0,-1,8699,0,w3,0,0,8699,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/08 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,11219,0,-1,0,0,-1,0,7928265,-1,7928266,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,8699,True,12198,False,3048,-1,11219,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,3300,3,3300,3300,-1,0,-1,11999,0,w3,3300,0,11999,3048,-1,19918,Out,-1,Out,150%,150,-1,100,140%,140,On Track,-1,On Track,11/09 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,-252,-1,7919,0,-1,0,0,-1,0,7976171,-1,7976172,2015-11-08 22:05:08,2015-11-08 00:00:00,2015-11-08 22:05:08,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,11999,True,15498,False,-252,-1,7919,-1,-1,-1,-1,133.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,0,3,0,0,-1,0,-1,11999,0,w3,0,0,11999,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/10 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,7919,2480,-1,2480,2480,-1,2480,8026184,-1,8026185,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,11999,True,15498,False,3048,-1,7919,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Regular RFG,2032,-1,14227,3,0,3,0,0,-1,0,-1,11999,0,w3,0,0,11999,3048,-1,19918,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/11 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2032,2032,-1,-1,14227,3048,-1,7919,2480,-1,2480,2480,-1,2480,8078817,-1,8078818,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,2032,-1,14227,3048,-1,19918,False,True,11999,True,15498,False,3048,-1,7919,-1,-1,-1,-1,0.0,0,14227,2032.0,60960.0,-1,0,0
