,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,0,0,0,-1,1,w1,0,0,0,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,11/02 00:00:00 PST,12/01 00:00:00 PST,w1,1,2015-11-05 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,86894,-1,0,0,-1,0,0,-1,7363745,7363746,-1,2015-11-01 00:00:00,2015-11-01 00:00:00,2015-11-01 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,0,False,0,0,2896,86894,-1,-1,-1,-1,-1.0,0.0,-1,20272.0,2896.0,86880.0,-1,1,1
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,-1,-1,-1,2,7500,0,-1,-1,-1,2,7500,-1,2,w1,-1,0,7500,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,2896,-1,86894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,2896,86894,-1,2896,86894,-1,True,True,7500,False,0,0,-1,-1,-1,-1,-1,-1,129.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,1201,0,0,0,7500,0,7500,-1,1,w1,0,0,8701,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/04 00:00:00 PST,12/01 00:00:00 PST,w1,1,2015-11-05 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,79394,-1,0,0,-1,0,0,-1,7474615,7474616,-1,2015-11-03 00:00:00,2015-11-03 00:00:00,2015-11-03 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,True,True,8701,False,0,0,1695,79394,-1,-1,-1,-1,86.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,0,8502,0,8502,8502,17203,0,17203,-1,0,w1,8502,0,-1,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,Above Trend,-1,11/05 00:00:00 PST,12/01 00:00:00 PST,w1,1,2015-11-05 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-5606,69691,-1,0,0,-1,0,0,-1,7698458,7698459,-1,2015-11-04 00:00:00,2015-11-04 00:00:00,2015-11-04 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,False,17203,False,0,0,-5606,69691,-1,-1,-1,-1,148.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,-1,-1,-1,2,0,0,-1,-1,-1,2,17203,-1,2,w1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,2896,-1,86894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,2896,86894,-1,2896,86894,-1,False,True,0,True,0,0,-1,-1,-1,-1,-1,-1,119.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,9000,0,9000,9000,26203,0,26203,-1,1,w1,9000,0,9000,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,Above Trend,-1,11/07 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-6104,60691,-1,0,0,-1,0,0,-1,7884788,7884789,-1,2015-11-06 00:00:00,2015-11-06 00:00:00,2015-11-06 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,9000,True,0,0,-6104,60691,-1,-1,-1,-1,151.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,1100,0,1100,1100,27303,0,27303,-1,1,w1,1100,0,10100,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,Above Trend,-1,11/08 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,1796,59591,-1,0,0,-1,0,0,-1,7928286,7928287,-1,2015-11-07 00:00:00,2015-11-07 00:00:00,2015-11-07 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,10100,True,0,0,1796,59591,-1,-1,-1,-1,135.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,2001,0,2001,2001,29304,0,29304,-1,1,w1,2001,0,12101,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,On Track,Above Trend,-1,11/09 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,895,57590,-1,0,0,-1,0,0,-1,7976192,7976193,-1,2015-11-08 00:00:00,2015-11-08 00:00:00,2015-11-08 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,12101,True,0,0,895,57590,-1,-1,-1,-1,126.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,29304,0,29304,-1,1,w1,0,0,12101,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/10 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,57590,-1,0,0,-1,0,0,-1,8026205,8026206,-1,2015-11-09 00:00:00,2015-11-09 00:00:00,2015-11-09 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,12101,True,0,0,2896,57590,-1,-1,-1,-1,112.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,7502,0,7502,7502,36806,0,36806,-1,1,w1,7502,0,19603,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,Above Trend,-1,11/11 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-4606,50088,-1,0,0,-1,0,0,-1,8078837,8078838,-1,2015-11-10 00:00:00,2015-11-10 00:00:00,2015-11-10 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,19603,True,0,0,-4606,50088,-1,-1,-1,-1,127.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-11,2015-11-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,36806,0,36806,-1,1,w1,0,0,19603,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/12 00:00:00 PST,12/01 00:00:00 PST,w2,1,2015-11-12 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,50088,-1,0,0,-1,0,0,-1,8130326,8130327,-1,2015-11-11 00:00:00,2015-11-11 00:00:00,2015-11-11 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,19603,True,0,0,2896,50088,-1,-1,-1,-1,116.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-12,2015-11-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,3402,0,3402,3402,40208,0,40208,-1,1,w1,3402,0,3402,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,On Track,-1,11/13 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-506,46686,-1,0,0,-1,0,0,-1,8183087,8183088,-1,2015-11-12 00:00:00,2015-11-12 00:00:00,2015-11-12 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,3402,True,0,0,-506,46686,-1,-1,-1,-1,116.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-13,2015-11-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,40208,0,40208,-1,1,w1,0,0,3402,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/14 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,46686,-1,0,0,-1,0,0,-1,8227754,8227755,-1,2015-11-13 00:00:00,2015-11-13 00:00:00,2015-11-13 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,3402,True,0,0,2896,46686,-1,-1,-1,-1,107.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-14,2015-11-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,3403,0,2102,2102,42310,0,42310,-1,1,w1,2102,0,6805,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,On Track,On Track,-1,11/15 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,794,44584,-1,0,0,-1,0,0,-1,8264648,8264649,-1,2015-11-14 00:00:00,2015-11-14 00:00:00,2015-11-14 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,6805,True,0,0,-507,44584,-1,-1,-1,-1,104.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-15,2015-11-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,3001,0,3001,3001,46612,0,46612,-1,1,w1,3001,0,9806,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,On Track,-1,11/16 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-105,40282,-1,0,0,-1,0,0,-1,8299153,8299154,-1,2015-11-15 00:00:00,2015-11-15 00:00:00,2015-11-15 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,9806,True,0,0,-105,40282,-1,-1,-1,-1,107.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-16,2015-11-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,46612,0,46612,-1,1,w1,0,0,9806,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/17 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,40282,-1,0,0,-1,0,0,-1,8356966,8356967,-1,2015-11-16 00:00:00,2015-11-16 00:00:00,2015-11-16 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,9806,True,0,0,2896,40282,-1,-1,-1,-1,101.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-17,2015-11-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,7500,0,7500,7500,54112,0,54112,-1,1,w1,7500,0,17306,2896,86894,-1,Out,Out,-1,100%,100,100%,100,-1,-1,Above Trend,On Track,-1,11/18 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,-4604,32782,-1,0,0,-1,0,0,-1,8420338,8420339,-1,2015-11-17 00:00:00,2015-11-17 00:00:00,2015-11-17 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,17306,True,0,0,-4604,32782,-1,-1,-1,-1,110.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-18,2015-11-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,1,0,0,0,0,54112,0,54112,-1,1,w1,0,0,17306,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/19 00:00:00 PST,12/01 00:00:00 PST,w3,1,2015-11-19 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,32782,-1,0,0,-1,0,0,-1,8480050,8480051,-1,2015-11-18 00:00:00,2015-11-18 00:00:00,2015-11-18 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,True,17306,True,0,0,2896,32782,-1,-1,-1,-1,104.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-19,2015-11-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,86894,-1,0,0,0,0,0,54112,0,54112,-1,0,w1,0,0,-1,2896,86894,-1,Available,Available,-1,100%,100,100%,100,-1,-1,Below Trend,On Track,-1,11/20 00:00:00 PST,12/01 00:00:00 PST,w4,1,2015-11-26 00:00:00,Contract,Contract,-1,2896,2896,86894,86894,-1,2896,32782,-1,0,0,-1,0,0,-1,8538929,8538930,-1,2015-11-19 00:00:00,2015-11-19 00:00:00,2015-11-19 00:00:00,Mansfield,Mansfield,-1,2896,86894,-1,2896,86894,-1,False,False,0,0,0,0,2896,32782,-1,-1,-1,-1,98.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,1
2015-11-20,2015-11-20 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,3620,-1,-1,Available,-1,-1,125%,125,-1,100,-1,-1,Below Trend,-1,-1,11/21 00:00:00 PST,-1,w4,1,2015-11-26 00:00:00,Contract,-1,-1,2896,2896,86894,-1,-1,3620,-1,-1,0,-1,-1,0,-1,-1,8602820,-1,-1,2015-11-20 00:00:00,2015-11-20 00:00:00,2015-11-20 00:00:00,Mansfield,-1,-1,2896,86894,-1,3620,86894,-1,False,False,0,0,0,0,3620,-1,-1,-1,-1,-1,-1.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-21,2015-11-21 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,100,-1,-1,-1,-1,-1,-1,-1,w4,1,2015-11-26 00:00:00,-1,-1,-1,2896,-1,86894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-21 00:00:00,2015-11-21 00:00:00,2015-11-21 00:00:00,-1,-1,-1,2896,-1,-1,3620,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-22,2015-11-22 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,-1,-1,0,2500,0,2500,2500,-1,0,-1,-1,0,w1,2500,0,-1,3620,-1,-1,Available,-1,-1,125%,125,-1,100,-1,-1,On Track,-1,-1,11/23 00:00:00 PST,-1,w4,1,2015-11-26 00:00:00,Contract,-1,-1,2896,2896,86894,-1,-1,1120,-1,-1,0,-1,-1,0,-1,-1,8729513,-1,-1,2015-11-22 00:00:00,2015-11-22 00:00:00,2015-11-22 00:00:00,Mansfield,-1,-1,2896,-1,-1,3620,-1,-1,False,False,0,0,0,0,1120,-1,-1,-1,-1,-1,-1.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-23,2015-11-23 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,-1,-1,0,4102,0,4102,4102,-1,0,-1,-1,0,w1,4102,0,-1,3620,-1,-1,Out,-1,-1,125%,125,-1,100,-1,-1,Above Trend,-1,-1,11/24 00:00:00 PST,-1,w4,1,2015-11-26 00:00:00,Contract,-1,-1,2896,2896,86894,-1,-1,-482,-1,-1,0,-1,-1,0,-1,-1,8788618,-1,-1,2015-11-23 00:00:00,2015-11-23 00:00:00,2015-11-23 00:00:00,Mansfield,-1,-1,2896,-1,-1,3620,-1,-1,False,False,0,0,0,0,-482,-1,-1,-1,-1,-1,-1.0,0.0,-1,20272.0,2896.0,86880.0,-1,0,0
2015-11-24,2015-11-24 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,-1,20275,3,0,3,0,0,-1,0,-1,10103,0,w1,0,0,10103,4344,-1,28385,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/25 00:00:00 PST,-1,w4,0,2015-11-26 00:00:00,Contract,-1,Contract,2896,2896,86894,-1,20275,4344,-1,18282,0,-1,0,0,-1,0,8862811,-1,8862812,2015-11-24 22:07:08,2015-11-24 00:00:00,2015-11-24 22:07:08,Mansfield,-1,Mansfield,2896,-1,20275,4344,-1,28385,False,False,0,0,0,0,4344,-1,18282,-1,-1,-1,-1.0,0.0,0,20275.0,2896.0,86880.0,-1,0,0
2015-11-25,2015-11-25 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SPOKANE WA (MOC) - 00KJ,ULSD,2896,-1,20275,0,0,0,0,0,-1,0,-1,10103,0,w1,0,0,10103,4344,-1,28385,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/26 00:00:00 PST,-1,w4,0,2015-11-26 00:00:00,Contract,-1,Contract,2896,2896,86894,-1,20275,4344,-1,18282,0,-1,0,0,-1,0,8929748,-1,8929749,2015-11-25 22:06:54,2015-11-25 00:00:00,2015-11-25 22:06:54,Mansfield,-1,Mansfield,2896,-1,20275,4344,-1,28385,False,False,0,0,0,0,4344,-1,18282,-1,-1,-1,-1.0,0.0,0,20275.0,2896.0,86880.0,-1,0,0
