,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/02 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7363787,-1,-1,2015-11-01 00:00:00,2015-11-01 00:00:00,2015-11-01 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,0,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/03 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7413410,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,0,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,3000,0,3000,3000,-1,0,-1,-1,0,w1,3000,0,-1,273,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,11/04 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,-2727,-1,-1,0,-1,-1,0,-1,-1,7474570,-1,-1,2015-11-03 00:00:00,2015-11-03 00:00:00,2015-11-03 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,3000,False,3000,False,-2727,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,1500,0,1500,1500,-1,0,-1,-1,0,w1,1500,0,-1,273,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,11/05 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,-1227,-1,-1,0,-1,-1,0,-1,-1,7698413,-1,-1,2015-11-04 00:00:00,2015-11-04 00:00:00,2015-11-04 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,4500,False,4500,False,-1227,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/06 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7836492,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,4500,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/07 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7884745,-1,-1,2015-11-06 00:00:00,2015-11-06 00:00:00,2015-11-06 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,4500,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/08 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7928243,-1,-1,2015-11-07 00:00:00,2015-11-07 00:00:00,2015-11-07 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,4500,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,273,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/09 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,273,-1,-1,0,-1,-1,0,-1,-1,7976236,-1,-1,2015-11-08 00:00:00,2015-11-08 00:00:00,2015-11-08 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,0,False,4500,False,273,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,1900,0,1900,1900,-1,0,-1,-1,0,w1,1900,0,-1,273,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,11/10 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,-1627,-1,-1,0,-1,-1,0,-1,-1,8027652,-1,-1,2015-11-09 00:00:00,2015-11-09 00:00:00,2015-11-09 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,1900,False,6400,False,-1627,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,273,-1,-1,0,2001,0,2001,2001,-1,0,-1,-1,0,w1,2001,0,-1,273,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,11/11 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,273,273,-1,-1,-1,-1728,-1,-1,0,-1,-1,0,-1,-1,8078795,-1,-1,2015-11-10 00:00:00,2015-11-10 00:00:00,2015-11-10 00:00:00,Mansfield,-1,-1,273,-1,-1,273,-1,-1,False,False,3901,False,8401,False,-1728,-1,-1,-1,-1,-1,-1,0.0,-1,1911,273.0,8190.0,-1,0,0
