,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,3,0,3,0,0,-1,0,-1,20904,0,w1,0,0,20904,6510,-1,42532,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/02 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,6510,-1,21628,0,-1,0,0,-1,0,7363766,-1,7363767,2015-11-01 22:07:27,2015-11-01 00:00:00,2015-11-01 22:07:27,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,False,0,0,0,0,6510,-1,21628,-1,-1,-1,-1,0.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,0,1000,0,1000,1000,-1,0,-1,21904,0,w1,1000,0,21904,6510,-1,42532,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/03 00:00:00 EST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,5510,-1,20628,0,-1,0,0,-1,0,7413389,-1,7413390,2015-11-02 22:06:52,2015-11-02 00:00:00,2015-11-02 22:06:52,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,False,0,0,0,0,5510,-1,20628,-1,-1,-1,-1,0.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,4340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-03 00:00:00,2015-11-03 00:00:00,2015-11-03 00:00:00,-1,-1,-1,4340,-1,30380,6510,-1,42532,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,30380,4340.0,130200.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,4340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-04 00:00:00,2015-11-04 00:00:00,2015-11-04 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,3,4501,3,4501,4501,-1,0,-1,4501,0,w2,4501,0,4501,6510,-1,42532,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/06 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,2009,-1,38031,0,-1,0,0,-1,0,7836471,-1,7836472,2015-11-05 22:07:26,2015-11-05 00:00:00,2015-11-05 22:07:26,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,True,4501,True,0,0,2009,-1,38031,-1,-1,-1,-1,133.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,3,8701,3,8701,8701,-1,0,-1,13202,0,w2,8701,0,13202,6510,-1,42532,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,11/07 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,-2191,-1,29330,0,-1,0,0,-1,0,7884364,-1,7884365,2015-11-06 22:06:43,2015-11-06 00:00:00,2015-11-06 22:06:43,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,True,13202,True,0,0,-2191,-1,29330,-1,-1,-1,-1,267.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,3,0,3,0,0,-1,0,-1,13202,0,w2,0,0,13202,6510,-1,42532,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/08 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,6510,-1,29330,0,-1,0,0,-1,0,7928117,-1,7928118,2015-11-07 22:09:23,2015-11-07 00:00:00,2015-11-07 22:09:23,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,True,13202,True,0,0,6510,-1,29330,-1,-1,-1,-1,0.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,3,8700,3,8700,8700,-1,0,-1,21902,0,w2,8700,0,21902,6510,-1,42532,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,11/09 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,-2190,-1,20630,0,-1,0,0,-1,0,7976213,-1,7976214,2015-11-08 22:07:33,2015-11-08 00:00:00,2015-11-08 22:07:33,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,True,21902,True,0,0,-2190,-1,20630,-1,-1,-1,-1,267.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,4340,-1,30380,0,2100,0,2100,2100,-1,0,-1,24002,0,w2,2100,0,24002,6510,-1,42532,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/10 00:00:00 EST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,4340,4340,-1,-1,30380,4410,-1,18530,0,-1,0,0,-1,0,8027629,-1,8027630,2015-11-09 22:06:52,2015-11-09 00:00:00,2015-11-09 22:06:52,Mansfield,-1,Mansfield,4340,-1,30380,6510,-1,42532,False,True,24002,True,0,0,4410,-1,18530,-1,-1,-1,-1,0.0,0,30380,4340.0,130200.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Premium RFG,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,24002,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,4340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-10 00:00:00,2015-11-10 00:00:00,2015-11-10 00:00:00,-1,-1,-1,4340,-1,30380,6510,-1,42532,True,True,24002,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,30380,4340.0,130200.0,-1,0,0
