,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,17426,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,11/02 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,17426,17426,-1,-1,-1,17426,-1,-1,0,-1,-1,0,-1,-1,7363786,-1,-1,2015-11-01 00:00:00,2015-11-01 00:00:00,2015-11-01 00:00:00,Mansfield,-1,-1,17426,-1,-1,17426,-1,-1,False,False,0,False,0,False,17426,-1,-1,-1,-1,-1,-1,0.0,-1,121982,17426.0,522780.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,-1,0,11600,0,11600,11600,-1,0,-1,-1,0,w1,11600,0,-1,17426,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,11/03 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,17426,17426,-1,-1,-1,5826,-1,-1,0,-1,-1,0,-1,-1,7413409,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,Mansfield,-1,-1,17426,-1,-1,17426,-1,-1,False,False,11600,False,11600,False,5826,-1,-1,-1,-1,-1,-1,0.0,-1,121982,17426.0,522780.0,-1,0,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,-1,0,20711,0,20711,20711,-1,0,-1,-1,0,w1,20711,0,-1,21783,-1,-1,Available,-1,-1,125%,125,-1,100,-1,-1,On Track,-1,-1,11/04 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,17426,17426,-1,-1,-1,1072,-1,-1,0,-1,-1,0,-1,-1,7474562,-1,-1,2015-11-03 00:00:00,2015-11-03 00:00:00,2015-11-03 00:00:00,Mansfield,-1,-1,17426,-1,-1,21783,-1,-1,False,False,32311,False,32311,False,1072,-1,-1,-1,-1,-1,-1,0.0,-1,121982,17426.0,522780.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,-1,0,21540,0,21540,21540,-1,0,-1,-1,0,w1,21540,0,-1,21783,-1,-1,Available,-1,-1,125%,125,-1,100,-1,-1,On Track,-1,-1,11/05 00:00:00 PST,-1,w1,1,2015-11-05 00:00:00,Contract,-1,-1,17426,17426,-1,-1,-1,243,-1,-1,0,-1,-1,0,-1,-1,7698405,-1,-1,2015-11-04 00:00:00,2015-11-04 00:00:00,2015-11-04 00:00:00,Mansfield,-1,-1,17426,-1,-1,21783,-1,-1,False,False,53851,False,53851,False,243,-1,-1,-1,-1,-1,-1,0.0,-1,121982,17426.0,522780.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,-1,0,3160,0,3160,3160,-1,0,-1,-1,0,w1,3160,0,-1,21783,-1,-1,Available,-1,-1,125%,125,-1,100,-1,-1,Below Trend,-1,-1,11/06 00:00:00 PST,-1,w2,1,2015-11-12 00:00:00,Contract,-1,-1,17426,17426,-1,-1,-1,18623,-1,-1,0,-1,-1,0,-1,-1,7836491,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,Mansfield,-1,-1,17426,-1,-1,21783,-1,-1,False,False,3160,True,57011,False,18623,-1,-1,-1,-1,-1,-1,0.0,-1,121982,17426.0,522780.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,121980,3,2722,3,2722,0,-1,0,-1,3160,0,w1,0,0,3160,26139,-1,170772,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/07 00:00:00 PST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,17426,17426,-1,-1,121980,26139,-1,167612,0,-1,0,0,-1,0,7884736,-1,7884737,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,17426,-1,121980,26139,-1,170772,False,False,5882,True,59733,False,23417,-1,167612,-1,-1,-1,-1,0.0,0,121980,17426.0,522780.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,121980,3,10000,3,10000,10000,-1,0,-1,15882,0,w1,10000,0,15882,26139,-1,170772,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/08 00:00:00 PST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,17426,17426,-1,-1,121980,16139,-1,154890,0,-1,0,0,-1,0,7928234,-1,7928235,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,17426,-1,121980,26139,-1,170772,False,True,15882,True,69733,False,16139,-1,154890,-1,-1,-1,-1,0.0,0,121980,17426.0,522780.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,121980,3,0,3,0,0,-1,0,-1,15882,0,w1,0,0,15882,26139,-1,170772,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/09 00:00:00 PST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,17426,17426,-1,-1,121980,26139,-1,154890,0,-1,0,0,-1,0,7976234,-1,7976235,2015-11-08 22:07:33,2015-11-08 00:00:00,2015-11-08 22:07:33,Mansfield,-1,Mansfield,17426,-1,121980,26139,-1,170772,False,True,15882,True,69733,False,26139,-1,154890,-1,-1,-1,-1,0.0,0,121980,17426.0,522780.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,121980,3,11562,3,11562,8800,-1,0,-1,24682,0,w1,8800,0,24682,26139,-1,170772,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/10 00:00:00 PST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,17426,17426,-1,-1,121980,17339,-1,146090,0,-1,0,0,-1,0,8027650,-1,8027651,2015-11-09 22:06:52,2015-11-09 00:00:00,2015-11-09 22:06:52,Mansfield,-1,Mansfield,17426,-1,121980,26139,-1,170772,False,False,27444,True,81295,False,14577,-1,146090,-1,-1,-1,-1,0.0,0,121980,17426.0,522780.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,17426,-1,121980,3,0,3,0,0,-1,0,-1,27444,0,w1,0,0,27444,26139,-1,170772,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/11 00:00:00 PST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,17426,17426,-1,-1,121980,26139,-1,143328,0,-1,0,0,-1,0,8078787,-1,8078788,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,17426,-1,121980,26139,-1,170772,False,True,27444,True,81295,False,26139,-1,143328,-1,-1,-1,-1,0.0,0,121980,17426.0,522780.0,-1,0,0
