,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,5100,0,5100,5100,-1,0,-1,5100,0,w1,5100,0,5100,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/02 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-1955,-1,15448,0,-1,0,0,-1,0,5861450,-1,5861451,2015-10-01 22:05:01,2015-10-01 00:00:00,2015-10-01 22:05:01,Mansfield,-1,Mansfield,2097,-1,14677,3145,-1,20547,True,True,5100,True,5100,False,-1954,-1,15448,-1,-1,-1,-1,267.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-02,2015-10-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,7500,0,7500,7500,-1,0,-1,12600,0,w1,7500,0,12600,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/03 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-4355,-1,7948,0,-1,0,0,-1,0,5913993,-1,5913994,2015-10-02 22:03:51,2015-10-02 00:00:00,2015-10-02 22:03:51,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,12600,True,12600,False,-4354,-1,7948,-1,-1,-1,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-03,2015-10-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,0,0,0,-1,0,-1,12600,0,w1,0,0,12600,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,10/04 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,7948,0,-1,0,0,-1,0,5959444,-1,5959445,2015-10-03 22:00:21,2015-10-03 00:00:00,2015-10-03 22:00:21,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,12600,True,12600,False,3146,-1,7948,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-04,2015-10-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,0,0,0,-1,0,-1,12600,0,w1,0,0,12600,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,10/05 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,7948,0,-1,0,0,-1,0,6005915,-1,6005916,2015-10-04 22:00:21,2015-10-04 00:00:00,2015-10-04 22:00:21,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,12600,True,12600,False,3146,-1,7948,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-05,2015-10-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,7500,0,7500,7500,-1,0,-1,20100,0,w1,7500,0,20100,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/06 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,0,-1,4802,2972,-1,2972,1383,-1,1383,6061564,-1,6061565,2015-10-05 22:03:53,2015-10-05 00:00:00,2015-10-05 22:03:53,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,20100,True,20100,False,-4354,-1,448,2972,-1,-1,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-06,2015-10-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,7500,0,7500,7500,-1,0,-1,27600,0,w1,7500,0,27600,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/07 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,0,-1,1657,2972,-1,2972,5737,-1,5737,6118200,-1,6118201,2015-10-06 22:05:03,2015-10-06 00:00:00,2015-10-06 22:05:03,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,27600,True,27600,False,-4354,-1,-7052,2972,-1,2972,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-07,2015-10-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,0,7650,0,7650,7650,-1,0,-1,35250,0,w1,7650,0,35250,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/08 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,1489,-1,0,2972,-1,2972,11731,-1,11731,6168282,-1,6168283,2015-10-07 22:04:27,2015-10-07 00:00:00,2015-10-07 22:04:27,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,35250,True,35250,False,-4504,-1,-14702,2972,-1,2972,-1,400.0,200,14677,2097.0,65007.0,-1,0,0
2015-10-08,2015-10-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,-1,-1,-1,6,0,0,-1,-1,-1,0,-1,-1,6,w2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-10-15 00:00:00,-1,-1,-1,2097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-10-08 00:00:00,2015-10-08 00:00:00,2015-10-08 00:00:00,-1,-1,-1,2097,-1,14677,3146,-1,20548,True,True,0,True,35250,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-09,2015-10-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,3,0,0,-1,0,-1,0,0,w2,0,0,0,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/10 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,20548,0,-1,0,0,-1,0,6272652,-1,6272653,2015-10-09 22:05:42,2015-10-09 00:00:00,2015-10-09 22:05:42,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,0,True,35250,False,3146,-1,20548,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-10,2015-10-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,3,0,0,-1,0,-1,0,0,w2,0,0,0,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/11 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,20548,0,-1,0,0,-1,0,6319101,-1,6319102,2015-10-10 22:01:25,2015-10-10 00:00:00,2015-10-10 22:01:25,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,0,True,35250,False,3146,-1,20548,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-11,2015-10-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,3,0,0,-1,0,-1,0,0,w2,0,0,0,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/12 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,20548,0,-1,0,0,-1,0,6366303,-1,6366304,2015-10-11 22:00:24,2015-10-11 00:00:00,2015-10-11 22:00:24,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,0,True,35250,False,3146,-1,20548,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-12,2015-10-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,7501,3,7501,7501,-1,0,-1,7501,0,w2,7501,0,7501,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,10/13 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-4356,-1,13047,0,-1,0,0,-1,0,6422384,-1,6422385,2015-10-12 22:04:28,2015-10-12 00:00:00,2015-10-12 22:04:28,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,7501,True,42751,False,-4355,-1,13047,-1,-1,-1,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-13,2015-10-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,3,0,0,-1,0,-1,7501,0,w2,0,0,7501,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/14 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,13047,0,-1,0,0,-1,0,6476869,-1,6476870,2015-10-13 22:05:04,2015-10-13 00:00:00,2015-10-13 22:05:04,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,7501,True,42751,False,3146,-1,13047,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-14,2015-10-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,0,0,0,0,0,-1,0,-1,7501,0,w2,0,0,7501,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/15 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,13047,0,-1,0,0,-1,0,6531067,-1,6531068,2015-10-14 22:06:14,2015-10-14 00:00:00,2015-10-14 22:06:14,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,7501,True,42751,False,3146,-1,13047,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-15,2015-10-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,7500,0,7500,7500,-1,0,-1,7500,0,w3,7500,0,7500,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/16 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-4355,-1,13048,0,-1,0,0,-1,0,6583828,-1,6583829,2015-10-15 22:05:41,2015-10-15 00:00:00,2015-10-15 22:05:41,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,7500,True,50251,False,-4354,-1,13048,-1,-1,-1,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-16,2015-10-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,0,0,0,-1,0,-1,7500,0,w3,0,0,7500,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,10/17 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,13048,0,-1,0,0,-1,0,6636908,-1,6636909,2015-10-16 22:05:01,2015-10-16 00:00:00,2015-10-16 22:05:01,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,7500,True,50251,False,3146,-1,13048,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-17,2015-10-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,0,0,0,0,0,-1,0,-1,7500,0,w3,0,0,7500,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,10/18 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,13048,0,-1,0,0,-1,0,6685649,-1,6685650,2015-10-17 22:00:25,2015-10-17 00:00:00,2015-10-17 22:00:25,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,7500,True,50251,False,3146,-1,13048,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-18,2015-10-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w4,-1,0,7500,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-10-22 00:00:00,-1,-1,-1,2097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-10-18 00:00:00,2015-10-18 00:00:00,2015-10-18 00:00:00,-1,-1,-1,2097,-1,14677,3146,-1,20548,True,True,7500,True,50251,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-19,2015-10-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,3,0,0,-1,0,-1,7500,0,w4,0,0,7500,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/20 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,13048,0,-1,0,0,-1,0,6759796,-1,6759797,2015-10-19 22:00:29,2015-10-19 00:00:00,2015-10-19 22:00:29,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,7500,True,50251,False,3146,-1,13048,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-20,2015-10-20 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,6200,3,6200,6200,-1,0,-1,13700,0,w4,6200,0,13700,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,10/21 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-3055,-1,6848,7500,-1,7500,7500,-1,7500,6793121,-1,6793122,2015-10-20 22:33:42,2015-10-20 00:00:00,2015-10-20 22:33:42,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,13700,True,56451,False,-3054,-1,6848,7500,-1,-1,-1,267.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-21,2015-10-21 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,0,7500,0,7500,7500,-1,0,-1,21200,0,w4,7500,0,21200,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,On Track,10/22 00:00:00 CDT,-1,w3,0,2015-10-22 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,0,-1,3702,7500,-1,7500,3145,-1,3145,6831741,-1,6831742,2015-10-21 22:20:54,2015-10-21 00:00:00,2015-10-21 22:20:54,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,False,True,21200,True,63951,False,-4354,-1,-652,7500,-1,7500,-1,400.0,100,14677,2097.0,65007.0,-1,0,0
2015-10-22,2015-10-22 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,0,0,0,-1,0,-1,0,0,w5,0,0,0,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/23 00:00:00 CDT,-1,w4,0,2015-10-29 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,20548,0,-1,0,0,-1,0,6867171,-1,6867172,2015-10-22 22:21:56,2015-10-22 00:00:00,2015-10-22 22:21:56,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,0,True,63951,False,3146,-1,20548,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-23,2015-10-23 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,3,0,0,0,0,-1,0,-1,0,0,w5,0,0,0,3146,-1,20548,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/24 00:00:00 CDT,-1,w4,0,2015-10-29 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,3146,-1,20548,0,-1,0,0,-1,0,6908683,-1,6908684,2015-10-23 22:00:53,2015-10-23 00:00:00,2015-10-23 22:00:53,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,0,True,63951,False,3146,-1,20548,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-24,2015-10-24 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,2097,-1,14677,0,7500,0,7500,7500,-1,0,-1,7500,0,w5,7500,0,7500,3146,-1,20548,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,10/25 00:00:00 CDT,-1,w4,0,2015-10-29 00:00:00,Contract,-1,Contract,2097,2097,-1,-1,14677,-4355,-1,13048,0,-1,0,0,-1,0,6958504,-1,6958505,2015-10-24 22:00:26,2015-10-24 00:00:00,2015-10-24 22:00:26,Mansfield,-1,Mansfield,2097,-1,14677,3146,-1,20548,True,True,7500,True,71451,False,-4354,-1,13048,-1,-1,-1,-1,400.0,0,14677,2097.0,65007.0,-1,0,0
2015-10-25,2015-10-25 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BATON ROUGE LA (MOC) - 00CE,ULSD,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w6,-1,0,7500,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-10-29 00:00:00,-1,-1,-1,2097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-10-25 00:00:00,2015-10-25 00:00:00,2015-10-25 00:00:00,-1,-1,-1,2097,-1,14677,3146,-1,20548,True,True,7500,True,71451,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,14677,2097.0,65007.0,-1,0,0
