,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,45255,0,45255,45255,-1,0,-1,45255,0,w1,45255,0,45255,39285,-1,256665,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/02 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,-5970,-1,211410,0,-1,0,0,-1,0,5861455,-1,5861456,2015-10-01 22:05:01,2015-10-01 00:00:00,2015-10-01 22:05:01,Mansfield,-1,Mansfield,26190,-1,183332,39285,-1,256664,True,True,45255,True,45255,False,-5970,-1,211410,-1,-1,-1,-1,133.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-02,2015-10-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,44001,0,44001,44001,-1,0,-1,89256,0,w1,44001,0,89256,39285,-1,256665,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,10/03 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,-4716,-1,167409,0,-1,0,0,-1,0,5913998,-1,5913999,2015-10-02 22:03:51,2015-10-02 00:00:00,2015-10-02 22:03:51,Mansfield,-1,Mansfield,26190,-1,183332,39285,-1,256665,True,True,89256,True,89256,False,-4716,-1,167409,-1,-1,-1,-1,133.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-03,2015-10-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,15006,0,15006,15006,-1,0,-1,104262,0,w1,15006,0,104262,39285,-1,256665,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,10/04 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,24279,-1,152403,0,-1,0,0,-1,0,5959449,-1,5959450,2015-10-03 22:00:21,2015-10-03 00:00:00,2015-10-03 22:00:21,Mansfield,-1,Mansfield,26190,-1,183332,39285,-1,256665,True,True,104262,True,104262,False,24279,-1,152403,-1,-1,-1,-1,0.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-04,2015-10-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,0,0,0,0,-1,0,-1,104262,0,w1,0,0,104262,39285,-1,256665,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,10/05 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,39285,-1,152403,0,-1,0,0,-1,0,6005920,-1,6005921,2015-10-04 22:00:21,2015-10-04 00:00:00,2015-10-04 22:00:21,Mansfield,-1,Mansfield,26190,-1,183332,39285,-1,256665,True,True,104262,True,104262,False,39285,-1,152403,-1,-1,-1,-1,0.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-05,2015-10-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,42950,0,42950,42950,-1,0,-1,147212,0,w1,42950,0,147212,39285,-1,256665,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,10/06 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,-3665,-1,109453,0,-1,0,0,-1,0,6061569,-1,6061570,2015-10-05 22:03:53,2015-10-05 00:00:00,2015-10-05 22:03:53,Mansfield,-1,Mansfield,26190,-1,183332,39285,-1,256665,True,True,147212,True,147212,False,-3665,-1,109453,-1,-1,-1,-1,133.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-06,2015-10-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,30007,0,30007,30007,-1,0,-1,177219,0,w1,30007,0,177219,26190,-1,183332,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,On Track,10/07 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,-3817,-1,6113,0,-1,0,0,-1,0,6118205,-1,6118206,2015-10-06 22:05:03,2015-10-06 00:00:00,2015-10-06 22:05:03,Mansfield,-1,Mansfield,26190,-1,183332,26190,-1,183332,True,True,177219,True,177219,False,-3817,-1,6113,-1,-1,-1,-1,133.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-07,2015-10-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,0,7600,0,7600,7600,-1,0,-1,184819,0,w1,7600,0,184819,26190,-1,183332,Out,-1,Out,100%,100,-1,100,100%,100,Below Trend,-1,On Track,10/08 00:00:00 CDT,-1,w1,0,2015-10-08 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,18590,-1,-1487,0,-1,0,0,-1,0,6168287,-1,6168288,2015-10-07 22:04:27,2015-10-07 00:00:00,2015-10-07 22:04:27,Mansfield,-1,Mansfield,26190,-1,183332,26190,-1,183332,True,True,184819,True,184819,False,18590,-1,-1487,-1,-1,-1,-1,0.0,100,183332,26190.0,811890.0,-1,0,0
2015-10-08,2015-10-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,-1,-1,-1,6,28130,0,-1,-1,-1,0,-1,-1,6,w2,-1,0,28130,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w2,1,2015-10-15 00:00:00,-1,-1,-1,26190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-10-08 00:00:00,2015-10-08 00:00:00,2015-10-08 00:00:00,-1,-1,-1,26190,-1,183332,26190,-1,183332,True,True,28130,True,212949,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-09,2015-10-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,30005,3,30005,30005,-1,0,-1,58135,0,w2,30005,0,58135,26190,-1,183332,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,On Track,10/10 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,-3815,-1,125197,0,-1,0,0,-1,0,6272657,-1,6272658,2015-10-09 22:05:42,2015-10-09 00:00:00,2015-10-09 22:05:42,Mansfield,-1,Mansfield,26190,-1,183332,26190,-1,183332,False,True,58135,True,242954,False,-3815,-1,125197,-1,-1,-1,-1,133.0,0,183332,26190.0,811890.0,-1,0,0
2015-10-10,2015-10-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,26190,-1,183332,3,15208,3,15208,15208,-1,0,-1,73343,0,w2,15208,0,73343,26190,-1,183332,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,10/11 00:00:00 CDT,-1,w2,0,2015-10-15 00:00:00,Contract,-1,Contract,26190,26190,-1,-1,183332,10982,-1,109989,0,-1,0,0,-1,0,6319106,-1,6319107,2015-10-10 22:01:25,2015-10-10 00:00:00,2015-10-10 22:01:25,Mansfield,-1,Mansfield,26190,-1,183332,26190,-1,183332,False,True,73343,True,258162,False,10982,-1,109989,-1,-1,-1,-1,0.0,0,183332,26190.0,811890.0,-1,0,0
