,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,3000,0,3000,3000,3000,0,3000,3000,1,w1,3000,0,3000,591,18329,4139,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/02 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,-2409,15329,1139,0,0,0,0,0,0,5861545,5861547,5861546,2015-10-01 22:05:01,2015-10-01 22:05:01,2015-10-01 22:05:01,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,3000,True,3000,False,-2409,15329,1139,-1,-1,-1,507.0,667.0,0,4139.0,591.0,18321.0,507.0,1,1
2015-10-02,2015-10-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,3000,0,3000,3000,1,w1,0,0,3000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/03 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,15329,1139,0,0,0,0,0,0,5914136,5914138,5914137,2015-10-02 22:06:38,2015-10-02 22:06:38,2015-10-02 22:06:38,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,3000,True,3000,False,591,15329,1139,-1,-1,-1,254.0,0.0,0,4139.0,591.0,18321.0,254.0,1,1
2015-10-03,2015-10-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,3000,0,3000,3000,1,w1,0,0,3000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/04 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,15329,1139,0,0,0,0,0,0,5960991,5960993,5960992,2015-10-03 22:06:12,2015-10-03 22:06:12,2015-10-03 22:06:12,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,3000,True,3000,False,591,15329,1139,-1,-1,-1,169.0,0.0,0,4139.0,591.0,18321.0,169.0,1,1
2015-10-04,2015-10-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,3000,0,3000,3000,1,w1,0,0,3000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/05 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,15329,1139,0,0,0,0,0,0,6007462,6007464,6007463,2015-10-04 22:06:22,2015-10-04 22:06:22,2015-10-04 22:06:22,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,3000,True,3000,False,591,15329,1139,-1,-1,-1,127.0,0.0,0,4139.0,591.0,18321.0,127.0,1,1
2015-10-05,2015-10-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,3000,0,3000,3000,1,w1,0,0,3000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,On Track,10/06 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,15329,1139,0,0,0,0,0,0,6061658,6061660,6061659,2015-10-05 22:03:53,2015-10-05 22:03:53,2015-10-05 22:03:53,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,3000,True,3000,False,591,15329,1139,-1,-1,-1,101.0,0.0,0,4139.0,591.0,18321.0,101.0,1,1
2015-10-06,2015-10-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,3000,0,3000,3000,6000,0,6000,6000,1,w1,3000,0,6000,591,18329,4139,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/07 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,-2409,12329,-1861,0,0,0,0,0,0,6118297,6118299,6118298,2015-10-06 22:05:03,2015-10-06 22:05:03,2015-10-06 22:05:03,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,6000,True,6000,False,-2409,12329,-1861,-1,-1,-1,169.0,667.0,0,4139.0,591.0,18321.0,169.0,1,1
2015-10-07,2015-10-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,6000,0,6000,6000,1,w1,0,0,6000,591,18329,4139,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/08 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-08 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,12329,-1861,0,0,0,0,0,0,6168380,6168382,6168381,2015-10-07 22:04:27,2015-10-07 22:04:27,2015-10-07 22:04:27,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,6000,True,6000,False,591,12329,-1861,-1,-1,-1,145.0,0.0,100,4139.0,591.0,18321.0,145.0,1,1
2015-10-08,2015-10-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,1000,0,1000,1000,7000,0,7000,1000,1,w2,1000,0,1000,591,18329,4139,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/09 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-15 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,-409,11329,3139,0,0,0,0,0,0,6221503,6221505,6221504,2015-10-08 22:06:13,2015-10-08 22:06:13,2015-10-08 22:06:13,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,1000,False,7000,False,-409,11329,3139,-1,-1,-1,148.0,133.0,0,4139.0,591.0,18321.0,148.0,1,1
2015-10-09,2015-10-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,7000,0,7000,1000,1,w2,0,0,1000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,On Track,10/10 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-15 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,11329,3139,0,0,0,0,0,0,6272754,6272756,6272755,2015-10-09 22:05:42,2015-10-09 22:05:42,2015-10-09 22:05:42,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,1000,False,7000,False,591,11329,3139,-1,-1,-1,132.0,0.0,0,4139.0,591.0,18321.0,132.0,1,1
2015-10-10,2015-10-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,591,18329,4139,1,0,0,0,0,7000,0,7000,1000,1,w2,0,0,1000,591,18329,4139,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Below Trend,10/11 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-15 00:00:00,Contract,Contract,Contract,591,591,18329,18329,4139,591,11329,3139,0,0,0,0,0,0,6320136,6320138,6320137,2015-10-10 22:08:11,2015-10-10 22:08:11,2015-10-10 22:08:11,Mansfield,Mansfield,Mansfield,591,18329,4139,591,18329,4139,True,True,1000,False,7000,False,591,11329,3139,-1,-1,-1,118.0,0.0,0,4139.0,591.0,18321.0,118.0,1,1
