,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,0,0,0,0,0,-1,0,-1,4999,0,w1,0,0,4999,999,-1,6993,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,09/03 00:00:00 EDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,999,-1,1994,0,-1,0,0,-1,0,4314925,-1,4314926,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,False,False,0,0,0,0,999,-1,1994,-1,-1,-1,-1,0.0,0,6993,999.0,29970.0,-1,1,1
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,1800,0,1800,1800,-1,0,-1,1800,0,w2,1800,0,1800,999,-1,6993,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,Above Trend,09/04 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,-801,-1,5193,0,-1,0,0,-1,0,4374268,-1,4374269,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,1800,True,0,0,-801,-1,5193,-1,-1,-1,-1,133.0,0,6993,999.0,29970.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,0,0,0,0,-1,0,-1,1800,0,w2,0,0,1800,999,-1,6993,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/05 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,999,-1,5193,0,-1,0,0,-1,0,4432465,-1,4432466,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,1800,True,0,0,999,-1,5193,-1,-1,-1,-1,0.0,0,6993,999.0,29970.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,1000,0,1000,1000,-1,0,-1,2800,0,w2,1000,0,2800,999,-1,6993,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,On Track,09/06 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,-1,-1,4193,0,-1,0,0,-1,0,4485489,-1,4485490,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,2800,True,0,0,-1,-1,4193,-1,-1,-1,-1,133.0,0,6993,999.0,29970.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,1999,0,1999,1999,-1,0,-1,4799,0,w2,1999,0,4799,999,-1,6993,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,Above Trend,09/07 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,-1000,-1,2194,0,-1,0,0,-1,0,4539914,-1,4539915,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,4799,True,0,0,-1000,-1,2194,-1,-1,-1,-1,267.0,0,6993,999.0,29970.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,0,0,0,0,-1,0,-1,4799,0,w2,0,0,4799,999,-1,6993,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/08 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,999,-1,2194,0,-1,0,0,-1,0,4592236,-1,4592237,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,4799,True,0,0,999,-1,2194,-1,-1,-1,-1,0.0,0,6993,999.0,29970.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,2900,0,2900,2900,-1,0,-1,7699,0,w2,2900,0,7699,999,-1,6993,Out,-1,Out,100%,100,-1,100,100%,100,Above Trend,-1,Above Trend,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,-1901,-1,-706,0,-1,0,0,-1,0,4655550,-1,4655551,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,7699,True,0,0,-1901,-1,-706,-1,-1,-1,-1,267.0,0,6993,999.0,29970.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,0,0,0,0,0,-1,0,-1,7699,0,w2,0,0,7699,999,-1,6993,Out,-1,Out,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,999,-1,-706,0,-1,0,0,-1,0,4715347,-1,4715348,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,7699,True,0,0,999,-1,-706,-1,-1,-1,-1,0.0,100,6993,999.0,29970.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BALTIMORE MD BP EX - 00CB,ULSD,999,-1,6993,3,0,0,0,0,-1,0,-1,0,0,w3,0,0,0,999,-1,6993,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,09/11 00:00:00 EDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,999,999,-1,-1,6993,999,-1,6993,0,-1,0,0,-1,0,4770287,-1,4770288,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,999,-1,6993,999,-1,6993,True,True,0,False,0,0,999,-1,6993,-1,-1,-1,-1,0.0,0,6993,999.0,29970.0,-1,0,0
