,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,30380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,0,30203,0,30203,30203,-1,0,-1,166822,0,w1,30203,0,166822,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/03 00:00:00 CDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,15367,-1,130902,0,-1,0,0,-1,0,4314932,-1,4314933,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,False,False,0,0,0,0,15367,-1,130902,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,37810,0,37810,37810,-1,0,-1,37810,0,w2,37810,0,37810,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/04 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,7760,-1,259914,0,-1,0,0,-1,0,4374275,-1,4374276,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,37810,True,0,0,7760,-1,259914,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,44600,0,44600,44600,-1,0,-1,82410,0,w2,44600,0,82410,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/05 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,970,-1,215314,0,-1,0,0,-1,0,4432472,-1,4432473,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,82410,True,0,0,970,-1,215314,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,22605,0,22605,22605,-1,0,-1,105015,0,w2,22605,0,105015,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/06 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,22965,-1,192709,0,-1,0,0,-1,0,4485496,-1,4485497,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,105015,True,0,0,22965,-1,192709,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,7601,0,7601,7601,-1,0,-1,112616,0,w2,7601,0,112616,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,37969,-1,185108,0,-1,0,0,-1,0,4539921,-1,4539922,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,112616,True,0,0,37969,-1,185108,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,0,0,0,0,-1,0,-1,112616,0,w2,0,0,112616,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,45570,-1,185108,0,-1,0,0,-1,0,4592243,-1,4592244,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,112616,True,0,0,45570,-1,185108,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,36001,0,36001,36001,-1,0,-1,148617,0,w2,36001,0,148617,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/09 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,9569,-1,149107,0,-1,0,0,-1,0,4655557,-1,4655558,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,148617,True,0,0,9569,-1,149107,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,0,15002,0,15002,15002,-1,0,-1,163619,0,w2,15002,0,163619,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,30568,-1,134105,0,-1,0,0,-1,0,4715354,-1,4715355,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,163619,True,0,0,30568,-1,134105,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,29403,0,29403,29403,-1,0,-1,29403,0,w3,29403,0,29403,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/11 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,16167,-1,268321,0,-1,0,0,-1,0,4770294,-1,4770295,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,29403,True,0,0,16167,-1,268321,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-11,2015-09-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,22730,0,22730,22730,-1,0,-1,52133,0,w3,22730,0,52133,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/12 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,22840,-1,245591,0,-1,0,0,-1,0,4829192,-1,4829193,2015-09-11 22:04:31,2015-09-11 00:00:00,2015-09-11 22:04:31,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,52133,True,0,0,22840,-1,245591,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-12,2015-09-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,30000,0,30000,30000,-1,0,-1,82133,0,w3,30000,0,82133,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/13 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,15570,-1,215591,0,-1,0,0,-1,0,4895254,-1,4895255,2015-09-12 22:05:07,2015-09-12 00:00:00,2015-09-12 22:05:07,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,82133,True,0,0,15570,-1,215591,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-13,2015-09-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,0,0,0,0,-1,0,-1,82133,0,w3,0,0,82133,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/14 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,45570,-1,215591,0,-1,0,0,-1,0,4919562,-1,4919563,2015-09-13 22:05:40,2015-09-13 00:00:00,2015-09-13 22:05:40,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,82133,True,0,0,45570,-1,215591,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-14,2015-09-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,52576,0,52576,52576,-1,0,-1,134709,0,w3,52576,0,134709,45570,-1,297724,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,09/15 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,-7006,-1,163015,0,-1,0,0,-1,0,4965737,-1,4965738,2015-09-14 22:05:06,2015-09-14 00:00:00,2015-09-14 22:05:06,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,134709,True,0,0,-7006,-1,163015,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-15,2015-09-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,37100,0,37100,37100,-1,0,-1,171809,0,w3,37100,0,171809,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/16 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,8470,-1,125915,0,-1,0,0,-1,0,5017355,-1,5017356,2015-09-15 22:05:03,2015-09-15 00:00:00,2015-09-15 22:05:03,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,171809,True,0,0,8470,-1,125915,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-16,2015-09-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,0,52001,0,52001,52001,-1,0,-1,223810,0,w3,52001,0,223810,45570,-1,297724,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,09/17 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,-6431,-1,73914,0,-1,0,0,-1,0,5072031,-1,5072032,2015-09-16 22:06:52,2015-09-16 00:00:00,2015-09-16 22:06:52,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,223810,True,0,0,-6431,-1,73914,-1,-1,-1,-1,133.0,100,212660,30380.0,911400.0,-1,0,0
2015-09-17,2015-09-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,22001,0,22001,22001,-1,0,-1,22001,0,w4,22001,0,22001,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/18 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,23569,-1,275723,0,-1,0,0,-1,0,5126714,-1,5126715,2015-09-17 22:05:41,2015-09-17 00:00:00,2015-09-17 22:05:41,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,22001,True,0,0,23569,-1,275723,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-18,2015-09-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,30106,0,30106,30106,-1,0,-1,52107,0,w4,30106,0,52107,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/19 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,15464,-1,245617,0,-1,0,0,-1,0,5181144,-1,5181145,2015-09-18 22:04:32,2015-09-18 00:00:00,2015-09-18 22:04:32,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,52107,True,0,0,15464,-1,245617,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-19,2015-09-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,22500,0,22500,22500,-1,0,-1,74607,0,w4,22500,0,74607,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/20 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,23070,-1,223117,0,-1,0,0,-1,0,5230269,-1,5230270,2015-09-19 22:00:29,2015-09-19 00:00:00,2015-09-19 22:00:29,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,74607,True,0,0,23070,-1,223117,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-20,2015-09-20 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,0,0,0,0,-1,0,-1,74607,0,w4,0,0,74607,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/21 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,45570,-1,223117,0,-1,0,0,-1,0,5280032,-1,5280033,2015-09-20 22:00:28,2015-09-20 00:00:00,2015-09-20 22:00:28,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,74607,True,0,0,45570,-1,223117,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-21,2015-09-21 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,38993,0,38993,38993,-1,0,-1,113600,0,w4,38993,0,113600,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/22 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,6577,-1,184124,0,-1,0,0,-1,0,5335670,-1,5335671,2015-09-21 22:05:55,2015-09-21 00:00:00,2015-09-21 22:05:55,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,113600,True,0,0,6577,-1,184124,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-22,2015-09-22 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,7500,0,7500,7500,-1,0,-1,121100,0,w4,7500,0,121100,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/23 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,38070,-1,176624,0,-1,0,0,-1,0,5392296,-1,5392297,2015-09-22 22:05:34,2015-09-22 00:00:00,2015-09-22 22:05:34,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,121100,True,0,0,38070,-1,176624,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-23,2015-09-23 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,0,22300,0,22300,22300,-1,0,-1,143400,0,w4,22300,0,143400,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/24 00:00:00 CDT,-1,w4,0,2015-09-24 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,23270,-1,154324,0,-1,0,0,-1,0,5445697,-1,5445698,2015-09-23 22:04:24,2015-09-23 00:00:00,2015-09-23 22:04:24,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,143400,True,0,0,23270,-1,154324,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-24,2015-09-24 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,29500,0,29500,29500,-1,0,-1,29500,0,w5,29500,0,29500,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/25 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,16070,-1,268224,0,-1,0,0,-1,0,5498730,-1,5498731,2015-09-24 22:04:24,2015-09-24 00:00:00,2015-09-24 22:04:24,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,16070,-1,268224,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-25,2015-09-25 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,29608,0,29608,29608,-1,0,-1,59108,0,w5,29608,0,59108,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/26 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,15962,-1,238616,0,-1,0,0,-1,0,5546734,-1,5546735,2015-09-25 22:00:18,2015-09-25 00:00:00,2015-09-25 22:00:18,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,15962,-1,238616,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-26,2015-09-26 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,15000,0,15000,15000,-1,0,-1,74108,0,w5,15000,0,74108,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/27 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,30570,-1,223616,0,-1,0,0,-1,0,5600002,-1,5600003,2015-09-26 22:05:01,2015-09-26 00:00:00,2015-09-26 22:05:01,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,30570,-1,223616,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-27,2015-09-27 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,9200,0,9200,9200,-1,0,-1,83308,0,w5,9200,0,83308,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/28 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,36370,-1,214416,0,-1,0,0,-1,0,5650528,-1,5650529,2015-09-27 22:04:27,2015-09-27 00:00:00,2015-09-27 22:04:27,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,36370,-1,214416,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-28,2015-09-28 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,3,51191,0,51191,51191,-1,0,-1,134499,0,w5,51191,0,134499,45570,-1,297724,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,09/29 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,212660,-5621,-1,163225,0,-1,0,0,-1,0,5700042,-1,5700043,2015-09-28 22:00:22,2015-09-28 00:00:00,2015-09-28 22:00:22,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,-5621,-1,163225,-1,-1,-1,-1,133.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-29,2015-09-29 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,30380,-1,212660,0,30000,0,30000,30000,-1,0,-1,164499,0,w5,30000,0,164499,45570,-1,297724,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/30 00:00:00 CDT,-1,w5,0,2015-10-01 00:00:00,Contract,-1,Contract,30380,30380,-1,-1,183333,15570,-1,133225,0,-1,0,0,-1,0,5755316,-1,5755317,2015-09-29 22:05:34,2015-09-29 00:00:00,2015-09-29 22:05:34,Mansfield,-1,Mansfield,30380,-1,212660,45570,-1,297724,True,True,0,0,0,0,15570,-1,133225,-1,-1,-1,-1,0.0,0,212660,30380.0,911400.0,-1,0,0
2015-09-30,2015-09-30 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w6,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w5,1,2015-10-01 00:00:00,-1,-1,-1,30380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-30 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,-1,-1,-1,30380,-1,212660,45570,-1,297724,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,212660,30380.0,911400.0,-1,0,0
