,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,7378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,0,15200,0,15200,15200,-1,0,-1,65200,0,w1,15200,0,65200,11067,-1,72304,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,09/03 00:00:00 CDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-4133,-1,7104,0,-1,0,0,-1,0,4314940,-1,4314941,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,7378,-1,51646,11067,-1,72304,False,False,0,0,0,0,-4133,-1,7104,-1,-1,-1,-1,267.0,100,51646,7378.0,221340.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,16000,0,16000,16000,-1,0,-1,16000,0,w2,16000,0,16000,11067,-1,72304,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/04 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-4933,-1,56304,0,-1,0,0,-1,0,4374283,-1,4374284,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,7378,-1,51646,11067,-1,72304,True,True,16000,True,0,0,-4933,-1,56304,-1,-1,-1,-1,267.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,7500,0,7500,7500,-1,0,-1,23500,0,w2,7500,0,23500,7378,-1,51646,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,Above Trend,09/05 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-122,-1,28146,0,-1,0,0,-1,0,4432480,-1,4432481,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,23500,True,0,0,-122,-1,28146,-1,-1,-1,-1,133.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,7500,0,7500,7500,-1,0,-1,31000,0,w2,7500,0,31000,7378,-1,51646,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,Above Trend,09/06 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-122,-1,20646,0,-1,0,0,-1,0,4485504,-1,4485505,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,31000,True,0,0,-122,-1,20646,-1,-1,-1,-1,133.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,0,0,0,0,-1,0,-1,31000,0,w2,0,0,31000,7378,-1,51646,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/07 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,7378,-1,20646,0,-1,0,0,-1,0,4539929,-1,4539930,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,31000,True,0,0,7378,-1,20646,-1,-1,-1,-1,0.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,0,0,0,0,-1,0,-1,31000,0,w2,0,0,31000,7378,-1,51646,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/08 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,7378,-1,20646,0,-1,0,0,-1,0,4592251,-1,4592252,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,31000,True,0,0,7378,-1,20646,-1,-1,-1,-1,0.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,7500,0,7500,7500,-1,0,-1,38500,0,w2,7500,0,38500,7378,-1,51646,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,On Track,09/09 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-122,-1,13146,0,-1,0,0,-1,0,4655565,-1,4655566,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,38500,True,0,0,-122,-1,13146,-1,-1,-1,-1,133.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,0,7500,0,7500,7500,-1,0,-1,46000,0,w2,7500,0,46000,7378,-1,51646,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,On Track,09/10 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-122,-1,5646,0,-1,0,0,-1,0,4715362,-1,4715363,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,46000,True,0,0,-122,-1,5646,-1,-1,-1,-1,133.0,0,51646,7378.0,221340.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,COLLINS MS KM SET TP - 00D3,ULSD,7378,-1,51646,3,7500,0,7500,7500,-1,0,-1,7500,0,w3,7500,0,7500,7378,-1,51646,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,On Track,09/11 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,7378,7378,-1,-1,51646,-122,-1,44146,0,-1,0,0,-1,0,4770302,-1,4770303,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,7378,-1,51646,7378,-1,51646,True,True,7500,True,0,0,-122,-1,44146,-1,-1,-1,-1,133.0,0,51646,7378.0,221340.0,-1,0,0
