,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,74395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,0,69637,0,69637,69637,-1,0,-1,352110,0,w1,69637,0,352110,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/03 00:00:00 CDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,41956,-1,376961,0,-1,0,0,-1,0,4314952,-1,4314953,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,0,0,0,0,41956,-1,376961,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,77798,3,77798,77798,-1,0,-1,77798,0,w2,77798,0,77798,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/04 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,33795,-1,651273,0,-1,0,0,-1,0,4374297,-1,4374298,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,77798,True,0,0,33795,-1,651273,-1,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,88569,3,88569,88569,-1,0,-1,166367,0,w2,88569,0,166367,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/05 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,23024,-1,562704,0,-1,0,0,-1,0,4432494,-1,4432495,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,166367,True,0,0,23024,-1,562704,-1,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,47008,3,47008,47008,-1,0,-1,213375,0,w2,47008,0,213375,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/06 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,64585,-1,515696,0,-1,0,0,-1,0,4485518,-1,4485519,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,213375,True,0,0,64585,-1,515696,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,22519,3,22519,15017,-1,0,-1,228392,0,w2,15017,0,228392,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,96576,-1,500679,0,-1,0,0,-1,0,4539943,-1,4539944,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,235894,True,0,0,89074,-1,500679,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,25910,3,25910,25910,-1,0,-1,261804,0,w2,25910,0,261804,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,85683,-1,467267,0,-1,0,0,-1,0,4592265,-1,4592266,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,261804,True,0,0,85683,-1,467267,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,66820,3,66820,66820,-1,0,-1,328624,0,w2,66820,0,328624,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,44773,-1,400447,0,-1,0,0,-1,0,4655579,-1,4655580,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,328624,True,0,0,44773,-1,400447,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,0,45399,0,45399,45399,-1,0,-1,374023,0,w2,45399,0,374023,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 CDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,66194,-1,355048,0,-1,0,0,-1,0,4715376,-1,4715377,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,374023,True,0,0,66194,-1,355048,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,121594,3,121594,120094,-1,0,-1,120094,0,w3,120094,0,120094,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/11 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,-1002,-1,616477,21000,-1,21000,13500,-1,13500,4770316,-1,4770317,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,121594,True,0,0,-10001,-1,608977,21000,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-11,2015-09-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,112552,3,112552,112552,-1,0,-1,234146,0,w3,112552,0,234146,111593,-1,729071,Out,-1,Out,150%,150,-1,100,140%,140,On Track,-1,On Track,09/12 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,-960,-1,503925,0,-1,0,0,-1,0,4829214,-1,4829215,2015-09-11 22:04:31,2015-09-11 00:00:00,2015-09-11 22:04:31,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,234146,True,0,0,-959,-1,494925,-1,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-12,2015-09-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,96467,3,96467,74462,-1,0,-1,308608,0,w3,74462,0,308608,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/13 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,37131,-1,429463,0,-1,0,0,-1,0,4895276,-1,4895277,2015-09-12 22:05:07,2015-09-12 00:00:00,2015-09-12 22:05:07,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,330613,True,0,0,15126,-1,420463,-1,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-13,2015-09-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,74149,3,74149,62824,-1,0,-1,393437,0,w3,62824,0,393437,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/14 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,48769,-1,344634,0,-1,0,0,-1,0,4919584,-1,4919585,2015-09-13 22:05:40,2015-09-13 00:00:00,2015-09-13 22:05:40,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,404762,True,0,0,37444,-1,335634,-1,-1,-1,-1,0.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-14,2015-09-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,124244,3,124244,124244,-1,0,-1,529006,0,w3,124244,0,529006,111593,-1,729071,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,09/15 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,-5326,-1,216391,1000,-1,1000,6326,-1,6326,4965758,-1,4965759,2015-09-14 22:05:06,2015-09-14 00:00:00,2015-09-14 22:05:06,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,529006,True,0,0,-12651,-1,200065,1000,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-15,2015-09-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,3,78071,3,78071,63745,-1,0,-1,592751,0,w3,63745,0,592751,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/16 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,47848,-1,152646,0,-1,0,0,-1,0,5017376,-1,5017377,2015-09-15 22:05:03,2015-09-15 00:00:00,2015-09-15 22:05:03,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,False,False,607077,True,0,0,33522,-1,136320,-1,-1,-1,-1,133.0,0,520765,74395.0,2231850.0,-1,0,0
2015-09-16,2015-09-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,DES PLAINES IL (MOC) - 00BN,ULSD,74395,-1,520765,0,57383,0,57383,57383,-1,0,-1,664460,0,w3,57383,0,664460,111593,-1,729071,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/17 00:00:00 CDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,74395,74395,-1,-1,520765,54210,-1,80937,0,-1,0,0,-1,0,5072052,-1,5072053,2015-09-16 22:06:52,2015-09-16 00:00:00,2015-09-16 22:06:52,Mansfield,-1,Mansfield,74395,-1,520765,111593,-1,729071,True,True,664460,True,0,0,54210,-1,64611,-1,-1,-1,-1,0.0,100,520765,74395.0,2231850.0,-1,0,0
