,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,2122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,2122,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,09/03 00:00:00 EDT,-1,w1,1,2015-09-03 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,2122,-1,-1,0,-1,-1,0,-1,-1,4314995,-1,-1,2015-09-02 00:00:00,2015-09-02 00:00:00,2015-09-02 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,0,0,0,0,2122,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,1,1
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,2000,0,2000,2000,-1,0,-1,-1,0,w1,2000,0,-1,2122,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,09/04 00:00:00 EDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,122,-1,-1,0,-1,-1,0,-1,-1,4374342,-1,-1,2015-09-03 00:00:00,2015-09-03 00:00:00,2015-09-03 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,2000,True,0,0,122,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,2000,0,2000,2000,-1,0,-1,-1,0,w1,2000,0,-1,2122,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,09/05 00:00:00 EDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,122,-1,-1,0,-1,-1,0,-1,-1,4432539,-1,-1,2015-09-04 00:00:00,2015-09-04 00:00:00,2015-09-04 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,4000,True,0,0,122,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,2000,0,2000,2000,-1,0,-1,-1,0,w1,2000,0,-1,2122,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,09/06 00:00:00 EDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,122,-1,-1,0,-1,-1,0,-1,-1,4485563,-1,-1,2015-09-05 00:00:00,2015-09-05 00:00:00,2015-09-05 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,6000,True,0,0,122,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,2501,0,2501,2501,-1,0,-1,-1,0,w1,2501,0,-1,2122,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,09/07 00:00:00 EDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,-379,-1,-1,0,-1,-1,0,-1,-1,4539988,-1,-1,2015-09-06 00:00:00,2015-09-06 00:00:00,2015-09-06 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,8501,True,0,0,-379,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,2122,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,09/08 00:00:00 EDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,2122,2122,-1,-1,-1,2122,-1,-1,0,-1,-1,0,-1,-1,4592310,-1,-1,2015-09-07 00:00:00,2015-09-07 00:00:00,2015-09-07 00:00:00,Mansfield,-1,-1,2122,-1,-1,2122,-1,-1,False,False,8501,True,0,0,2122,-1,-1,-1,-1,-1,-1,0.0,-1,14854,2122.0,63660.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,14857,3,2000,3,2000,2000,-1,0,-1,10501,0,w1,2000,0,10501,3183,-1,20800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2122,2122,-1,-1,14857,1183,-1,10299,0,-1,0,0,-1,0,4655623,-1,4655624,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,2122,-1,14857,3183,-1,20800,False,True,10501,True,0,0,1183,-1,10299,-1,-1,-1,-1,0.0,0,14857,2122.0,63660.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,14857,0,0,0,0,0,-1,0,-1,10501,0,w1,0,0,10501,3183,-1,20800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2122,2122,-1,-1,14857,3183,-1,10299,0,-1,0,0,-1,0,4715420,-1,4715421,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,2122,-1,14857,3183,-1,20800,False,True,10501,True,0,0,3183,-1,10299,-1,-1,-1,-1,0.0,0,14857,2122.0,63660.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,NEWINGTON VA KMSET TP - 00U2,Premium RFG,2122,-1,14857,3,4000,0,4000,4000,-1,0,-1,4000,0,w2,4000,0,4000,3183,-1,20800,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/11 00:00:00 EDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,2122,2122,-1,-1,14857,-817,-1,16800,0,-1,0,0,-1,0,4770360,-1,4770361,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,2122,-1,14857,3183,-1,20800,True,True,4000,True,0,0,-817,-1,16800,-1,-1,-1,-1,133.0,0,14857,2122.0,63660.0,-1,0,0
