,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,47740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,0,60999,0,60999,60999,-1,0,-1,372206,0,w1,60999,0,372206,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/03 00:00:00 EDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,10611,-1,95646,0,-1,0,0,-1,0,4315011,-1,4315012,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,False,False,0,0,0,0,10611,-1,95646,-1,-1,-1,-1,133.0,100,334180,47740.0,1432200.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,46502,0,46502,46502,-1,0,-1,46502,0,w2,46502,0,46502,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/04 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,25108,-1,421350,0,-1,0,0,-1,0,4374358,-1,4374359,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,46502,True,0,0,25108,-1,421350,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,56037,0,56037,56037,-1,0,-1,102539,0,w2,56037,0,102539,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/05 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,15573,-1,365313,0,-1,0,0,-1,0,4432555,-1,4432556,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,102539,True,0,0,15573,-1,365313,-1,-1,-1,-1,133.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,22000,0,22000,22000,-1,0,-1,124539,0,w2,22000,0,124539,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/06 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,49610,-1,343313,0,-1,0,0,-1,0,4485579,-1,4485580,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,124539,True,0,0,49610,-1,343313,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,0,0,0,0,-1,0,-1,124539,0,w2,0,0,124539,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,71610,-1,343313,0,-1,0,0,-1,0,4540004,-1,4540005,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,124539,True,0,0,71610,-1,343313,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,36000,0,36000,36000,-1,0,-1,160539,0,w2,36000,0,160539,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,35610,-1,307313,0,-1,0,0,-1,0,4592325,-1,4592326,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,160539,True,0,0,35610,-1,307313,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,37000,0,37000,37000,-1,0,-1,197539,0,w2,37000,0,197539,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,34610,-1,270313,0,-1,0,0,-1,0,4655640,-1,4655641,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,197539,True,0,0,34610,-1,270313,-1,-1,-1,-1,0.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,0,69713,0,69713,69713,-1,0,-1,267252,0,w2,69713,0,267252,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,1897,-1,200600,0,-1,0,0,-1,0,4715436,-1,4715437,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,267252,True,0,0,1897,-1,200600,-1,-1,-1,-1,133.0,0,334180,47740.0,1432200.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,47740,-1,334180,3,60010,0,60010,60010,-1,0,-1,60010,0,w3,60010,0,60010,71610,-1,467852,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/11 00:00:00 EDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,47740,47740,-1,-1,334180,11600,-1,407842,0,-1,0,0,-1,0,4770376,-1,4770377,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,47740,-1,334180,71610,-1,467852,True,True,60010,True,0,0,11600,-1,407842,-1,-1,-1,-1,133.0,0,334180,47740.0,1432200.0,-1,0,0
