,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,91140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,0,28801,0,28801,28801,-1,0,-1,427378,0,w1,28801,0,427378,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,09/03 00:00:00 EDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,62339,-1,210602,0,-1,0,0,-1,0,4315013,-1,4315014,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,False,False,0,0,0,0,62339,-1,210602,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,80400,3,80400,72900,-1,0,-1,72900,0,w2,72900,0,72900,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,On Track,09/04 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,18240,-1,565080,0,-1,0,0,-1,0,4374360,-1,4374361,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,False,False,80400,True,0,0,10740,-1,565080,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,108111,3,108111,108111,-1,0,-1,188511,0,w2,108111,0,188511,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,Above Trend,-1,On Track,09/05 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,0,-1,466440,60000,-1,60000,43029,-1,43029,4432557,-1,4432558,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,True,True,188511,True,0,0,-16971,-1,449469,60000,-1,-1,-1,133.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,79713,3,79713,79713,-1,0,-1,268224,0,w2,79713,0,268224,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,On Track,09/06 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,11427,-1,386727,60000,-1,60000,43029,-1,43029,4485581,-1,4485582,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,True,True,268224,True,0,0,11427,-1,369756,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,64861,3,64861,57459,-1,0,-1,325683,0,w2,57459,0,325683,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,On Track,09/07 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,33681,-1,329268,60000,-1,60000,43029,-1,43029,4540006,-1,4540007,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,False,False,333085,True,0,0,26279,-1,312297,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,77604,3,77604,70205,-1,0,-1,403290,0,w2,70205,0,403290,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,On Track,09/08 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,20935,-1,251661,60000,-1,60000,43029,-1,43029,4592327,-1,4592328,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,False,False,410689,True,0,0,13536,-1,234690,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,93916,3,93916,93916,-1,0,-1,504605,0,w2,93916,0,504605,91140,-1,637980,Out,-1,Out,100%,100,-1,100,100%,100,On Track,-1,On Track,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,-2776,-1,150346,0,-1,0,0,-1,0,4655642,-1,4655643,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,True,True,504605,True,0,0,-2776,-1,133375,-1,-1,-1,-1,133.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,0,86115,0,86115,86115,-1,0,-1,590720,0,w2,86115,0,590720,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,On Track,-1,On Track,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,5025,-1,64231,0,-1,0,0,-1,0,4715438,-1,4715439,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,True,True,590720,True,0,0,5025,-1,47260,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,91140,-1,637980,3,79099,3,79099,64099,-1,0,-1,64099,0,w3,64099,0,64099,91140,-1,637980,Available,-1,Available,100%,100,-1,100,100%,100,Below Trend,-1,Below Trend,09/11 00:00:00 EDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,91140,91140,-1,-1,637980,27041,-1,573881,0,-1,0,0,-1,0,4770378,-1,4770379,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,91140,-1,637980,91140,-1,637980,False,False,79099,True,0,0,12041,-1,573881,-1,-1,-1,-1,0.0,0,637980,91140.0,2734200.0,-1,0,0
