,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,34720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,0,17002,3,-8800,17002,-1,0,-1,25802,0,w1,17002,0,25802,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/03 00:00:00 EDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,35078,-1,323254,0,-1,0,0,-1,0,4315022,-1,4315023,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,False,0,0,0,0,35078,-1,314454,-1,-1,-1,-1,0.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,46141,3,46141,46141,-1,0,-1,46141,0,w1,46141,0,46141,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/04 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,5939,-1,294115,0,-1,0,0,-1,0,4374369,-1,4374370,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,46141,True,0,0,5939,-1,294115,-1,-1,-1,-1,133.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,36305,3,36305,36305,-1,0,-1,82446,0,w1,36305,0,82446,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/05 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,15775,-1,257810,0,-1,0,0,-1,0,4432566,-1,4432567,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,82446,True,0,0,15775,-1,257810,-1,-1,-1,-1,133.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,26456,3,26456,26456,-1,0,-1,108902,0,w1,26456,0,108902,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/06 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,25624,-1,231354,0,-1,0,0,-1,0,4485590,-1,4485591,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,108902,True,0,0,25624,-1,231354,-1,-1,-1,-1,0.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,0,3,0,0,-1,0,-1,108902,0,w1,0,0,108902,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,52080,-1,231354,0,-1,0,0,-1,0,4540015,-1,4540016,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,108902,True,0,0,52080,-1,231354,-1,-1,-1,-1,0.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,37183,3,37183,37183,-1,0,-1,146085,0,w1,37183,0,146085,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,14897,-1,194171,0,-1,0,0,-1,0,4592336,-1,4592337,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,146085,True,0,0,14897,-1,194171,-1,-1,-1,-1,133.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,3,17001,3,17001,17001,-1,0,-1,163086,0,w1,17001,0,163086,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,35079,-1,177170,0,-1,0,0,-1,0,4655651,-1,4655652,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,163086,True,0,0,35079,-1,177170,-1,-1,-1,-1,0.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,243040,0,34355,0,34355,34355,-1,0,-1,197441,0,w1,34355,0,197441,52080,-1,340256,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,34720,34720,-1,-1,243040,17725,-1,142815,0,-1,0,0,-1,0,4715447,-1,4715448,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,34720,-1,243040,52080,-1,340256,False,True,197441,True,0,0,17725,-1,142815,-1,-1,-1,-1,0.0,0,243040,34720.0,1041600.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,Regular Conventional / E10,34720,-1,-1,0,26515,1,-1,26515,-1,0,-1,-1,0,w2,26515,0,-1,34720,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,On Track,-1,-1,09/11 00:00:00 EDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,34720,34720,-1,-1,-1,8205,-1,-1,0,-1,-1,0,-1,-1,4770387,-1,-1,2015-09-10 00:00:00,2015-09-10 00:00:00,2015-09-10 00:00:00,Mansfield,-1,-1,34720,-1,243040,34720,-1,340256,True,False,26515,False,0,0,8205,-1,-1,-1,-1,-1,-1,0.0,-1,243040,34720.0,1041600.0,-1,0,0
