,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-09-03 00:00:00,-1,-1,-1,26667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-09-01 00:00:00,2015-09-01 00:00:00,2015-09-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,0,36498,0,36498,36498,-1,0,-1,236321,0,w1,36498,0,236321,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/03 00:00:00 EDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,3503,-1,25013,0,-1,0,0,-1,0,4315040,-1,4315041,2015-09-02 19:04:54,2015-09-02 00:00:00,2015-09-02 19:04:54,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,False,False,0,0,0,0,3503,-1,25013,-1,-1,-1,-1,133.0,100,186667,26667.0,800010.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,35622,0,35622,35622,-1,0,-1,35622,0,w2,35622,0,35622,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/04 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,4379,-1,225712,0,-1,0,0,-1,0,4374387,-1,4374388,2015-09-03 22:05:38,2015-09-03 00:00:00,2015-09-03 22:05:38,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,35622,True,0,0,4379,-1,225712,-1,-1,-1,-1,133.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,29805,0,29805,29805,-1,0,-1,65427,0,w2,29805,0,65427,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,09/05 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,10196,-1,195907,0,-1,0,0,-1,0,4432584,-1,4432585,2015-09-04 22:00:21,2015-09-04 00:00:00,2015-09-04 22:00:21,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,65427,True,0,0,10196,-1,195907,-1,-1,-1,-1,133.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,0,0,0,0,-1,0,-1,65427,0,w2,0,0,65427,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/06 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,40001,-1,195907,0,-1,0,0,-1,0,4485607,-1,4485608,2015-09-05 22:00:24,2015-09-05 00:00:00,2015-09-05 22:00:24,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,65427,True,0,0,40001,-1,195907,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,0,0,0,0,-1,0,-1,65427,0,w2,0,0,65427,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,40001,-1,195907,0,-1,0,0,-1,0,4540032,-1,4540033,2015-09-06 22:05:37,2015-09-06 00:00:00,2015-09-06 22:05:37,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,65427,True,0,0,40001,-1,195907,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,15000,0,15000,15000,-1,0,-1,80427,0,w2,15000,0,80427,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,25001,-1,180907,0,-1,0,0,-1,0,4592353,-1,4592354,2015-09-07 22:04:42,2015-09-07 00:00:00,2015-09-07 22:04:42,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,80427,True,0,0,25001,-1,180907,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,14500,0,14500,14500,-1,0,-1,94927,0,w2,14500,0,94927,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,25501,-1,166407,0,-1,0,0,-1,0,4655668,-1,4655669,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,94927,True,0,0,25501,-1,166407,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,0,14000,0,14000,14000,-1,0,-1,108927,0,w2,14000,0,108927,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 EDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,26001,-1,152407,0,-1,0,0,-1,0,4715464,-1,4715465,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,108927,True,0,0,26001,-1,152407,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,TAFT FL CFPL TP - 00N1,ULSD,26667,-1,186667,3,19401,0,19401,19401,-1,0,-1,19401,0,w3,19401,0,19401,40001,-1,261334,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/11 00:00:00 EDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,26667,26667,-1,-1,186667,20600,-1,241933,0,-1,0,0,-1,0,4770403,-1,4770404,2015-09-10 22:05:06,2015-09-10 00:00:00,2015-09-10 22:05:06,Mansfield,-1,Mansfield,26667,-1,186667,40001,-1,261334,True,True,19401,True,0,0,20600,-1,241933,-1,-1,-1,-1,0.0,0,186667,26667.0,800010.0,-1,0,0
