,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,37,1113,260,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,09/02 00:00:00 PDT,10/01 00:00:00 PDT,w1,0,2015-09-03 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,1113,260,0,0,0,0,0,0,4253586,4253588,4253587,2015-09-01 19:06:50,2015-09-01 19:06:50,2015-09-01 19:06:50,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,0,True,0,True,37,1113,260,-1,-1,-1,-1.0,0.0,0,260.0,37.0,1110.0,-1.0,1,1
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,37,1113,260,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,09/03 00:00:00 PDT,10/01 00:00:00 PDT,w1,0,2015-09-03 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,1113,260,0,0,0,0,0,0,4315170,4315172,4315171,2015-09-02 19:06:49,2015-09-02 19:06:49,2015-09-02 19:06:49,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,0,True,0,True,37,1113,260,-1,-1,-1,-1.0,0.0,0,260.0,37.0,1110.0,-1.0,1,1
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,37,1113,260,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,09/04 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,1113,260,0,0,0,0,0,0,4374513,4374515,4374514,2015-09-03 22:06:48,2015-09-03 22:06:48,2015-09-03 22:06:48,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,0,True,0,True,37,1113,260,-1,-1,-1,-1.0,0.0,0,260.0,37.0,1110.0,-1.0,1,1
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,3400,0,3400,3400,3400,0,3400,3400,1,w1,3400,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/05 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,-3363,-2287,-3140,0,0,0,0,0,0,4434497,4434499,4434498,2015-09-04 22:06:46,2015-09-04 22:06:46,2015-09-04 22:06:46,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,-3363,-2287,-3140,-1,-1,-1,2291.0,12133.0,0,260.0,37.0,1110.0,2291.0,1,1
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,3400,1,w1,0,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/06 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,-3140,0,0,0,0,0,0,4487521,4487523,4487522,2015-09-05 22:06:49,2015-09-05 22:06:49,2015-09-05 22:06:49,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,37,-2287,-3140,-1,-1,-1,1833.0,0.0,0,260.0,37.0,1110.0,1833.0,1,1
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,3400,1,w1,0,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/07 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,-3140,0,0,0,0,0,0,4540286,4540288,4540287,2015-09-06 22:07:52,2015-09-06 22:07:52,2015-09-06 22:07:52,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,37,-2287,-3140,-1,-1,-1,1527.0,0.0,0,260.0,37.0,1110.0,1527.0,1,1
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,3400,1,w1,0,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/08 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,-3140,0,0,0,0,0,0,4592481,4592483,4592482,2015-09-07 22:06:47,2015-09-07 22:06:47,2015-09-07 22:06:47,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,37,-2287,-3140,-1,-1,-1,1309.0,0.0,0,260.0,37.0,1110.0,1309.0,1,1
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,3400,1,w1,0,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/09 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,-3140,0,0,0,0,0,0,4655567,4655569,4655568,2015-09-08 22:05:04,2015-09-08 22:05:04,2015-09-08 22:05:04,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,37,-2287,-3140,-1,-1,-1,1146.0,0.0,0,260.0,37.0,1110.0,1146.0,1,1
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,3400,1,w1,0,0,3400,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/10 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-10 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,-3140,0,0,0,0,0,0,4715364,4715366,4715365,2015-09-09 22:04:27,2015-09-09 22:04:27,2015-09-09 22:04:27,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,3400,True,3400,True,37,-2287,-3140,-1,-1,-1,1018.0,0.0,1300,260.0,37.0,1110.0,1018.0,1,1
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,COLTON CA KM TP - 00WM,Premium Conventional / E10,37,1113,260,1,0,0,0,0,3400,0,3400,0,1,w2,0,0,0,37,1113,260,Out,Out,Out,100%,100,100%,100,100%,100,Below Trend,Above Trend,Below Trend,09/11 00:00:00 PDT,10/01 00:00:00 PDT,w3,0,2015-09-17 00:00:00,Contract,Contract,Contract,37,37,1113,1113,260,37,-2287,260,0,0,0,0,0,0,4770532,4770534,4770533,2015-09-10 22:07:26,2015-09-10 22:07:26,2015-09-10 22:07:26,Mansfield,Mansfield,Mansfield,37,1113,260,37,1113,260,True,True,0,True,3400,True,37,-2287,260,-1,-1,-1,916.0,0.0,0,260.0,37.0,1110.0,916.0,1,1
