,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,3,12300,3,12300,10300,-1,0,-1,132264,0,w1,10300,0,132264,22221,-1,145173,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/02 00:00:00 PDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,11921,-1,25758,35000,-1,35000,35000,-1,35000,4253594,-1,4253595,2015-09-01 19:06:50,2015-09-01 00:00:00,2015-09-01 19:06:50,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,False,False,12300,False,12300,False,9921,-1,12909,-1,-1,-1,-1,0.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,0,36300,0,36300,36300,-1,0,-1,170564,0,w1,36300,0,170564,22221,-1,145173,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/03 00:00:00 PDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,0,-1,1537,22000,-1,22000,7921,-1,7921,4315178,-1,4315179,2015-09-02 19:06:49,2015-09-02 00:00:00,2015-09-02 19:06:49,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,False,False,48600,False,48600,False,-14079,-1,-25391,22000,-1,22000,-1,267.0,100,103695,14814.0,444420.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,3,38000,0,38000,38000,-1,0,-1,38000,0,w2,38000,0,38000,22221,-1,145173,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/04 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,0,-1,122952,22000,-1,22000,6221,-1,6221,4374521,-1,4374522,2015-09-03 22:06:48,2015-09-03 00:00:00,2015-09-03 22:06:48,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,True,True,38000,False,86600,False,-15779,-1,107173,22000,-1,-1,-1,267.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,3,5500,0,5500,5500,-1,0,-1,43500,0,w2,5500,0,43500,22221,-1,145173,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,09/05 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,16721,-1,117452,0,-1,0,0,-1,0,4434505,-1,4434506,2015-09-04 22:06:46,2015-09-04 00:00:00,2015-09-04 22:06:46,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,True,True,43500,False,92100,False,16721,-1,101673,-1,-1,-1,-1,0.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,3,26000,0,26000,26000,-1,0,-1,69500,0,w2,26000,0,69500,22221,-1,145173,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,09/06 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,-3779,-1,91452,0,-1,0,0,-1,0,4487529,-1,4487530,2015-09-05 22:06:49,2015-09-05 00:00:00,2015-09-05 22:06:49,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,True,True,69500,False,118100,False,-3779,-1,75673,-1,-1,-1,-1,133.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,3,24280,0,24280,24280,-1,0,-1,93780,0,w2,24280,0,93780,22221,-1,145173,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,09/07 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,-2059,-1,67172,0,-1,0,0,-1,0,4540294,-1,4540295,2015-09-06 22:07:52,2015-09-06 00:00:00,2015-09-06 22:07:52,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,True,True,93780,False,142380,False,-2059,-1,51393,-1,-1,-1,-1,133.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,103695,0,32460,0,32460,32460,-1,0,-1,126240,0,w2,32460,0,126240,22221,-1,145173,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/08 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,14814,14814,-1,-1,103695,-10239,-1,34712,0,-1,0,0,-1,0,4592489,-1,4592490,2015-09-07 22:06:47,2015-09-07 00:00:00,2015-09-07 22:06:47,Mansfield,-1,Mansfield,14814,-1,103695,22221,-1,145173,True,True,126240,False,174840,False,-10239,-1,18933,-1,-1,-1,-1,267.0,0,103695,14814.0,444420.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,18500,1,-1,18500,-1,0,-1,-1,0,w3,18500,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/09 00:00:00 PDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-3686,-1,-1,0,-1,-1,0,-1,-1,4655602,-1,-1,2015-09-08 00:00:00,2015-09-08 00:00:00,2015-09-08 00:00:00,Mansfield,-1,-1,14814,-1,103695,14814,-1,145173,True,False,144740,False,193340,False,-3686,-1,-1,-1,-1,-1,-1,0.0,-1,103695,14814.0,444420.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,17350,0,17350,17350,-1,0,-1,-1,0,w3,17350,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/10 00:00:00 PDT,-1,w2,1,2015-09-10 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-2536,-1,-1,0,-1,-1,0,-1,-1,4715399,-1,-1,2015-09-09 00:00:00,2015-09-09 00:00:00,2015-09-09 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,162090,False,210690,False,-2536,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,21000,0,21000,21000,-1,0,-1,-1,0,w3,21000,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/11 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-6186,-1,-1,0,-1,-1,0,-1,-1,4770540,-1,-1,2015-09-10 00:00:00,2015-09-10 00:00:00,2015-09-10 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,21000,False,231690,False,-6186,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-11,2015-09-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,12000,0,12000,12000,-1,0,-1,-1,0,w3,12000,0,-1,14814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,On Track,-1,-1,09/12 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,2814,-1,-1,0,-1,-1,0,-1,-1,4829438,-1,-1,2015-09-11 00:00:00,2015-09-11 00:00:00,2015-09-11 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,33000,False,243690,False,2814,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-12,2015-09-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w3,0,0,-1,14814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,Below Trend,-1,-1,09/13 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,14814,-1,-1,0,-1,-1,0,-1,-1,4895299,-1,-1,2015-09-12 00:00:00,2015-09-12 00:00:00,2015-09-12 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,33000,False,243690,False,14814,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-13,2015-09-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,8000,0,8000,8000,-1,0,-1,-1,0,w3,8000,0,-1,14814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,Below Trend,-1,-1,09/14 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,6814,-1,-1,0,-1,-1,0,-1,-1,4919808,-1,-1,2015-09-13 00:00:00,2015-09-13 00:00:00,2015-09-13 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,41000,False,251690,False,6814,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-14,2015-09-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,14921,0,14921,14921,-1,0,-1,-1,0,w3,14921,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/15 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-107,-1,-1,0,-1,-1,0,-1,-1,4965985,-1,-1,2015-09-14 00:00:00,2015-09-14 00:00:00,2015-09-14 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,55921,False,266611,False,-107,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-15,2015-09-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,19000,0,19000,19000,-1,0,-1,-1,0,w3,19000,0,-1,14814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/16 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-4186,-1,-1,8000,-1,-1,8000,-1,-1,5017603,-1,-1,2015-09-15 00:00:00,2015-09-15 00:00:00,2015-09-15 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,74921,False,285611,False,-4186,-1,-1,8000,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-16,2015-09-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,17400,0,17400,17400,-1,0,-1,-1,0,w3,17400,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/17 00:00:00 PDT,-1,w3,1,2015-09-17 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-2586,-1,-1,0,-1,-1,0,-1,-1,5072074,-1,-1,2015-09-16 00:00:00,2015-09-16 00:00:00,2015-09-16 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,92321,False,303011,False,-2586,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-17,2015-09-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,12050,0,12050,12050,-1,0,-1,-1,0,w3,12050,0,-1,14814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,140,On Track,-1,-1,09/18 00:00:00 PDT,-1,w4,1,2015-09-24 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,2764,-1,-1,0,-1,-1,0,-1,-1,5126962,-1,-1,2015-09-17 00:00:00,2015-09-17 00:00:00,2015-09-17 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,12050,False,315061,False,2764,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-18,2015-09-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,19500,0,19500,19500,-1,0,-1,-1,0,w3,19500,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/19 00:00:00 PDT,-1,w4,1,2015-09-24 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-4686,-1,-1,0,-1,-1,0,-1,-1,5181185,-1,-1,2015-09-18 00:00:00,2015-09-18 00:00:00,2015-09-18 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,31550,False,334561,False,-4686,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-19,2015-09-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,21000,0,21000,21000,-1,0,-1,-1,0,w3,21000,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/20 00:00:00 PDT,-1,w4,1,2015-09-24 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-6186,-1,-1,0,-1,-1,0,-1,-1,5231794,-1,-1,2015-09-19 00:00:00,2015-09-19 00:00:00,2015-09-19 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,52550,False,355561,False,-6186,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
2015-09-20,2015-09-20 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,14814,-1,-1,0,19500,0,19500,19500,-1,0,-1,-1,0,w3,19500,0,-1,14814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,140,Above Trend,-1,-1,09/21 00:00:00 PDT,-1,w4,1,2015-09-24 00:00:00,Contract,-1,-1,14814,14814,-1,-1,-1,-4686,-1,-1,0,-1,-1,0,-1,-1,5280073,-1,-1,2015-09-20 00:00:00,2015-09-20 00:00:00,2015-09-20 00:00:00,Mansfield,-1,-1,14814,-1,-1,14814,-1,-1,False,False,72050,False,375061,False,-4686,-1,-1,-1,-1,-1,-1,0.0,-1,103698,14814.0,444420.0,-1,0,0
