,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,17128,420372,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-01 22:04:50,9238725,Mansfield,2015-12-01
1,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,24636,412864,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,11,2015-12-02 22:09:05,9292983,Mansfield,2015-12-02
2,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,28241,409259,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-03 22:09:34,9346317,Mansfield,2015-12-03
3,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,35745,401755,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-04 22:08:31,9399876,Mansfield,2015-12-04
4,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,35745,401755,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-05 22:09:17,9452030,Mansfield,2015-12-05
5,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,35745,401755,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-06 22:08:58,9489277,Mansfield,2015-12-06
6,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,35745,401755,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-07 22:08:38,9533852,Mansfield,2015-12-07
7,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,63905,373595,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,10,2015-12-08 22:08:53,9585860,Mansfield,2015-12-08
8,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,76471,361029,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,24,2015-12-09 22:07:26,9636701,Mansfield,2015-12-09
9,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,77472,360028,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,18,2015-12-10 19:07:55,9674932,Mansfield,2015-12-10
10,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,77472,360028,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,11,2015-12-11 22:09:09,9740421,Mansfield,2015-12-11
11,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,77472,360028,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,20,2015-12-12 22:09:44,9794681,Mansfield,2015-12-12
12,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,77472,360028,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,20,2015-12-13 22:09:43,9831862,Mansfield,2015-12-13
13,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,77472,360028,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,12,2015-12-14 22:09:35,9911736,Mansfield,2015-12-14
14,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,107702,329798,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,24,2015-12-15 22:05:01,9989586,Mansfield,2015-12-15
15,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,116049,321451,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,36,2015-12-16 23:56:47,10163595,Mansfield,2015-12-16
16,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,125947,311553,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,35,2015-12-17 22:34:19,10325668,Mansfield,2015-12-17
17,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,125947,311553,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2015-12-18 22:18:20,10491699,Mansfield,2015-12-18
18,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,125947,311553,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,8,2015-12-19 10:19:05,10524634,Mansfield,2015-12-19
19,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,125947,311553,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,28,2015-12-21 22:13:20,10673778,Mansfield,2015-12-21
20,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,140795,296705,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,33,2015-12-22 22:15:52,10839669,Mansfield,2015-12-22
21,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,161311,276189,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2015-12-23 22:09:27,10988089,Mansfield,2015-12-23
22,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,168825,268675,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,30,2015-12-24 19:44:21,11117212,Mansfield,2015-12-24
23,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,176545,260955,0,0,01/01 00:00:00 EST,350000,GROUP DSL,Monthly,1,2015-12-28 02:04:16,11128109,Mansfield,2015-12-28
24,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,7502,429998,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,22,2016-01-04 22:31:18,11618435,Mansfield,2016-01-04
25,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,22572,414928,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,34,2016-01-05 22:19:14,11792080,Mansfield,2016-01-05
26,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,22572,414928,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2016-01-06 22:19:57,11944755,Mansfield,2016-01-06
27,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,30086,407414,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,33,2016-01-07 22:10:15,12104335,Mansfield,2016-01-07
28,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,39133,398367,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,31,2016-01-08 22:20:10,12255839,Mansfield,2016-01-08
29,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,39133,398367,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2016-01-09 22:17:57,12412327,Mansfield,2016-01-09
30,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,39133,398367,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2016-01-10 22:19:14,12563386,Mansfield,2016-01-10
31,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,66535,370965,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2016-01-11 22:19:28,12715374,Mansfield,2016-01-11
32,Holly,Contract,,Available,,MANSFIELD OIL CO OF GAIN - CONT PRODUCT,0,437500,EL Dorado GAS/DSL Cont,86408,351092,0,0,02/01 00:00:00 EST,350000,GROUP DSL,Monthly,32,2016-01-12 22:21:59,12862687,Mansfield,2016-01-12
