,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,45000,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-07-03 00:00:00,Contract,-1,3462,0,0,1192009,2015-07-01 22:02:28,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-02,2015-07-02 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52500,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-07-03 00:00:00,Contract,-1,-4038,0,0,1228383,2015-07-02 15:02:32,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-03,2015-07-03 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,0,1,w2,0,0,0,48462,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,48462,0,0,1240388,2015-07-03 08:56:18,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-04,2015-07-04 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,0,1,w2,0,0,0,48462,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,48462,0,0,1250529,2015-07-04 08:02:37,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-05,2015-07-05 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,0,1,w2,0,0,0,48462,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,48462,0,0,1260901,2015-07-05 08:02:34,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-06,2015-07-06 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,0,1,w2,0,0,0,48462,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,48462,0,0,1271273,2015-07-06 08:03:25,Mansfield,0,0,1,0,3,22501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-07,2015-07-07 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,22501,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-07-10 00:00:00,Contract,-1,25961,0,0,1292368,2015-07-07 22:02:28,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-08,2015-07-08 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,30001,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-07-10 00:00:00,Contract,-1,18461,0,0,1312998,2015-07-08 12:03:20,Mansfield,0,0,1,0,3,22503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-09,2015-07-09 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52504,1,w2,0,0,0,48462,Out,100%,100,Above Trend,w2,0,2015-07-10 00:00:00,Contract,-1,-4042,0,0,1325661,2015-07-09 18:01:28,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-10,2015-07-10 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w3,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,40962,0,0,1373746,2015-07-10 22:03:32,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
