,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,2101,0,0,07/02 00:00:00 EDT,,89 MID,Daily,11,2015-07-01 22:00:08,1192685,Mansfield,2015-07-01
1,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/03 00:00:00 EDT,,89 MID,Daily,7,2015-07-02 15:00:12,1228995,Mansfield,2015-07-02
2,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/04 00:00:00 EDT,,89 MID,Daily,2,2015-07-03 08:53:53,1240745,Mansfield,2015-07-03
3,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/05 00:00:00 EDT,,89 MID,Daily,2,2015-07-04 08:00:07,1251149,Mansfield,2015-07-04
4,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/06 00:00:00 EDT,,89 MID,Daily,2,2015-07-05 08:00:09,1261518,Mansfield,2015-07-05
5,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/07 00:00:00 EDT,,89 MID,Daily,2,2015-07-06 08:01:06,1271890,Mansfield,2015-07-06
6,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,1399,0,0,07/08 00:00:00 EDT,,89 MID,Daily,3,2015-07-07 12:01:06,1287897,Mansfield,2015-07-07
7,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/09 00:00:00 EDT,,89 MID,Daily,3,2015-07-08 12:01:05,1313363,Mansfield,2015-07-08
8,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/10 00:00:00 EDT,,89 MID,Daily,1,2015-07-09 14:39:57,1320984,Mansfield,2015-07-09
9,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/11 00:00:00 EDT,,89 MID,Daily,9,2015-07-10 22:01:07,1374062,Mansfield,2015-07-10
10,Murphy,Contract,,Out,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,-4200,0,0,07/12 00:00:00 EDT,,89 MID,Daily,10,2015-07-11 22:01:05,1429230,Mansfield,2015-07-11
11,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/13 00:00:00 EDT,,89 MID,Daily,10,2015-07-12 22:01:08,1482513,Mansfield,2015-07-12
12,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/14 00:00:00 EDT,,89 MID,Daily,10,2015-07-13 22:01:09,1539262,Mansfield,2015-07-13
13,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,4000,0,0,07/15 00:00:00 EDT,,89 MID,Daily,1,2015-07-14 02:01:08,1546027,Mansfield,2015-07-14
14,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,46200,0,0,07/02 00:00:00 EDT,,M,Daily,11,2015-07-01 22:00:08,1192686,Mansfield,2015-07-01
15,Murphy,Contract,,Available,,Unbranded,0,0,Albany GA (348) - Magellan (453),0,46200,0,0,07/03 00:00:00 EDT,,M,Daily,7,2015-07-02 15:00:12,1228996,Mansfield,2015-07-02
