,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,52441,3,52441,44740,44740,0,44740,217386,1,w1,44740,0,52441,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,101%,101%,111%,08/02 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,18164,1671260,170098,0,0,0,0,0,0,2566825,2566827,2566826,2015-08-01 22:00:07,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62903,1716000,387483,False,False,52441,True,52441,True,10463,1671260,335043,-1,-1,-1,89.0,133.0,0,352258.0,50323.0,1560013.0,104.0,0,0
2015-08-02,2015-08-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,67729,3,67729,67729,120170,0,120170,292816,1,w1,67729,0,120170,62904,1716000,387484,Out,Available,Available,125%,125,110%,110,110%,110,153%,127%,119%,08/03 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-4825,1595830,94668,0,0,0,0,0,0,2612563,2612565,2612564,2015-08-02 22:00:11,2015-08-02 22:00:11,2015-08-02 22:00:11,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,120170,True,120170,True,-4825,1595830,267314,-1,-1,-1,119.0,133.0,0,352258.0,50323.0,1560013.0,119.0,1,1
2015-08-03,2015-08-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,52717,3,52717,52717,172887,0,172887,345533,1,w1,52717,0,172887,62904,1716000,387484,Limited,Available,Limited,125%,125,110%,110,110%,110,119%,119%,117%,08/04 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,10187,1543113,41951,0,0,0,0,0,0,2667694,2667696,2667695,2015-08-03 22:00:09,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,172887,True,172887,True,10187,1543113,214597,-1,-1,-1,115.0,133.0,0,352258.0,50323.0,1560013.0,115.0,1,1
2015-08-04,2015-08-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,44993,0,44993,44993,217880,0,217880,390526,1,w1,44993,0,217880,62904,1716000,387484,Available,Available,Out,125%,125,110%,110,110%,110,102%,112%,113%,08/05 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,17911,1498120,-3042,0,0,0,0,0,0,2723013,2723015,2723014,2015-08-04 22:00:06,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,217880,True,217880,True,17911,1498120,169604,-1,-1,-1,108.0,0.0,0,352258.0,50323.0,1560013.0,108.0,1,1
2015-08-05,2015-08-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,45313,3,45313,45313,263193,0,263193,45313,1,w2,45313,0,45313,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,102%,107%,102%,08/06 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,17591,1452807,342171,0,0,0,0,0,0,2784819,2784821,2784820,2015-08-05 22:00:08,2015-08-05 22:00:08,2015-08-05 22:00:08,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,45313,True,263193,True,17591,1452807,342171,-1,-1,-1,105.0,0.0,0,352258.0,50323.0,1560013.0,105.0,1,1
2015-08-06,2015-08-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,60256,3,60256,60256,323449,0,323449,105569,1,w2,60256,0,105569,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,136%,109%,112%,08/07 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,2648,1392551,281915,0,0,0,0,0,0,2841742,2841744,2841743,2015-08-06 22:00:07,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,105569,True,323449,True,2648,1392551,281915,-1,-1,-1,107.0,133.0,0,352258.0,50323.0,1560013.0,107.0,1,1
2015-08-07,2015-08-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,64153,3,64153,64153,387602,0,387602,169722,1,w2,64153,0,169722,62904,1716000,387484,Out,Available,Available,125%,125,110%,110,110%,110,145%,112%,117%,08/08 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-1249,1328398,217762,0,0,0,0,0,0,2895084,2895086,2895085,2015-08-07 22:00:06,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,169722,True,387602,True,-1249,1328398,217762,-1,-1,-1,110.0,133.0,0,352258.0,50323.0,1560013.0,110.0,1,1
2015-08-08,2015-08-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,45094,3,45094,45094,432696,0,432696,214816,1,w2,45094,0,214816,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,102%,109%,110%,08/09 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,17810,1283304,172668,0,0,0,0,0,0,2951045,2951047,2951046,2015-08-08 22:00:06,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,214816,True,432696,True,17810,1283304,172668,-1,-1,-1,107.0,0.0,0,352258.0,50323.0,1560013.0,107.0,1,1
2015-08-09,2015-08-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,15100,3,15100,15100,447796,0,447796,229916,1,w2,15100,0,229916,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,34%,100%,94%,08/10 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,47804,1268204,157568,0,0,0,0,0,0,3003041,3003043,3003042,2015-08-09 22:01:06,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,229916,True,447796,True,47804,1268204,157568,-1,-1,-1,99.0,0.0,0,352258.0,50323.0,1560013.0,99.0,1,1
2015-08-10,2015-08-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,30503,3,30503,22503,470299,0,470299,252419,1,w2,22503,0,260419,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,51%,95%,85%,08/11 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,40401,1245701,135065,0,0,0,0,0,0,3064849,3064851,3064850,2015-08-10 22:01:05,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,260419,True,478299,True,32401,1245701,127065,-1,-1,-1,93.0,0.0,0,352258.0,50323.0,1560013.0,95.0,0,0
2015-08-11,2015-08-11 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,66959,0,66959,66959,545258,0,545258,327378,1,w2,66959,0,327378,62904,1716000,387484,Out,Available,Limited,125%,125,110%,110,110%,110,151%,100%,95%,08/12 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-4055,1170742,60106,0,0,0,0,0,0,3111971,3111973,3111972,2015-08-11 22:01:11,2015-08-11 22:01:11,2015-08-11 22:01:11,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,327378,True,545258,True,-4055,1170742,60106,-1,-1,-1,99.0,133.0,0,352258.0,50323.0,1560013.0,99.0,1,1
2015-08-12,2015-08-12 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,44518,0,44518,44518,589776,0,589776,44518,1,w3,44518,0,44518,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,100%,99%,100%,08/13 00:00:00 CDT,09/01 00:00:00 CDT,w3,0,2015-08-19 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,18386,1126224,342966,0,0,0,0,0,0,3168284,3168286,3168285,2015-08-12 22:01:08,2015-08-12 22:01:08,2015-08-12 22:01:08,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,44518,True,589776,True,18386,1126224,342966,-1,-1,-1,98.0,0.0,0,352258.0,50323.0,1560013.0,98.0,1,1
