,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,38001,3,38001,38001,38001,0,38001,207095,1,w1,38001,0,38001,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,86%,86%,106%,08/02 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,24903,1677999,180389,0,0,0,0,0,0,2566828,2566830,2566829,2015-08-01 22:00:07,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62903,1716000,387483,False,False,38001,True,38001,True,24903,1677999,349483,-1,-1,-1,76.0,0.0,0,352258.0,50323.0,1560013.0,76.0,1,1
2015-08-02,2015-08-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,45598,3,45598,37998,75999,0,75999,245093,1,w1,37998,0,83599,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,86%,80%,100%,08/03 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,24906,1640001,142391,0,0,0,0,0,0,2612566,2612568,2612567,2015-08-02 22:00:11,2015-08-02 22:00:11,2015-08-02 22:00:11,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,83599,True,83599,True,17306,1640001,303885,-1,-1,-1,76.0,0.0,0,352258.0,50323.0,1560013.0,83.0,0,0
2015-08-03,2015-08-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,42200,3,42200,42200,125799,0,125799,294893,1,w1,42200,0,125799,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,95%,87%,100%,08/04 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,20704,1590201,92591,0,0,0,0,0,0,2667697,2667699,2667698,2015-08-03 22:00:09,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,False,125799,True,125799,True,20704,1590201,261685,-1,-1,-1,83.0,0.0,0,352258.0,50323.0,1560013.0,83.0,1,1
2015-08-04,2015-08-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,68002,0,60402,60402,186201,0,186201,355295,1,w1,60402,0,193801,62904,1716000,387484,Limited,Available,Limited,125%,125,110%,110,110%,110,136%,95%,103%,08/05 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,2502,1529799,32189,0,0,0,0,0,0,2723016,2723018,2723017,2015-08-04 22:00:06,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,False,193801,True,193801,True,-5098,1529799,193683,-1,-1,-1,93.0,133.0,0,352258.0,50323.0,1560013.0,96.0,1,0
2015-08-05,2015-08-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,67001,3,67001,59401,253202,0,253202,59401,1,w2,59401,0,67001,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,134%,103%,134%,08/06 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,3503,1462798,328083,0,0,0,0,0,0,2784822,2784824,2784823,2015-08-05 22:00:08,2015-08-05 22:00:08,2015-08-05 22:00:08,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,67001,True,260802,True,-4097,1462798,320483,-1,-1,-1,101.0,133.0,0,352258.0,50323.0,1560013.0,104.0,1,0
2015-08-06,2015-08-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,60401,3,60401,52801,313603,0,313603,119802,1,w2,52801,0,127402,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,119%,106%,127%,08/07 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,10103,1402397,267682,0,0,0,0,0,0,2841745,2841747,2841746,2015-08-06 22:00:07,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,127402,True,321203,True,2503,1402397,260082,-1,-1,-1,104.0,133.0,0,352258.0,50323.0,1560013.0,106.0,1,0
2015-08-07,2015-08-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,36196,3,36196,28597,349800,0,349800,155999,1,w2,28597,0,163598,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,65%,101%,108%,08/08 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,34307,1366200,231485,0,0,0,0,0,0,2895087,2895089,2895088,2015-08-07 22:00:06,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,163598,True,357399,True,26708,1366200,223886,-1,-1,-1,99.0,0.0,0,352258.0,50323.0,1560013.0,101.0,0,0
2015-08-08,2015-08-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,38000,3,38000,22800,380199,0,380199,186398,1,w2,22800,0,201598,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,51%,96%,95%,08/09 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,40104,1335801,201086,0,0,0,0,0,0,2951048,2951050,2951049,2015-08-08 22:00:06,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,201598,True,395399,True,24904,1335801,185886,-1,-1,-1,94.0,0.0,0,352258.0,50323.0,1560013.0,98.0,0,0
2015-08-09,2015-08-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,38001,3,38001,30401,425800,0,425800,231999,1,w2,30401,0,239599,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,69%,95%,94%,08/10 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,32503,1290200,155485,0,0,0,0,0,0,3003044,3003046,3003045,2015-08-09 22:01:06,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,239599,True,433400,True,24903,1290200,147885,-1,-1,-1,94.0,0.0,0,352258.0,50323.0,1560013.0,96.0,1,0
2015-08-10,2015-08-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,NON BIO DIESEL,50323,1560000,352258,1,49399,3,49399,41799,475199,0,475199,281398,1,w2,41799,0,288998,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,94%,96%,95%,08/11 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,21105,1240801,106086,0,0,0,0,0,0,3064852,3064854,3064853,2015-08-10 22:01:05,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,288998,True,482799,True,13505,1240801,98486,-1,-1,-1,94.0,0.0,0,352258.0,50323.0,1560013.0,96.0,1,0
