,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,21692,3,21692,7232,7232,0,7232,75564,1,w1,7232,0,21692,17989,1593333,359785,Available,Available,Available,35%,35,100%,100,100%,100,16%,16%,38%,08/02 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,10757,1586101,284221,0,0,0,0,0,0,2566837,2566839,2566838,2015-08-01 22:00:07,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,Mansfield,51397,1593333,359785,17989,1593333,359785,False,False,21692,True,21692,True,-3703,1586101,338093,-1,-1,-1,14.0,0.0,0,359785.0,51398.0,1593338.0,42.0,0,0
2015-08-02,2015-08-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,21893,3,21893,21893,43585,0,43585,111917,1,w1,21893,0,43585,17989,1593333,359785,Out,Available,Available,35%,35,100%,100,100%,100,48%,45%,45%,08/03 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,-3904,1549748,247868,0,0,0,0,0,0,2612575,2612577,2612576,2015-08-02 22:00:11,2015-08-02 22:00:11,2015-08-02 22:00:11,Mansfield,Mansfield,Mansfield,51397,1593333,359785,17989,1593333,359785,True,False,43585,True,43585,True,-3904,1549748,316200,-1,-1,-1,42.0,0.0,0,359785.0,51398.0,1593338.0,42.0,1,1
2015-08-03,2015-08-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,21598,3,21598,21598,65183,0,65183,133515,1,w1,21598,0,65183,17989,1593333,359785,Out,Available,Available,35%,35,100%,100,100%,100,48%,44%,44%,08/04 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,-3609,1528150,226270,0,0,0,0,0,0,2667706,2667708,2667707,2015-08-03 22:00:09,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,Mansfield,51397,1593333,359785,17989,1593333,359785,True,False,65183,True,65183,True,-3609,1528150,294602,-1,-1,-1,42.0,0.0,0,359785.0,51398.0,1593338.0,42.0,1,1
2015-08-04,2015-08-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,23896,0,23896,23896,89079,0,89079,157411,1,w1,23896,0,89079,17989,1593333,359785,Out,Available,Available,35%,35,100%,100,100%,100,53%,45%,45%,08/05 00:00:00 CDT,09/01 00:00:00 CDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,-5907,1504254,202374,0,0,0,0,0,0,2723025,2723027,2723026,2015-08-04 22:00:06,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,Mansfield,51397,1593333,359785,17989,1593333,359785,True,False,89079,True,89079,True,-5907,1504254,270706,-1,-1,-1,43.0,0.0,0,359785.0,51398.0,1593338.0,43.0,1,1
2015-08-05,2015-08-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,14435,3,14435,14435,103514,0,103514,14435,1,w2,14435,0,14435,35979,1593333,359785,Available,Available,Available,70%,70,100%,100,100%,100,32%,41%,32%,08/06 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,21544,1489819,345350,0,0,0,0,0,0,2784831,2784833,2784832,2015-08-05 22:00:08,2015-08-05 22:00:08,2015-08-05 22:00:08,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,True,True,14435,True,103514,True,21544,1489819,345350,-1,-1,-1,40.0,0.0,0,359785.0,51398.0,1593338.0,40.0,1,1
2015-08-06,2015-08-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28864,3,28864,14463,117977,0,117977,28898,1,w2,14463,0,43299,35979,1593333,359785,Available,Available,Available,70%,70,100%,100,100%,100,32%,39%,30%,08/07 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,21516,1475356,330887,0,0,0,0,0,0,2841754,2841756,2841755,2015-08-06 22:00:07,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,False,True,43299,True,132378,True,7115,1475356,316486,-1,-1,-1,38.0,0.0,0,359785.0,51398.0,1593338.0,43.0,0,0
2015-08-07,2015-08-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28830,3,28830,21599,153977,0,153977,64898,1,w2,21599,0,72129,35979,1593333,359785,Available,Available,Available,70%,70,100%,100,100%,100,48%,44%,44%,08/08 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,14380,1439356,294887,0,0,0,0,0,0,2895096,2895098,2895097,2015-08-07 22:00:06,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,False,True,72129,True,161208,True,7149,1439356,287656,-1,-1,-1,43.0,0.0,0,359785.0,51398.0,1593338.0,45.0,0,0
2015-08-08,2015-08-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28799,3,28799,28799,190007,0,190007,100928,1,w2,28799,0,100928,35979,1593333,359785,Limited,Available,Available,70%,70,100%,100,100%,100,64%,47%,51%,08/09 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,7180,1403326,258857,0,0,0,0,0,0,2951057,2951059,2951058,2015-08-08 22:00:06,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,True,True,100928,True,190007,True,7180,1403326,258857,-1,-1,-1,46.0,0.0,0,359785.0,51398.0,1593338.0,46.0,1,1
2015-08-09,2015-08-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28797,3,28797,28797,218804,0,218804,129725,1,w2,28797,0,129725,35979,1593333,359785,Limited,Available,Available,70%,70,100%,100,100%,100,64%,48%,52%,08/10 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,7182,1374529,230060,0,0,0,0,0,0,3003053,3003055,3003054,2015-08-09 22:01:06,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,True,True,129725,True,218804,True,7182,1374529,230060,-1,-1,-1,47.0,0.0,0,359785.0,51398.0,1593338.0,47.0,1,1
2015-08-10,2015-08-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,42006,3,42006,34801,253605,0,253605,164526,1,w2,34801,0,171731,35979,1593333,359785,Limited,Available,Available,70%,70,100%,100,100%,100,77%,50%,54%,08/11 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,1178,1339728,195259,0,0,0,0,0,0,3064861,3064863,3064862,2015-08-10 22:01:05,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,False,True,171731,True,260810,True,-6027,1339728,188054,-1,-1,-1,49.0,0.0,0,359785.0,51398.0,1593338.0,51.0,0,0
2015-08-11,2015-08-11 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,36095,0,36095,36095,296905,0,296905,207826,1,w2,36095,0,207826,35979,1593333,359785,Out,Available,Available,70%,70,100%,100,100%,100,80%,53%,59%,08/12 00:00:00 CDT,09/01 00:00:00 CDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,-116,1296428,151959,0,0,0,0,0,0,3111983,3111985,3111984,2015-08-11 22:01:11,2015-08-11 22:01:11,2015-08-11 22:01:11,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,True,True,207826,True,296905,True,-116,1296428,151959,-1,-1,-1,53.0,0.0,0,359785.0,51398.0,1593338.0,53.0,1,1
2015-08-12,2015-08-12 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28804,3,28804,28804,325709,0,325709,28804,1,w3,28804,0,28804,35979,1593333,359785,Limited,Available,Available,70%,70,100%,100,100%,100,64%,53%,64%,08/13 00:00:00 CDT,09/01 00:00:00 CDT,w3,0,2015-08-19 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,7175,1267624,330981,0,0,0,0,0,0,3168296,3168298,3168297,2015-08-12 22:01:08,2015-08-12 22:01:08,2015-08-12 22:01:08,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,True,True,28804,True,325709,True,7175,1267624,330981,-1,-1,-1,53.0,0.0,0,359785.0,51398.0,1593338.0,53.0,1,1
2015-08-13,2015-08-13 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,28932,3,28932,21699,347408,0,347408,50503,1,w3,21699,0,57736,35979,1593333,359785,Available,Available,Available,70%,70,100%,100,100%,100,48%,52%,52%,08/14 00:00:00 CDT,09/01 00:00:00 CDT,w3,0,2015-08-19 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,14280,1245925,309282,0,0,0,0,0,0,3224032,3224034,3224033,2015-08-13 22:01:08,2015-08-13 22:01:08,2015-08-13 22:01:08,Mansfield,Mansfield,Mansfield,51399,1593333,359785,35979,1593333,359785,False,True,57736,True,354641,True,7047,1245925,302049,-1,-1,-1,52.0,0.0,0,359785.0,51398.0,1593338.0,53.0,0,0
