,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,43190,3,43190,43190,43190,0,43190,100916,1,w1,43190,0,43190,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,96%,96%,68%,01/02 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,33907,1709476,384794,0,0,0,0,0,0,11387583,11387585,11387584,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485709,False,True,43190,True,43190,True,33907,1709476,442520,-1,-1,-1,84.0,0.0,0,359785.0,51398.0,1593338.0,84.0,1,1
2016-01-02,2016-01-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,43184,3,43184,43184,86374,0,86374,144100,1,w1,43184,0,86374,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,96%,89%,72%,01/03 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,33913,1666292,341610,0,0,0,0,0,0,11439647,11439649,11439648,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,False,True,86374,True,86374,True,33913,1666292,399336,-1,-1,-1,84.0,0.0,0,359785.0,51398.0,1593338.0,84.0,1,1
2016-01-03,2016-01-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,43184,3,43184,43184,129558,0,129558,187284,1,w1,43184,0,129558,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,96%,88%,75%,01/04 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,33913,1623108,298426,0,0,0,0,0,0,11493174,11493176,11493175,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,False,True,129558,True,129558,True,33913,1623108,356152,-1,-1,-1,84.0,0.0,0,359785.0,51398.0,1593338.0,84.0,1,1
2016-01-04,2016-01-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,58202,3,58202,58202,187760,0,187760,245486,1,w1,58202,0,187760,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,129%,94%,81%,01/05 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,18895,1564906,240224,0,0,0,0,0,0,11611908,11611910,11611909,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,False,True,187760,True,187760,True,18895,1564906,297950,-1,-1,-1,91.0,133.0,0,359785.0,51398.0,1593338.0,91.0,1,1
2016-01-05,2016-01-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,42792,0,42792,42792,230552,0,230552,288278,1,w1,42792,0,230552,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,95%,92%,82%,01/06 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,34305,1522114,197432,0,0,0,0,0,0,11789700,11789702,11789701,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,False,True,230552,True,230552,True,34305,1522114,255158,-1,-1,-1,90.0,0.0,0,359785.0,51398.0,1593338.0,90.0,1,1
2016-01-06,2016-01-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,57590,3,57590,57590,288142,0,288142,57590,1,w2,57590,0,57590,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,128%,95%,128%,01/07 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,19507,1464524,428120,0,0,0,0,0,0,11942630,11942632,11942631,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,True,True,57590,True,288142,True,19507,1464524,428120,-1,-1,-1,93.0,133.0,0,359785.0,51398.0,1593338.0,93.0,1,1
2016-01-07,2016-01-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,71756,3,71756,64522,352664,0,352664,122112,1,w2,64522,0,129346,77097,1752666,485710,Limited,Available,Available,150%,150,110%,110,135%,135,158%,101%,133%,01/08 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,12575,1400002,363598,0,0,0,0,0,0,12097135,12097137,12097136,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,False,True,129346,True,359898,True,5341,1400002,356364,-1,-1,-1,98.0,133.0,0,359785.0,51398.0,1593338.0,100.0,0,0
2016-01-08,2016-01-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,43201,3,43201,43201,403099,0,403099,172547,1,w2,43201,0,172547,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,96%,100%,117%,01/09 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,33896,1349567,313163,0,0,0,0,0,0,12253715,12253717,12253716,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,True,True,172547,True,403099,True,33896,1349567,313163,-1,-1,-1,98.0,0.0,0,359785.0,51398.0,1593338.0,98.0,1,1
2016-01-09,2016-01-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,36001,3,36001,36001,439100,0,439100,208548,1,w2,36001,0,208548,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,80%,96%,105%,01/10 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,41096,1313566,277162,0,0,0,0,0,0,12410076,12410078,12410077,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,True,True,208548,True,439100,True,41096,1313566,277162,-1,-1,-1,95.0,0.0,0,359785.0,51398.0,1593338.0,95.0,1,1
2016-01-10,2016-01-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,43194,3,43194,43194,482294,0,482294,251742,1,w2,43194,0,251742,77097,1752666,485710,Available,Available,Available,150%,150,110%,110,135%,135,96%,95%,100%,01/11 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,33903,1270372,233968,0,0,0,0,0,0,12561135,12561137,12561136,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,51398,1593333,359785,77097,1752666,485710,True,True,251742,True,482294,True,33903,1270372,233968,-1,-1,-1,94.0,0.0,0,359785.0,51398.0,1593338.0,94.0,1,1
