,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,0,3,0,0,0,0,0,20611,1,w1,0,0,0,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,0%,0%,52%,01/02 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,29033,720000,155518,0,0,0,0,0,0,11387761,11387763,11387762,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,19355,600000,135484,29032,720000,176129,False,True,0,True,0,True,29033,720000,176129,-1,-1,-1,-1.0,0.0,0,135484.0,19355.0,600005.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,0,3,0,0,0,0,0,20611,1,w1,0,0,0,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,0%,0%,35%,01/03 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,29033,720000,155518,0,0,0,0,0,0,11439825,11439827,11439826,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,0,True,0,True,29033,720000,176129,-1,-1,-1,-1.0,0.0,0,135484.0,19355.0,600005.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,0,3,0,0,0,0,0,20611,1,w1,0,0,0,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,0%,0%,26%,01/04 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,29033,720000,155518,0,0,0,0,0,0,11493352,11493354,11493353,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,0,True,0,True,29033,720000,176129,-1,-1,-1,-1.0,0.0,0,135484.0,19355.0,600005.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,30010,3,30010,30010,30010,0,30010,50621,1,w1,30010,0,30010,29033,720000,176129,Out,Available,Available,150%,150,120%,120,130%,130,196%,41%,52%,01/05 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,-978,689990,125508,0,0,0,0,0,0,11612086,11612088,11612087,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,30010,True,30010,True,-977,689990,146119,-1,-1,-1,39.0,133.0,0,135484.0,19355.0,600005.0,39.0,1,1
2016-01-05,2016-01-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,10300,0,10300,10300,40310,0,40310,60921,1,w1,10300,0,40310,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,67%,43%,52%,01/06 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,18733,679690,115208,0,0,0,0,0,0,11789878,11789880,11789879,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,40310,True,40310,True,18733,679690,135819,-1,-1,-1,42.0,0.0,0,135484.0,19355.0,600005.0,42.0,1,1
2016-01-06,2016-01-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,30609,3,30609,30609,70919,0,70919,0,1,w2,30609,0,30609,29033,720000,176129,Out,Available,Available,150%,150,120%,120,130%,130,200%,63%,0%,01/07 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,-1577,649081,176129,0,0,0,0,0,0,11942808,11942810,11942809,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,30609,True,70919,True,-1576,649081,145520,-1,-1,-1,61.0,133.0,0,135484.0,19355.0,600005.0,61.0,1,1
2016-01-07,2016-01-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,20304,3,20304,20304,91223,0,91223,20304,1,w2,20304,0,50913,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,148%,70%,109%,01/08 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,8729,628777,155825,0,0,0,0,0,0,12097314,12097316,12097315,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,50913,True,91223,True,8729,628777,125216,-1,-1,-1,67.0,133.0,0,135484.0,19355.0,600005.0,67.0,1,1
2016-01-08,2016-01-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,30600,3,30600,30600,121823,0,121823,50904,1,w2,30600,0,81513,29033,720000,176129,Out,Available,Available,150%,150,120%,120,130%,130,199%,81%,129%,01/09 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,-1568,598177,125225,0,0,0,0,0,0,12253894,12253896,12253895,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,81513,True,121823,True,-1567,598177,94616,-1,-1,-1,79.0,133.0,0,135484.0,19355.0,600005.0,79.0,1,1
2016-01-09,2016-01-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,0,3,0,0,121823,0,121823,50904,1,w2,0,0,81513,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,0%,72%,86%,01/10 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,29033,598177,125225,0,0,0,0,0,0,12410255,12410257,12410256,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,81513,True,121823,True,29033,598177,94616,-1,-1,-1,70.0,0.0,0,135484.0,19355.0,600005.0,70.0,1,1
2016-01-10,2016-01-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,PORTLAND OR PSX - 03H9,DISTILLATES,19355,600000,135484,1,0,3,0,0,121823,0,121823,50904,1,w2,0,0,81513,29033,720000,176129,Available,Available,Available,150%,150,120%,120,130%,130,0%,64%,65%,01/11 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 18:00:00,Contract,Contract,Contract,19355,-1,600000,-1,-1,29033,598177,125225,0,0,0,0,0,0,12561314,12561316,12561315,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,19355,600000,135484,29033,720000,176129,False,True,81513,True,121823,True,29033,598177,94616,-1,-1,-1,63.0,0.0,0,135484.0,19355.0,600005.0,63.0,1,1
