,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,8049,3,8049,8049,8049,0,8049,8049,1,w1,8049,0,8049,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,18%,18%,18%,07/02 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,54855,1707951,379435,0.0,0.0,0.0,0.0,0.0,0.0,1191552,1191554,1191553,2015-07-01 22:00:08,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62903,1716000,387483,True,True,8049,True,8049,True,54855,1707951,379435,-1,-1,-1,16.0,0.0,0,352258.0,50323.0,1560013.0,16.0,1,1
2015-07-02,2015-07-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,36688,3,36688,14880,22929,0,22929,22929,1,w1,14880,0,44737,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,50%,29%,29%,07/03 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,48024,1693071,364555,0.0,0.0,0.0,0.0,0.0,0.0,1227926,1227928,1227927,2015-07-02 15:00:12,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,44737,True,44737,True,26216,1693071,342747,-1,-1,-1,23.0,0.0,0,352258.0,50323.0,1560013.0,44.0,0,0
2015-07-03,2015-07-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,7403,3,7403,7403,52140,0,52140,52140,1,w1,7403,0,52140,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,44%,44%,44%,07/04 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,55501,1663860,335344,0.0,0.0,0.0,0.0,0.0,0.0,1239676,1239678,1239677,2015-07-03 08:53:53,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,52140,True,52140,True,55501,1663860,335344,-1,-1,-1,35.0,0.0,0,352258.0,50323.0,1560013.0,35.0,1,1
2015-07-04,2015-07-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,0,3,0,0,52140,0,52140,52140,1,w1,0,0,52140,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,0%,31%,31%,07/05 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,62904,1663860,335344,0.0,0.0,0.0,0.0,0.0,0.0,1250072,1250074,1250073,2015-07-04 08:00:07,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,52140,True,52140,True,62904,1663860,335344,-1,-1,-1,26.0,0.0,0,352258.0,50323.0,1560013.0,26.0,1,1
2015-07-05,2015-07-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,7199,3,7199,0,52140,0,52140,52140,1,w1,0,0,59339,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,0%,24%,24%,07/06 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,62904,1663860,335344,0.0,0.0,0.0,0.0,0.0,0.0,1260444,1260446,1260445,2015-07-05 08:00:09,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,59339,True,59339,True,55705,1663860,328145,-1,-1,-1,21.0,0.0,0,352258.0,50323.0,1560013.0,24.0,0,0
2015-07-06,2015-07-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,21524,3,21524,7400,66739,0,66739,66739,1,w1,7400,0,80863,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,50%,25%,25%,07/07 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,55504,1649261,320745,0.0,0.0,0.0,0.0,0.0,0.0,1270816,1270818,1270817,2015-07-06 08:01:06,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,80863,True,80863,True,41380,1649261,306621,-1,-1,-1,22.0,0.0,0,352258.0,50323.0,1560013.0,27.0,0,0
2015-07-07,2015-07-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,29722,0,29722,29722,110585,0,110585,110585,1,w1,29722,0,110585,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,67%,32%,32%,07/08 00:00:00 CDT,08/01 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,33182,1605415,276899,0.0,0.0,0.0,0.0,0.0,0.0,1292032,1292034,1292033,2015-07-07 22:01:08,2015-07-07 22:01:08,2015-07-07 22:01:08,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,110585,True,110585,True,33182,1605415,276899,-1,-1,-1,31.0,0.0,0,352258.0,50323.0,1560013.0,31.0,1,1
2015-07-08,2015-07-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,0,7502,0,7502,7502,118087,0,118087,7502,0,w2,7502,0,7502,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,32%,31%,32%,07/09 00:00:00 CDT,08/01 00:00:00 CDT,w2,0,2015-07-15 00:00:00,Contract,Contract,Contract,-1,-1,-1,-1,-1,55402,1597913,379982,0.0,0.0,0.0,0.0,0.0,0.0,1312280,1312282,1312281,2015-07-08 12:01:05,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,7502,True,118087,True,55402,1597913,379982,-1,-1,-1,29.0,0.0,0,352258.0,50323.0,1560013.0,29.0,1,1
2015-07-09,2015-07-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,-1,-1,-1,2,68407,0,-1,-1,-1,2,186494,-1,2,w3,-1,0,75909,-1,-1,-1,-1,-1,-1,-1,125,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-07-15 00:00:00,-1,-1,-1,50323,-1,1560000,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-07-09 00:00:00,2015-07-09 00:00:00,2015-07-09 00:00:00,-1,-1,-1,50323,1560000,352258,62904,1716000,387484,True,True,75909,True,186494,True,-1,-1,-1,-1,-1,-1,41.0,0.0,0,352258.0,50323.0,1560013.0,41.0,0,1
2015-07-10,2015-07-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B11,50323,1560000,352258,1,52423,3,52423,37423,223917,0,223917,113332,1,w3,37423,0,128332,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,84%,45%,78%,07/11 00:00:00 CDT,08/01 00:00:00 CDT,w2,0,2015-07-15 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,25481,1492083,274152,0.0,0.0,0.0,0.0,0.0,0.0,1373023,1373025,1373024,2015-07-10 22:01:07,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,128332,True,238917,True,10481,1492083,259152,-1,-1,-1,44.0,133.0,0,352258.0,50323.0,1560013.0,47.0,0,0
