,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,1,0,3,20216,-1,0,0,0,20216,1,w1,-1,0,0,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,0%,28%,-1,07/01 00:00:00 MDT,w1,0,2015-06-03 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,525000,126784,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,192271,192270,2015-06-01 00:00:00,2015-06-01 05:56:01,2015-06-01 05:56:01,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,True,True,0,0,0,0,-1,525000,147000,-1,-1,-1,-1.0,-1,0,98000.0,14000.0,420000.0,-1,0,1
2015-06-02,2015-06-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,0,-1,0,-1,-1,7500,0,7500,27716,0,w1,-1,0,27716,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,53%,33%,-1,07/01 00:00:00 MDT,w1,0,2015-06-03 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,517500,119284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,197961,197960,2015-06-02 00:00:00,2015-06-02 02:08:54,2015-06-02 02:08:54,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,False,False,0,0,0,0,-1,517500,119284,-1,-1,-1,27.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,0,-1,0,-1,-1,7500,0,7500,27716,0,w1,-1,0,27716,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,27%,28%,-1,07/01 00:00:00 MDT,w1,0,2015-06-03 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,517500,119284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,204996,204995,2015-06-03 00:00:00,2015-06-03 01:50:26,2015-06-03 01:50:26,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,False,False,0,0,0,0,-1,517500,119284,-1,-1,-1,18.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,3,15004,1,15004,-1,22504,0,22504,15004,0,w2,-1,0,15004,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,51%,91%,-1,07/01 00:00:00 MDT,w2,0,2015-06-10 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,502496,131996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,209800,209799,2015-06-04 00:00:00,2015-06-04 06:13:28,2015-06-04 06:13:28,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,True,True,0,0,0,0,-1,502496,131996,-1,-1,-1,40.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,0,-1,0,-1,-1,30004,0,30004,22504,0,w2,-1,0,22504,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,54%,82%,-1,07/01 00:00:00 MDT,w2,0,2015-06-10 00:00:00,-1,Contract,Contract,-1,-1,-1,-1,-1,-1,494996,124496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,215231,215230,2015-06-05 00:00:00,2015-06-05 00:47:50,2015-06-05 00:47:50,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,False,False,0,0,0,0,-1,494996,124496,-1,-1,-1,43.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,125,-1,150,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,420000,98000,-1,525000,147000,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,98000.0,14000.0,420000.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,125,-1,150,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,-1,-1,420000,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,0,-1,0,-1,-1,49943,0,49943,42443,0,w3,-1,0,42443,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,48%,56%,-1,07/01 00:00:00 MDT,w2,0,2015-06-10 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,475057,104557,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,225167,225166,2015-06-08 00:00:00,2015-06-08 12:50:23,2015-06-08 12:50:23,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,False,False,0,0,0,0,-1,475057,104557,-1,-1,-1,45.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,0,-1,0,-1,-1,49943,0,49943,42443,0,w3,-1,0,42443,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,45%,51%,-1,07/01 00:00:00 MDT,w2,0,2015-06-10 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,475057,104557,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,230606,230605,2015-06-09 00:00:00,2015-06-09 01:10:43,2015-06-09 01:10:43,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,False,False,0,0,0,0,-1,475057,104557,-1,-1,-1,40.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,ALBUQUERQUE NM PSX - 030A,DISTILLATES,-1,420000,98000,3,7526,1,7526,-1,69918,0,69918,7526,0,w4,-1,0,7526,-1,525000,147000,-1,Available,Available,-1,100,125%,125,150%,150,-1,52%,89%,-1,07/01 00:00:00 MDT,w3,0,2015-06-17 00:00:00,-1,Contract,Contract,-1,-1,420000,-1,-1,-1,455082,139474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,243353,243352,2015-06-10 00:00:00,2015-06-10 16:29:03,2015-06-10 16:29:03,-1,Mansfield,Mansfield,-1,420000,98000,-1,525000,147000,True,True,0,0,0,0,-1,455082,139474,-1,-1,-1,50.0,-1,0,98000.0,14000.0,420000.0,-1,0,0
