,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,68297,3,68297,0,0,0,0,278601,1,w1,0,0,68297,65000,1716000,400400,Available,Available,Available,125%,125,110%,110,110%,110,0%,0%,103%,06/02 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,65000,1716000,121799,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,192446,192448,192447,2015-06-01 05:56:01,2015-06-01 05:56:01,2015-06-01 05:56:01,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,True,68297,True,0,0,-3297,1716000,332103,-1,-1,-1,-1.0,0.0,0,364000.0,52000.0,1560000.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,59015,0,0,0,68297,0,68297,346898,1,w1,0,0,127312,65000,1716000,400400,Available,Available,Limited,125%,125,110%,110,110%,110,0%,125%,110%,06/03 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,65000,1647703,53502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,198132,198134,198133,2015-06-02 02:08:54,2015-06-02 02:08:54,2015-06-02 02:08:54,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,True,127312,True,0,0,5985,1647703,273088,-1,-1,-1,66.0,0.0,0,364000.0,52000.0,1560000.0,-1,1,0
2015-06-03,2015-06-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,59898,3,59898,0,127312,0,127312,0,1,w2,0,0,59898,65000,1716000,400400,Available,Available,Available,125%,125,110%,110,110%,110,0%,120%,0%,06/04 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,65000,1588688,400400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,205167,205169,205168,2015-06-03 01:50:26,2015-06-03 01:50:26,2015-06-03 01:50:26,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,True,0,0,0,0,5102,1588688,340502,-1,-1,-1,82.0,0.0,0,364000.0,52000.0,1560000.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,3,14803,3,0,14803,202013,0,202013,74701,1,w2,14803,0,59898,65000,1716000,400400,Available,Available,Available,125%,125,110%,110,110%,110,129%,121%,118%,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,50197,1513987,325699,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,209971,209973,209972,2015-06-04 06:13:28,2015-06-04 06:13:28,2015-06-04 06:13:28,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,False,0,0,0,0,50197,1513987,340502,-1,-1,-1,97.0,0.0,0,364000.0,52000.0,1560000.0,-1,0,1
2015-06-05,2015-06-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,0,66922,0,66922,66922,254132,0,254132,126820,0,w2,66922,0,126820,65000,1716000,400400,Out,Available,Available,125%,125,110%,110,110%,110,129%,122%,122%,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,-1,-1,-1,-1,-1,-1922,1461868,273580,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,215401,215403,215402,2015-06-05 00:47:50,2015-06-05 00:47:50,2015-06-05 00:47:50,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,True,False,0,0,0,0,-1922,1461868,273580,-1,-1,-1,98.0,0.0,0,364000.0,52000.0,1560000.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,52000,1560000,364000,65000,1716000,400400,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,364000.0,52000.0,1560000.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,52000,-1,1560000,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,74454,3,74454,59354,471396,0,471396,344084,0,w3,59354,0,344084,65000,1716000,400400,Limited,Available,Limited,125%,125,110%,110,110%,110,230%,121%,120%,06/09 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,5646,1244604,56316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,225337,225339,225338,2015-06-08 12:50:23,2015-06-08 12:50:23,2015-06-08 12:50:23,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,False,0,0,0,0,-9454,1244604,56316,-1,-1,-1,113.0,400.0,0,364000.0,52000.0,1560000.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,44631,0,0,0,486496,0,486496,359184,1,w3,0,0,388715,65000,1716000,400400,Available,Available,Limited,125%,125,110%,110,110%,110,0%,117%,115%,06/10 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,65000,1229504,41216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230776,230778,230777,2015-06-09 01:10:43,2015-06-09 01:10:43,2015-06-09 01:10:43,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,False,0,0,0,0,20369,1229504,11685,-1,-1,-1,104.0,0.0,100,364000.0,52000.0,1560000.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,52000,1560000,364000,1,37855,3,37855,30150,561277,0,561277,30150,1,w4,30150,0,37855,65000,1716000,400400,Available,Available,Available,125%,125,110%,110,110%,110,89%,112%,89%,06/11 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,52000,-1,1560000,-1,-1,34850,1154723,370250,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,243523,243525,243524,2015-06-10 16:29:03,2015-06-10 16:29:03,2015-06-10 16:29:03,Mansfield,Mansfield,Mansfield,52000,1560000,364000,65000,1716000,400400,False,True,37855,True,0,0,27145,1154723,362545,-1,-1,-1,108.0,0.0,0,364000.0,52000.0,1560000.0,-1,0,0
