,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,58199,3,58199,0,0,0,0,246673,1,w1,0,0,58199,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,0%,0%,89%,06/02 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,58422,1752666,162283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,192457,192459,192458,2015-06-01 05:56:01,2015-06-01 05:56:01,2015-06-01 05:56:01,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408955,False,True,58199,True,0,0,223,1752666,350757,-1,-1,-1,-1.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,58735,0,0,0,58199,0,58199,304872,1,w1,0,0,116934,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,0%,104%,95%,06/03 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,58422,1694467,104084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,198143,198145,198144,2015-06-02 02:08:54,2015-06-02 02:08:54,2015-06-02 02:08:54,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,True,116934,True,0,0,-313,1694467,292022,-1,-1,-1,55.0,0.0,0,371778.0,53111.0,1593330.0,-1,1,0
2015-06-03,2015-06-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,57910,3,57910,0,116934,0,116934,0,1,w2,0,0,57910,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,0%,108%,0%,06/04 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,58422,1635732,408956,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,205178,205180,205179,2015-06-03 01:50:26,2015-06-03 01:50:26,2015-06-03 01:50:26,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,True,0,0,0,0,512,1635732,351046,-1,-1,-1,73.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,3,7199,3,0,7199,182043,0,182043,65109,1,w2,7199,0,57910,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,61%,106%,100%,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,51223,1570623,343847,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,209982,209984,209983,2015-06-04 06:13:28,2015-06-04 06:13:28,2015-06-04 06:13:28,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,False,0,0,0,0,51223,1570623,351046,-1,-1,-1,86.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,1
2015-06-05,2015-06-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,0,50710,0,50710,50710,225554,0,225554,108620,0,w2,50710,0,108620,58422,1752666,408956,Limited,Available,Available,110%,110,110%,110,110%,110,96%,106%,102%,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,-1,-1,-1,-1,-1,7712,1527112,300336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,215412,215414,215413,2015-06-05 00:47:50,2015-06-05 00:47:50,2015-06-05 00:47:50,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,True,False,0,0,0,0,7712,1527112,300336,-1,-1,-1,85.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,53111,1593333,371778,58422,1752666,408956,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,371778.0,53111.0,1593330.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,53111,-1,1593333,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,49692,3,49692,49692,412412,0,412412,295478,0,w3,49692,0,295478,58422,1752666,408956,Limited,Available,Available,110%,110,110%,110,110%,110,188%,104%,101%,06/09 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,8730,1340254,113478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,225348,225350,225349,2015-06-08 12:50:23,2015-06-08 12:50:23,2015-06-08 12:50:23,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,False,0,0,0,0,8730,1340254,113478,-1,-1,-1,97.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,36305,0,0,0,412412,0,412412,295478,1,w3,0,0,331783,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,0%,97%,93%,06/10 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,58422,1340254,113478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230787,230789,230788,2015-06-09 01:10:43,2015-06-09 01:10:43,2015-06-09 01:10:43,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,False,0,0,0,0,22117,1340254,77173,-1,-1,-1,86.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,53111,1593333,371778,1,43256,3,43256,21599,470316,0,470316,21599,1,w4,21599,0,43256,58422,1752666,408956,Available,Available,Available,110%,110,110%,110,110%,110,63%,92%,63%,06/11 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,53111,-1,1593333,-1,-1,36823,1282350,387357,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,243534,243536,243535,2015-06-10 16:29:03,2015-06-10 16:29:03,2015-06-10 16:29:03,Mansfield,Mansfield,Mansfield,53111,1593333,371778,58422,1752666,408956,False,True,43256,False,0,0,15166,1282350,365700,-1,-1,-1,89.0,0.0,0,371778.0,53111.0,1593330.0,-1,0,0
