,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,0,3,0,0,0,0,0,58932,1,w1,0,0,0,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,0%,0%,86%,11/02 00:00:00 CST,12/01 00:00:00 CST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,18900,462000,58668,0,0,0,0,0,0,7362435,7362437,7362436,2015-11-01 22:00:17,2015-11-01 22:00:17,2015-11-01 22:00:17,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,False,0,True,0,True,18900,462000,117600,-1,-1,-1,-1.0,0.0,0,98000.0,14000.0,420000.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,15024,3,15024,15024,15024,0,15024,73956,1,w1,15024,0,15024,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,122%,56%,90%,11/03 00:00:00 CST,12/01 00:00:00 CST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,3876,446976,43644,0,0,0,0,0,0,7412058,7412060,7412059,2015-11-02 22:00:17,2015-11-02 22:00:17,2015-11-02 22:00:17,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,False,15024,True,15024,True,3876,446976,102576,-1,-1,-1,54.0,133.0,0,98000.0,14000.0,420000.0,54.0,1,1
2015-11-03,2015-11-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,7503,0,7503,7503,22527,0,22527,81459,1,w1,7503,0,22527,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,61%,55%,85%,11/04 00:00:00 CST,12/01 00:00:00 CST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,11397,439473,36141,0,0,0,0,0,0,7473497,7473499,7473498,2015-11-03 22:00:19,2015-11-03 22:00:19,2015-11-03 22:00:19,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,False,22527,True,22527,True,11397,439473,95073,-1,-1,-1,54.0,0.0,0,98000.0,14000.0,420000.0,54.0,1,1
2015-11-04,2015-11-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,7502,0,7502,7502,30029,0,30029,7502,1,w2,7502,0,7502,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,57%,54%,57%,11/05 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,11398,431971,110098,0,0,0,0,0,0,7697149,7697151,7697150,2015-11-04 23:30:19,2015-11-04 23:30:19,2015-11-04 23:30:19,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,7502,True,30029,True,11398,431971,110098,-1,-1,-1,54.0,0.0,0,98000.0,14000.0,420000.0,54.0,1,1
2015-11-05,2015-11-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,19703,0,19703,19703,49732,0,49732,27205,1,w2,19703,0,27205,18900,462000,117600,Out,Available,Available,135%,135,110%,110,120%,120,161%,72%,104%,11/06 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,-803,412268,90395,0,0,0,0,0,0,7834566,7834568,7834567,2015-11-05 22:00:19,2015-11-05 22:00:19,2015-11-05 22:00:19,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,27205,True,49732,True,-803,412268,90395,-1,-1,-1,71.0,133.0,0,98000.0,14000.0,420000.0,71.0,1,1
2015-11-06,2015-11-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,30029,0,30029,30029,79761,0,79761,57234,1,w2,30029,0,57234,18900,462000,117600,Out,Available,Available,135%,135,110%,110,120%,120,245%,96%,142%,11/07 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,-11129,382239,60366,0,0,0,0,0,0,7882649,7882651,7882650,2015-11-06 22:00:17,2015-11-06 22:00:17,2015-11-06 22:00:17,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,57234,True,79761,True,-11129,382239,60366,-1,-1,-1,95.0,267.0,0,98000.0,14000.0,420000.0,95.0,1,1
2015-11-07,2015-11-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,0,0,0,0,79761,0,79761,57234,1,w2,0,0,57234,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,0%,82%,105%,11/08 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,18900,382239,60366,0,0,0,0,0,0,7926147,7926149,7926148,2015-11-07 22:00:20,2015-11-07 22:00:20,2015-11-07 22:00:20,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,57234,True,79761,True,18900,382239,60366,-1,-1,-1,81.0,0.0,0,98000.0,14000.0,420000.0,81.0,1,1
2015-11-08,2015-11-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,0,0,0,0,79761,0,79761,57234,1,w2,0,0,57234,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,0%,72%,84%,11/09 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,18900,382239,60366,0,0,0,0,0,0,7975074,7975076,7975075,2015-11-08 22:00:18,2015-11-08 22:00:18,2015-11-08 22:00:18,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,57234,True,79761,True,18900,382239,60366,-1,-1,-1,71.0,0.0,0,98000.0,14000.0,420000.0,71.0,1,1
2015-11-09,2015-11-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,7254,0,7254,7254,87015,0,87015,64488,1,w2,7254,0,64488,18900,462000,117600,Available,Available,Available,135%,135,110%,110,120%,120,59%,70%,78%,11/10 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,11646,374985,53112,0,0,0,0,0,0,8026298,8026300,8026299,2015-11-09 22:00:17,2015-11-09 22:00:17,2015-11-09 22:00:17,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,64488,True,87015,True,11646,374985,53112,-1,-1,-1,69.0,0.0,0,98000.0,14000.0,420000.0,69.0,1,1
2015-11-10,2015-11-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,CAHOKIA IL PSX - 036M,DISTILLATES,14000,420000,98000,1,22199,0,22199,22199,109214,0,109214,86687,1,w2,22199,0,86687,18900,462000,117600,Out,Available,Available,135%,135,110%,110,120%,120,170%,78%,89%,11/11 00:00:00 CST,12/01 00:00:00 CST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,-1,420000,-1,-1,-3299,352786,30913,0,0,0,0,0,0,8077527,8077529,8077528,2015-11-10 23:19:48,2015-11-10 23:19:48,2015-11-10 23:19:48,Mansfield,Mansfield,Mansfield,14000,420000,98000,18900,462000,117600,True,True,86687,True,109214,True,-3299,352786,30913,-1,-1,-1,78.0,133.0,0,98000.0,14000.0,420000.0,78.0,1,1
