,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,66990,3,66990,66990,66990,0,66990,104099,1,w1,66990,0,66990,62904,1716000,387484,Out,Available,Available,125%,125,110%,110,110%,110,152%,152%,110%,10/02 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-4086,1649010,283385,0,0,0,0,0,0,5860284,5860286,5860285,2015-10-01 22:00:14,2015-10-01 22:00:14,2015-10-01 22:00:14,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62903,1716000,387483,True,False,66990,True,66990,True,-4086,1649010,320494,-1,-1,-1,133.0,133.0,0,352258.0,50323.0,1560013.0,133.0,1,1
2015-10-02,2015-10-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,50621,3,50621,50621,117611,0,117611,154720,1,w1,50621,0,117611,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,115%,125%,107%,10/03 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,12283,1598389,232764,0,0,0,0,0,0,5912890,5912892,5912891,2015-10-02 22:00:11,2015-10-02 22:00:11,2015-10-02 22:00:11,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,117611,True,117611,True,12283,1598389,269873,-1,-1,-1,117.0,133.0,0,352258.0,50323.0,1560013.0,117.0,1,1
2015-10-03,2015-10-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,37314,3,37314,29814,147425,0,147425,184534,1,w1,29814,0,154925,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,68%,102%,95%,10/04 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,33090,1568575,202950,0,0,0,0,0,0,5959745,5959747,5959746,2015-10-03 22:00:12,2015-10-03 22:00:12,2015-10-03 22:00:12,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,False,154925,True,154925,True,25590,1568575,232559,-1,-1,-1,98.0,0.0,0,352258.0,50323.0,1560013.0,103.0,0,0
2015-10-04,2015-10-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,36301,3,36301,36301,191226,0,191226,228335,1,w1,36301,0,191226,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,82%,98%,93%,10/05 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,26603,1524774,159149,0,0,0,0,0,0,6006216,6006218,6006217,2015-10-04 22:00:12,2015-10-04 22:00:12,2015-10-04 22:00:12,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,191226,True,191226,True,26603,1524774,196258,-1,-1,-1,95.0,0.0,0,352258.0,50323.0,1560013.0,95.0,1,1
2015-10-05,2015-10-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,37298,3,37298,37298,228524,0,228524,265633,1,w1,37298,0,228524,62904,1716000,387484,Available,Available,Available,125%,125,110%,110,110%,110,85%,93%,90%,10/06 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,25606,1487476,121851,0,0,0,0,0,0,6060462,6060464,6060463,2015-10-05 22:00:16,2015-10-05 22:00:16,2015-10-05 22:00:16,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,228524,True,228524,True,25606,1487476,158960,-1,-1,-1,91.0,0.0,0,352258.0,50323.0,1560013.0,91.0,1,1
2015-10-06,2015-10-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,59452,0,59452,59452,287976,0,287976,325085,1,w1,59452,0,287976,62904,1716000,387484,Limited,Available,Limited,125%,125,110%,110,110%,110,135%,97%,94%,10/07 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,3452,1428024,62399,0,0,0,0,0,0,6116587,6116589,6116588,2015-10-06 22:00:13,2015-10-06 22:00:13,2015-10-06 22:00:13,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,False,287976,True,287976,True,3452,1428024,99508,-1,-1,-1,95.0,133.0,0,352258.0,50323.0,1560013.0,95.0,1,1
2015-10-07,2015-10-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,66740,3,66740,66740,354716,0,354716,66740,1,w2,66740,0,66740,62904,1716000,387484,Out,Available,Available,125%,125,110%,110,110%,110,151%,103%,151%,10/08 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-3836,1361284,320744,0,0,0,0,0,0,6167177,6167179,6167178,2015-10-07 22:00:13,2015-10-07 22:00:13,2015-10-07 22:00:13,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,66740,True,354716,True,-3836,1361284,320744,-1,-1,-1,101.0,133.0,0,352258.0,50323.0,1560013.0,101.0,1,1
2015-10-08,2015-10-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,66767,3,66767,66767,421483,0,421483,133507,1,w2,66767,0,133507,62904,1716000,387484,Out,Available,Available,125%,125,110%,110,110%,110,151%,106%,141%,10/09 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,-3863,1294517,253977,0,0,0,0,0,0,6220256,6220258,6220257,2015-10-08 22:00:15,2015-10-08 22:00:15,2015-10-08 22:00:15,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,133507,True,421483,True,-3863,1294517,253977,-1,-1,-1,105.0,133.0,0,352258.0,50323.0,1560013.0,105.0,1,1
2015-10-09,2015-10-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,51311,3,51311,51311,472794,0,472794,184818,1,w2,51311,0,184818,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,116%,106%,128%,10/10 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,11593,1243206,202666,0,0,0,0,0,0,6271292,6271294,6271293,2015-10-09 22:00:12,2015-10-09 22:00:12,2015-10-09 22:00:12,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,True,True,184818,True,472794,True,11593,1243206,202666,-1,-1,-1,104.0,133.0,0,352258.0,50323.0,1560013.0,104.0,1,1
2015-10-10,2015-10-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,B5,50323,1560000,352258,1,66967,3,66967,59565,532359,0,532359,244383,1,w2,59565,0,251785,62904,1716000,387484,Limited,Available,Available,125%,125,110%,110,110%,110,157%,108%,129%,10/11 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,50323,-1,1560000,-1,-1,3339,1183641,143101,0,0,0,0,0,0,6314106,6314108,6314107,2015-10-10 19:00:13,2015-10-10 19:00:13,2015-10-10 19:00:13,Mansfield,Mansfield,Mansfield,50323,1560000,352258,62904,1716000,387484,False,True,251785,True,539761,True,-4063,1183641,135699,-1,-1,-1,106.0,133.0,0,352258.0,50323.0,1560013.0,107.0,0,0
