,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,52220,3,52220,45720,45720,0,45720,117013,1,w1,45720,0,52220,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,102%,102%,121%,10/02 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,18528,1706946,332718,0,0,0,0,0,0,5860297,5860299,5860298,2015-10-01 22:00:14,2015-10-01 22:00:14,2015-10-01 22:00:14,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64247,1752666,449731,False,False,52220,True,52220,True,12028,1706946,397511,-1,-1,-1,89.0,133.0,0,359785.0,51398.0,1593338.0,102.0,0,0
2015-10-02,2015-10-02 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,58163,3,58163,43700,95920,0,95920,167213,1,w1,43700,0,110383,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,97%,99%,113%,10/03 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,20548,1656746,282518,0,0,0,0,0,0,5912903,5912905,5912904,2015-10-02 22:00:11,2015-10-02 22:00:11,2015-10-02 22:00:11,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,False,110383,True,110383,True,6085,1656746,339348,-1,-1,-1,93.0,133.0,0,359785.0,51398.0,1593338.0,107.0,0,0
2015-10-03,2015-10-03 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,57591,3,57591,50360,160743,0,160743,232036,1,w1,50360,0,167974,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,112%,109%,116%,10/04 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,13888,1591923,217695,0,0,0,0,0,0,5959758,5959760,5959759,2015-10-03 22:00:12,2015-10-03 22:00:12,2015-10-03 22:00:12,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,False,167974,True,167974,True,6657,1591923,281757,-1,-1,-1,104.0,133.0,0,359785.0,51398.0,1593338.0,109.0,0,0
2015-10-04,2015-10-04 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,57801,3,57801,43395,211369,0,211369,282662,1,w1,43395,0,225775,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,96%,106%,113%,10/05 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,20853,1541297,167069,0,0,0,0,0,0,6006229,6006231,6006230,2015-10-04 22:00:12,2015-10-04 22:00:12,2015-10-04 22:00:12,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,False,225775,True,225775,True,6447,1541297,223956,-1,-1,-1,103.0,133.0,0,359785.0,51398.0,1593338.0,110.0,0,0
2015-10-05,2015-10-05 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,63892,3,63892,56692,282467,0,282467,353760,1,w1,56692,0,289667,64248,1752666,449731,Limited,Available,Available,125%,125,110%,110,125%,125,126%,113%,117%,10/06 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,7556,1470199,95971,0,0,0,0,0,0,6060475,6060477,6060476,2015-10-05 22:00:16,2015-10-05 22:00:16,2015-10-05 22:00:16,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,False,289667,True,289667,True,356,1470199,160064,-1,-1,-1,110.0,133.0,0,359785.0,51398.0,1593338.0,113.0,0,0
2015-10-06,2015-10-06 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,65494,0,58260,58260,347927,0,347927,419220,1,w1,58260,0,355161,64248,1752666,449731,Limited,Available,Limited,125%,125,110%,110,125%,125,129%,115%,119%,10/07 00:00:00 CDT,11/01 00:00:00 CDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,5988,1404739,30511,0,0,0,0,0,0,6116600,6116602,6116601,2015-10-06 22:00:13,2015-10-06 22:00:13,2015-10-06 22:00:13,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,False,355161,True,355161,True,-1246,1404739,94570,-1,-1,-1,113.0,133.0,0,359785.0,51398.0,1593338.0,115.0,1,0
2015-10-07,2015-10-07 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,71267,3,71267,64033,419194,0,419194,64033,1,w2,64033,0,71267,64248,1752666,449731,Limited,Available,Available,125%,125,110%,110,125%,125,142%,119%,142%,10/08 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,215,1333472,385698,0,0,0,0,0,0,6167190,6167192,6167191,2015-10-07 22:00:13,2015-10-07 22:00:13,2015-10-07 22:00:13,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,True,71267,True,426428,True,-7019,1333472,378464,-1,-1,-1,117.0,133.0,0,359785.0,51398.0,1593338.0,119.0,1,0
2015-10-08,2015-10-08 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,58226,3,58226,58226,484654,0,484654,129493,1,w2,58226,0,129493,64248,1752666,449731,Limited,Available,Available,125%,125,110%,110,125%,125,129%,120%,134%,10/09 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,6022,1268012,320238,0,0,0,0,0,0,6220269,6220271,6220270,2015-10-08 22:00:15,2015-10-08 22:00:15,2015-10-08 22:00:15,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,True,True,129493,True,484654,True,6022,1268012,320238,-1,-1,-1,118.0,133.0,0,359785.0,51398.0,1593338.0,118.0,0,1
2015-10-09,2015-10-09 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,36318,3,36318,36318,520972,0,520972,165811,1,w2,36318,0,165811,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,81%,114%,112%,10/10 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,27930,1231694,283920,0,0,0,0,0,0,6271305,6271307,6271306,2015-10-09 22:00:12,2015-10-09 22:00:12,2015-10-09 22:00:12,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,True,True,165811,True,520972,True,27930,1231694,283920,-1,-1,-1,113.0,0.0,0,359785.0,51398.0,1593338.0,113.0,0,1
2015-10-10,2015-10-10 00:00:00,P66,MANSFIELD OIL CO OF GAINESVILL-10003000UB,KANSAS CITY KS PSX - 03AG,DISTILLATES,51398,1593333,359785,1,36423,3,36423,21984,542956,0,542956,187795,1,w2,21984,0,202234,64248,1752666,449731,Available,Available,Available,125%,125,110%,110,125%,125,57%,108%,97%,10/11 00:00:00 CDT,11/01 00:00:00 CDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,51398,-1,1593333,-1,-1,42264,1209710,261936,0,0,0,0,0,0,6314119,6314121,6314120,2015-10-10 19:00:13,2015-10-10 19:00:13,2015-10-10 19:00:13,Mansfield,Mansfield,Mansfield,51398,1593333,359785,64248,1752666,449731,False,True,202234,True,557395,True,27825,1209710,247497,-1,-1,-1,106.0,0.0,0,359785.0,51398.0,1593338.0,108.0,0,0
