,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,0,0,0,30112,1,w1,0,0,0,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Below Trend,Above Trend,08/02 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,336000,45761,0,0,0,0,0,0,2571063,2571065,2571064,2015-08-01 22:16:13,2015-08-01 22:16:13,2015-08-01 22:16:13,Mansfield,Mansfield,Mansfield,10839,336000,75873,16258,336000,75873,True,False,0,True,0,True,16259,336000,75873,-1,-1,-1,-1.0,0.0,0,75873.0,10839.0,336009.0,-1.0,1,1
2015-08-02,2015-08-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,0,0,0,30112,1,w1,0,0,0,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Below Trend,Above Trend,08/03 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,336000,45761,0,0,0,0,0,0,2617056,2617058,2617057,2015-08-02 22:14:09,2015-08-02 22:14:09,2015-08-02 22:14:09,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,0,True,0,True,16259,336000,75873,-1,-1,-1,-1.0,0.0,0,75873.0,10839.0,336009.0,-1.0,1,1
2015-08-03,2015-08-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,15005,3,15005,15005,15005,0,15005,45117,1,w1,15005,0,15005,16259,336000,75873,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,08/04 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,1254,320995,30756,0,0,0,0,0,0,2671967,2671969,2671968,2015-08-03 22:14:29,2015-08-03 22:14:29,2015-08-03 22:14:29,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,15005,True,15005,True,1254,320995,60868,-1,-1,-1,46.0,133.0,0,75873.0,10839.0,336009.0,46.0,1,1
2015-08-04,2015-08-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,0,0,0,15005,0,15005,45117,1,w1,0,0,15005,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/05 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,320995,30756,0,0,0,0,0,0,2727547,2727549,2727548,2015-08-04 22:14:11,2015-08-04 22:14:11,2015-08-04 22:14:11,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,15005,True,15005,True,16259,320995,60868,-1,-1,-1,35.0,0.0,0,75873.0,10839.0,336009.0,35.0,1,1
2015-08-05,2015-08-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7500,0,7500,7500,22505,0,22505,7500,1,w2,7500,0,7500,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/06 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8759,313495,68373,0,0,0,0,0,0,2783764,2783766,2783765,2015-08-05 19:12:35,2015-08-05 19:12:35,2015-08-05 19:12:35,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,7500,True,22505,True,8759,313495,68373,-1,-1,-1,42.0,0.0,0,75873.0,10839.0,336009.0,42.0,1,1
2015-08-06,2015-08-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,22501,0,22501,22501,45006,0,45006,30001,1,w2,22501,0,30001,16259,336000,75873,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,08/07 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,-6243,290994,45872,0,0,0,0,0,0,2846146,2846148,2846147,2015-08-06 22:14:34,2015-08-06 22:14:34,2015-08-06 22:14:34,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,30001,True,45006,True,-6242,290994,45872,-1,-1,-1,69.0,267.0,0,75873.0,10839.0,336009.0,69.0,1,1
2015-08-07,2015-08-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7501,0,7501,7501,52507,0,52507,37502,1,w2,7501,0,37502,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/08 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8758,283493,38371,0,0,0,0,0,0,2899487,2899489,2899488,2015-08-07 22:14:16,2015-08-07 22:14:16,2015-08-07 22:14:16,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,37502,True,52507,True,8758,283493,38371,-1,-1,-1,69.0,0.0,0,75873.0,10839.0,336009.0,69.0,1,1
2015-08-08,2015-08-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,0,0,0,52507,0,52507,37502,1,w2,0,0,37502,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/09 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,283493,38371,0,0,0,0,0,0,2955448,2955450,2955449,2015-08-08 22:14:04,2015-08-08 22:14:04,2015-08-08 22:14:04,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,37502,True,52507,True,16259,283493,38371,-1,-1,-1,61.0,0.0,0,75873.0,10839.0,336009.0,61.0,1,1
2015-08-09,2015-08-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,0,0,0,52507,0,52507,37502,1,w2,0,0,37502,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/10 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,283493,38371,0,0,0,0,0,0,3007444,3007446,3007445,2015-08-09 22:15:12,2015-08-09 22:15:12,2015-08-09 22:15:12,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,37502,True,52507,True,16259,283493,38371,-1,-1,-1,54.0,0.0,0,75873.0,10839.0,336009.0,54.0,1,1
2015-08-10,2015-08-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,0,0,0,52507,0,52507,37502,1,w2,0,0,37502,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/11 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,283493,38371,0,0,0,0,0,0,3068581,3068583,3068582,2015-08-10 22:16:56,2015-08-10 22:16:56,2015-08-10 22:16:56,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,37502,True,52507,True,16259,283493,38371,-1,-1,-1,48.0,0.0,0,75873.0,10839.0,336009.0,48.0,1,1
