,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,13176,3,13176,13176,13176,0,13176,59066,1,w1,13176,0,13176,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/02 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,7536,406824,37592,0,0,0,0,0,0,2571092,2571094,2571093,2015-08-01 22:16:13,2015-08-01 22:16:13,2015-08-01 22:16:13,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,13176,True,13176,True,7536,406824,83482,-1,-1,-1,97.0,0.0,0,96658.0,13808.0,428048.0,97.0,1,1
2015-08-02,2015-08-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,2233,3,2233,2233,15409,0,15409,61299,1,w1,2233,0,15409,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/03 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,18479,404591,35359,0,0,0,0,0,0,2617085,2617087,2617086,2015-08-02 22:14:09,2015-08-02 22:14:09,2015-08-02 22:14:09,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,15409,True,15409,True,18479,404591,81249,-1,-1,-1,57.0,0.0,0,96658.0,13808.0,428048.0,57.0,1,1
2015-08-03,2015-08-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,1671,3,1671,1671,17080,0,17080,62970,1,w1,1671,0,17080,20712,420000,96658,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/04 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,19041,402920,33688,0,0,0,0,0,0,2671996,2671998,2671997,2015-08-03 22:14:29,2015-08-03 22:14:29,2015-08-03 22:14:29,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,17080,True,17080,True,19041,402920,79578,-1,-1,-1,42.0,0.0,0,96658.0,13808.0,428048.0,42.0,1,1
2015-08-04,2015-08-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,14519,0,14519,14519,31599,0,31599,77489,1,w1,14519,0,31599,20712,420000,96658,Limited,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/05 00:00:00 EDT,09/01 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,6193,388401,19169,0,0,0,0,0,0,2727576,2727578,2727577,2015-08-04 22:14:11,2015-08-04 22:14:11,2015-08-04 22:14:11,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,31599,True,31599,True,6193,388401,65059,-1,-1,-1,58.0,133.0,0,96658.0,13808.0,428048.0,58.0,1,1
2015-08-05,2015-08-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,20765,3,20765,20765,52364,0,52364,20765,1,w2,20765,0,20765,20712,420000,96658,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,08/06 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-53,367636,75893,0,0,0,0,0,0,2783793,2783795,2783794,2015-08-05 19:12:35,2015-08-05 19:12:35,2015-08-05 19:12:35,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,20765,True,52364,True,-53,367636,75893,-1,-1,-1,77.0,133.0,0,96658.0,13808.0,428048.0,77.0,1,1
2015-08-06,2015-08-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,9288,3,9288,7524,59888,0,59888,28289,1,w2,7524,0,30053,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/07 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,13188,360112,68369,0,0,0,0,0,0,2846175,2846177,2846176,2015-08-06 22:14:34,2015-08-06 22:14:34,2015-08-06 22:14:34,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,False,True,30053,True,61652,True,11424,360112,66605,-1,-1,-1,74.0,0.0,0,96658.0,13808.0,428048.0,76.0,0,0
2015-08-07,2015-08-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,18040,3,18040,18040,79692,0,79692,48093,1,w2,18040,0,48093,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,08/08 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,2672,340308,48565,0,0,0,0,0,0,2899516,2899518,2899517,2015-08-07 22:14:16,2015-08-07 22:14:16,2015-08-07 22:14:16,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,48093,True,79692,True,2672,340308,48565,-1,-1,-1,84.0,133.0,0,96658.0,13808.0,428048.0,84.0,1,1
2015-08-08,2015-08-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,6628,3,6628,6628,86320,0,86320,54721,1,w2,6628,0,54721,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/09 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,14084,333680,41937,0,0,0,0,0,0,2955477,2955479,2955478,2015-08-08 22:14:04,2015-08-08 22:14:04,2015-08-08 22:14:04,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,54721,True,86320,True,14084,333680,41937,-1,-1,-1,80.0,0.0,0,96658.0,13808.0,428048.0,80.0,1,1
2015-08-09,2015-08-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,2099,3,2099,2099,88419,0,88419,56820,1,w2,2099,0,56820,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,08/10 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,18613,331581,39838,0,0,0,0,0,0,3007473,3007475,3007474,2015-08-09 22:15:12,2015-08-09 22:15:12,2015-08-09 22:15:12,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,56820,True,88419,True,18613,331581,39838,-1,-1,-1,73.0,0.0,0,96658.0,13808.0,428048.0,73.0,1,1
2015-08-10,2015-08-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,15000,3,15000,15000,103419,0,103419,71820,1,w2,15000,0,71820,20712,420000,96658,Limited,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,08/11 00:00:00 EDT,09/01 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,5712,316581,24838,0,0,0,0,0,0,3068610,3068612,3068611,2015-08-10 22:16:56,2015-08-10 22:16:56,2015-08-10 22:16:56,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,71820,True,103419,True,5712,316581,24838,-1,-1,-1,76.0,133.0,0,96658.0,13808.0,428048.0,76.0,1,1
