,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,07/02 00:00:00 EDT,0,PBF DIESEL,Daily,11,2015-07-01 22:11:33,1193815,Mansfield,2015-07-01
1,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,08/01 00:00:00 EDT,0,PBF DIESEL,Monthly,11,2015-07-01 22:11:33,1193816,Mansfield,2015-07-01
2,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,07/03 00:00:00 EDT,0,PBF DIESEL,Daily,7,2015-07-02 15:09:12,1230125,Mansfield,2015-07-02
3,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,08/01 00:00:00 EDT,0,PBF DIESEL,Monthly,7,2015-07-02 15:09:12,1230126,Mansfield,2015-07-02
4,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,07/04 00:00:00 EDT,0,PBF DIESEL,Daily,2,2015-07-03 09:04:23,1241875,Mansfield,2015-07-03
5,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,08/01 00:00:00 EDT,0,PBF DIESEL,Monthly,2,2015-07-03 09:04:23,1241876,Mansfield,2015-07-03
6,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,07/05 00:00:00 EDT,0,PBF DIESEL,Daily,2,2015-07-04 08:09:12,1252279,Mansfield,2015-07-04
7,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,08/01 00:00:00 EDT,0,PBF DIESEL,Monthly,2,2015-07-04 08:09:12,1252280,Mansfield,2015-07-04
8,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,07/06 00:00:00 EDT,0,PBF DIESEL,Daily,2,2015-07-05 08:09:29,1262651,Mansfield,2015-07-05
9,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,08/01 00:00:00 EDT,0,PBF DIESEL,Monthly,2,2015-07-05 08:09:29,1262652,Mansfield,2015-07-05
