,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,11/02 00:00:00 EST,0,PBF DIESEL,Daily,10,2015-11-01 22:25:59,7366940,Mansfield,2015-11-01
1,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,12/01 00:00:00 EST,0,PBF DIESEL,Monthly,10,2015-11-01 22:25:59,7366941,Mansfield,2015-11-01
2,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,11/03 00:00:00 EST,0,PBF DIESEL,Daily,8,2015-11-02 22:24:34,7416436,Mansfield,2015-11-02
3,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,12/01 00:00:00 EST,0,PBF DIESEL,Monthly,8,2015-11-02 22:24:34,7416437,Mansfield,2015-11-02
4,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,11/04 00:00:00 EST,0,PBF DIESEL,Daily,11,2015-11-03 22:20:26,7477906,Mansfield,2015-11-03
5,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,12/01 00:00:00 EST,0,PBF DIESEL,Monthly,11,2015-11-03 22:20:26,7477907,Mansfield,2015-11-03
6,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,11/05 00:00:00 EST,0,PBF DIESEL,Daily,38,2015-11-04 23:53:06,7701845,Mansfield,2015-11-04
7,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,12/01 00:00:00 EST,0,PBF DIESEL,Monthly,38,2015-11-04 23:53:06,7701846,Mansfield,2015-11-04
8,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,11/06 00:00:00 EST,0,PBF DIESEL,Daily,26,2015-11-05 22:20:58,7839518,Mansfield,2015-11-05
9,PBF,Contract,Below Trend,Out,100%,MANSFIELD OIL COMPANY CONTRACT 291621,0,0,Toledo OH - Citgo,0,0,0,0,12/01 00:00:00 EST,0,PBF DIESEL,Monthly,26,2015-11-05 22:20:58,7839519,Mansfield,2015-11-05
