,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,0,0,0,36205,1,w1,0,0,0,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Below Trend,Above Trend,01/02 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,336000,39668,0,0,0,0,0,0,11389113,11389115,11389114,2016-01-01 22:18:59,2016-01-01 22:18:59,2016-01-01 22:18:59,Mansfield,Mansfield,Mansfield,10839,336000,75873,16258,336000,75873,False,True,0,True,0,True,16259,336000,75873,-1,-1,-1,-1.0,0.0,0,75873.0,10839.0,336009.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7600,3,7600,7600,7600,0,7600,43805,1,w1,7600,0,7600,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,01/03 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8659,328400,32068,0,0,0,0,0,0,11441177,11441179,11441178,2016-01-02 22:14:10,2016-01-02 22:14:10,2016-01-02 22:14:10,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,False,True,7600,True,7600,True,8659,328400,68273,-1,-1,-1,35.0,0.0,0,75873.0,10839.0,336009.0,35.0,1,1
2016-01-03,2016-01-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,7600,0,7600,43805,1,w1,0,0,7600,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,01/04 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,328400,32068,0,0,0,0,0,0,11494225,11494227,11494226,2016-01-03 22:14:39,2016-01-03 22:14:39,2016-01-03 22:14:39,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,False,True,7600,True,7600,True,16259,328400,68273,-1,-1,-1,23.0,0.0,0,75873.0,10839.0,336009.0,23.0,1,1
2016-01-04,2016-01-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7500,3,7500,7500,15100,0,15100,51305,1,w1,7500,0,15100,16259,336000,75873,Available,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,01/05 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8759,320900,24568,0,0,0,0,0,0,11618351,11618353,11618352,2016-01-04 22:27:42,2016-01-04 22:27:42,2016-01-04 22:27:42,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,False,True,15100,True,15100,True,8759,320900,60773,-1,-1,-1,35.0,0.0,0,75873.0,10839.0,336009.0,35.0,1,1
2016-01-05,2016-01-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7500,0,7500,7500,22600,0,22600,58805,1,w1,7500,0,22600,16259,336000,75873,Available,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,01/06 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8759,313400,17068,0,0,0,0,0,0,11792186,11792188,11792187,2016-01-05 22:20:03,2016-01-05 22:20:03,2016-01-05 22:20:03,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,False,True,22600,True,22600,True,8759,313400,53273,-1,-1,-1,42.0,0.0,0,75873.0,10839.0,336009.0,42.0,1,1
2016-01-06,2016-01-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,6501,3,6501,0,22600,0,22600,0,1,w2,0,0,6501,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Below Trend,01/07 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,313400,75873,0,0,0,0,0,0,11801435,11801437,11801436,2016-01-06 04:22:31,2016-01-06 04:22:31,2016-01-06 04:22:31,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,False,True,6501,True,29101,True,9758,313400,69372,-1,-1,-1,35.0,0.0,0,75873.0,10839.0,336009.0,45.0,0,0
2016-01-07,2016-01-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,15000,3,15000,15000,44101,0,44101,21501,1,w2,15000,0,21501,16259,336000,75873,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,On Target,Above Trend,01/08 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,1259,291899,54372,0,0,0,0,0,0,12104442,12104444,12104443,2016-01-07 22:13:41,2016-01-07 22:13:41,2016-01-07 22:13:41,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,21501,True,44101,True,1259,291899,54372,-1,-1,-1,58.0,133.0,0,75873.0,10839.0,336009.0,58.0,1,1
2016-01-08,2016-01-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,44101,0,44101,21501,1,w2,0,0,21501,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,On Target,On Target,01/09 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,291899,54372,0,0,0,0,0,0,12255946,12255948,12255947,2016-01-08 22:20:56,2016-01-08 22:20:56,2016-01-08 22:20:56,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,21501,True,44101,True,16259,291899,54372,-1,-1,-1,51.0,0.0,0,75873.0,10839.0,336009.0,51.0,1,1
2016-01-09,2016-01-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7500,3,7500,7500,51601,0,51601,29001,1,w2,7500,0,29001,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,On Target,On Target,01/10 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8759,284399,46872,0,0,0,0,0,0,12412434,12412436,12412435,2016-01-09 22:20:48,2016-01-09 22:20:48,2016-01-09 22:20:48,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,29001,True,51601,True,8759,284399,46872,-1,-1,-1,53.0,0.0,0,75873.0,10839.0,336009.0,53.0,1,1
2016-01-10,2016-01-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,51601,0,51601,29001,1,w2,0,0,29001,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,On Target,On Target,01/11 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,284399,46872,0,0,0,0,0,0,12563493,12563495,12563494,2016-01-10 22:21:00,2016-01-10 22:21:00,2016-01-10 22:21:00,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,29001,True,51601,True,16259,284399,46872,-1,-1,-1,48.0,0.0,0,75873.0,10839.0,336009.0,48.0,1,1
