,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2100,0,2100,2100,2100,0,2100,2100,1,w1,2100,0,2100,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,01/02 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-858,28140,4859,0,0,0,0,0,0,11389137,11389139,11389138,2016-01-01 22:18:59,2016-01-01 22:18:59,2016-01-01 22:18:59,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6958,True,True,2100,True,2100,True,-858,28140,4859,-1,-1,-1,258.0,267.0,0,5799.0,828.0,25668.0,258.0,1,1
2016-01-02,2016-01-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,2100,0,2100,2100,1,w1,0,0,2100,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,01/03 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,28140,4859,0,0,0,0,0,0,11441201,11441203,11441202,2016-01-02 22:14:10,2016-01-02 22:14:10,2016-01-02 22:14:10,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,2100,True,2100,True,1242,28140,4859,-1,-1,-1,129.0,0.0,0,5799.0,828.0,25668.0,129.0,1,1
2016-01-03,2016-01-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,2100,0,2100,2100,1,w1,0,0,2100,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,01/04 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,828,25200,25200,5799,1242,28140,4859,0,0,0,0,0,0,11494249,11494251,11494250,2016-01-03 22:14:39,2016-01-03 22:14:39,2016-01-03 22:14:39,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,2100,True,2100,True,1242,28140,4859,-1,-1,-1,86.0,0.0,0,5799.0,828.0,25668.0,86.0,1,1
2016-01-04,2016-01-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,5799,1,0,0,0,0,2100,0,2100,2100,1,w1,0,0,2100,0,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,01/05 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,4859,0,0,0,0,0,0,11618375,11618377,11618376,2016-01-04 22:27:42,2016-01-04 22:27:42,2016-01-04 22:27:42,Mansfield,Mansfield,Mansfield,0,25200,5799,0,30240,6959,True,True,2100,True,2100,True,0,28140,4859,-1,-1,-1,65.0,-1.0,0,5799.0,828.0,25668.0,65.0,1,1
2016-01-05,2016-01-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,5799,1,0,0,0,0,2100,0,2100,2100,1,w1,0,0,2100,0,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,01/06 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,4859,0,0,0,0,0,0,11792210,11792212,11792211,2016-01-05 22:20:03,2016-01-05 22:20:03,2016-01-05 22:20:03,Mansfield,Mansfield,Mansfield,0,25200,5799,0,30240,6959,True,True,2100,True,2100,True,0,28140,4859,-1,-1,-1,52.0,-1.0,0,5799.0,828.0,25668.0,52.0,1,1
2016-01-06,2016-01-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,0,1,0,0,0,0,2100,0,2100,0,1,w2,0,0,0,0,30240,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,01/07 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,0,0,0,0,0,0,0,11801459,11801461,11801460,2016-01-06 04:22:31,2016-01-06 04:22:31,2016-01-06 04:22:31,Mansfield,Mansfield,Mansfield,0,25200,0,0,30240,0,True,True,0,True,2100,True,0,28140,0,-1,-1,-1,43.0,-1.0,-1,0.0,0.0,0.0,43.0,1,1
2016-01-07,2016-01-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,0,1,0,0,0,0,2100,0,2100,0,1,w2,0,0,0,0,30240,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,On Target,Below Trend,01/08 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,0,0,0,0,0,0,0,12104466,12104468,12104467,2016-01-07 22:13:41,2016-01-07 22:13:41,2016-01-07 22:13:41,Mansfield,Mansfield,Mansfield,0,25200,0,0,30240,0,True,True,0,True,2100,True,0,28140,0,-1,-1,-1,37.0,-1.0,-1,0.0,0.0,0.0,37.0,1,1
2016-01-08,2016-01-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,0,1,0,0,0,0,2100,0,2100,0,1,w2,0,0,0,0,30240,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,On Target,Below Trend,01/09 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,0,0,0,0,0,0,0,12255970,12255972,12255971,2016-01-08 22:20:56,2016-01-08 22:20:56,2016-01-08 22:20:56,Mansfield,Mansfield,Mansfield,0,25200,0,0,30240,0,True,True,0,True,2100,True,0,28140,0,-1,-1,-1,32.0,-1.0,-1,0.0,0.0,0.0,32.0,1,1
2016-01-09,2016-01-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,0,1,0,0,0,0,2100,0,2100,0,1,w2,0,0,0,0,30240,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,On Target,Below Trend,01/10 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,0,0,0,0,0,0,0,12412458,12412460,12412459,2016-01-09 22:20:48,2016-01-09 22:20:48,2016-01-09 22:20:48,Mansfield,Mansfield,Mansfield,0,25200,0,0,30240,0,True,True,0,True,2100,True,0,28140,0,-1,-1,-1,29.0,-1.0,-1,0.0,0.0,0.0,29.0,1,1
2016-01-10,2016-01-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,0,25200,0,1,0,0,0,0,2100,0,2100,0,1,w2,0,0,0,0,30240,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,On Target,Below Trend,01/11 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,25200,0,0,0,28140,0,0,0,0,0,0,0,12563517,12563519,12563518,2016-01-10 22:21:00,2016-01-10 22:21:00,2016-01-10 22:21:00,Mansfield,Mansfield,Mansfield,0,25200,0,0,30240,0,True,True,0,True,2100,True,0,28140,0,-1,-1,-1,26.0,-1.0,-1,0.0,0.0,0.0,26.0,1,1
