,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,0,0,0,15008,1,w1,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/02 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,504000,102592,0,0,0,0,0,0,11389140,11389142,11389141,2016-01-01 22:18:59,2016-01-01 22:18:59,2016-01-01 22:18:59,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,0,True,0,True,21000,504000,117600,-1,-1,-1,-1.0,0.0,0,98000.0,14000.0,434000.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,0,0,0,15008,1,w1,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/03 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,504000,102592,0,0,0,0,0,0,11441204,11441206,11441205,2016-01-02 22:14:10,2016-01-02 22:14:10,2016-01-02 22:14:10,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,0,True,0,True,21000,504000,117600,-1,-1,-1,-1.0,0.0,0,98000.0,14000.0,434000.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,0,0,0,15008,1,w1,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/04 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,504000,102592,0,0,0,0,0,0,11494252,11494254,11494253,2016-01-03 22:14:39,2016-01-03 22:14:39,2016-01-03 22:14:39,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,0,True,0,True,21000,504000,117600,-1,-1,-1,-1.0,0.0,0,98000.0,14000.0,434000.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,3,7500,7500,7500,0,7500,22508,1,w1,7500,0,7500,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,01/05 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,496500,95092,0,0,0,0,0,0,11618378,11618380,11618379,2016-01-04 22:27:42,2016-01-04 22:27:42,2016-01-04 22:27:42,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,7500,True,7500,True,13500,496500,110100,-1,-1,-1,14.0,0.0,0,98000.0,14000.0,434000.0,14.0,1,1
2016-01-05,2016-01-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15000,0,15000,15000,22500,0,22500,37508,1,w1,15000,0,22500,21000,504000,117600,Limited,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,01/06 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,6000,481500,80092,0,0,0,0,0,0,11792213,11792215,11792214,2016-01-05 22:20:03,2016-01-05 22:20:03,2016-01-05 22:20:03,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,22500,True,22500,True,6000,481500,95100,-1,-1,-1,33.0,133.0,0,98000.0,14000.0,434000.0,33.0,1,1
2016-01-06,2016-01-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15300,3,15300,0,22500,0,22500,0,1,w2,0,0,15300,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,01/07 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,481500,117600,0,0,0,0,0,0,11801462,11801464,11801463,2016-01-06 04:22:31,2016-01-06 04:22:31,2016-01-06 04:22:31,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,15300,True,37800,True,5700,481500,102300,-1,-1,-1,28.0,0.0,0,98000.0,14000.0,434000.0,46.0,0,0
2016-01-07,2016-01-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,37800,0,37800,15300,1,w2,0,0,15300,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,On Target,On Target,01/08 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,466200,102300,0,0,0,0,0,0,12104469,12104471,12104470,2016-01-07 22:13:41,2016-01-07 22:13:41,2016-01-07 22:13:41,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,15300,True,37800,True,21000,466200,102300,-1,-1,-1,40.0,0.0,0,98000.0,14000.0,434000.0,40.0,1,1
2016-01-08,2016-01-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,37800,0,37800,15300,1,w2,0,0,15300,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,On Target,On Target,01/09 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,466200,102300,0,0,0,0,0,0,12255973,12255975,12255974,2016-01-08 22:20:56,2016-01-08 22:20:56,2016-01-08 22:20:56,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,15300,True,37800,True,21000,466200,102300,-1,-1,-1,35.0,0.0,0,98000.0,14000.0,434000.0,35.0,1,1
2016-01-09,2016-01-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,3,7500,7500,45300,0,45300,22800,1,w2,7500,0,22800,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,On Target,On Target,01/10 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,458700,94800,0,0,0,0,0,0,12412461,12412463,12412462,2016-01-09 22:20:48,2016-01-09 22:20:48,2016-01-09 22:20:48,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,22800,True,45300,True,13500,458700,94800,-1,-1,-1,37.0,0.0,0,98000.0,14000.0,434000.0,37.0,1,1
2016-01-10,2016-01-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,45300,0,45300,22800,1,w2,0,0,22800,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,On Target,On Target,01/11 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,458700,94800,0,0,0,0,0,0,12563520,12563522,12563521,2016-01-10 22:21:00,2016-01-10 22:21:00,2016-01-10 22:21:00,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,22800,True,45300,True,21000,458700,94800,-1,-1,-1,33.0,0.0,0,98000.0,14000.0,434000.0,33.0,1,1
2016-01-11,2016-01-11 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,3,7500,7500,52800,0,52800,30300,1,w2,7500,0,30300,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,On Target,On Target,01/12 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,451200,87300,0,0,0,0,0,0,12715508,12715510,12715509,2016-01-11 22:22:33,2016-01-11 22:22:33,2016-01-11 22:22:33,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,30300,True,52800,True,13500,451200,87300,-1,-1,-1,35.0,0.0,0,98000.0,14000.0,434000.0,35.0,1,1
2016-01-12,2016-01-12 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15000,0,15000,15000,67800,0,67800,45300,1,w2,15000,0,45300,21000,504000,117600,Limited,Available,Available,150%,150,120%,120,120%,120,On Target,On Target,On Target,01/13 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,6000,436200,72300,0,0,0,0,0,0,12862600,12862602,12862601,2016-01-12 22:20:39,2016-01-12 22:20:39,2016-01-12 22:20:39,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,45300,True,67800,True,6000,436200,72300,-1,-1,-1,42.0,133.0,0,98000.0,14000.0,434000.0,42.0,1,1
