,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,24000,3,24000,0,0,0,0,107499,1,w1,0,0,24000,14000,840000,196000,Available,Available,Available,50%,50,100%,100,100%,100,Below Trend,Below Trend,Above Trend,06/02 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,14000,840000,88501,0,0,0,0,0,0,195688,195690,195689,2015-06-01 05:59:28,2015-06-01 05:59:28,2015-06-01 05:59:28,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,196000,False,True,24000,True,0,0,-10000,840000,172000,-1,-1,-1,-1.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,32300,0,0,0,24000,0,24000,131499,1,w1,0,0,56300,14000,840000,196000,Available,Available,Limited,50%,50,100%,100,100%,100,Below Trend,Above Trend,Above Trend,06/03 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,14000,816000,64501,0,0,0,0,0,0,200708,200710,200709,2015-06-02 02:12:04,2015-06-02 02:12:04,2015-06-02 02:12:04,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,196000,False,True,56300,True,0,0,-18300,816000,139700,-1,-1,-1,43.0,0.0,0,196000.0,28000.0,840000.0,-1,1,0
2015-06-03,2015-06-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,21000,3,21000,0,56300,0,56300,0,1,w2,0,0,21000,14000,840000,196000,Available,Available,Available,50%,50,100%,100,100%,100,Below Trend,Above Trend,Below Trend,06/04 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,14000,783700,196000,0,0,0,0,0,0,205798,205800,205799,2015-06-03 01:53:59,2015-06-03 01:53:59,2015-06-03 01:53:59,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,196000,False,True,0,0,0,0,-7000,783700,175000,-1,-1,-1,67.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,3,10500,3,22501,10500,87800,0,87800,31500,1,w2,10500,0,43501,14000,840000,98000,Limited,Available,Available,50%,50,100%,100,50%,50,Above Trend,Above Trend,Above Trend,06/05 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,3500,752200,66500,0,0,0,0,0,0,210857,210859,210858,2015-06-04 06:16:59,2015-06-04 06:16:59,2015-06-04 06:16:59,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,98000,False,False,0,0,0,0,3500,752200,54499,-1,-1,-1,78.0,0.0,0,196000.0,28000.0,840000.0,-1,0,1
2015-06-05,2015-06-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,0,0,0,0,0,99801,0,99801,43501,0,w2,0,0,43501,14000,840000,98000,Available,Available,Available,50%,50,100%,100,50%,50,Below Trend,Above Trend,Above Trend,06/06 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,14000,740199,54499,0,0,0,0,0,0,215948,215950,215949,2015-06-05 00:51:42,2015-06-05 00:51:42,2015-06-05 00:51:42,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,98000,True,False,0,0,0,0,14000,740199,54499,-1,-1,-1,71.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,100,-1,50,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,28000,-1,840000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,28000,840000,196000,14000,840000,98000,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,196000.0,28000.0,840000.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,100,-1,50,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,28000,-1,840000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,24000,3,24000,24000,160001,0,160001,103701,0,w3,24000,0,103701,14000,840000,98000,Out,Available,Out,50%,50,100%,100,50%,50,Above Trend,Above Trend,Above Trend,06/09 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,0,28000,840000,840000,196000,-10000,679999,-5701,0,0,0,0,0,0,226128,226130,226129,2015-06-08 12:54:08,2015-06-08 12:54:08,2015-06-08 12:54:08,Mansfield,Mansfield,Mansfield,28000,840000,196000,14000,840000,98000,False,False,0,0,0,0,-10000,679999,-5701,-1,-1,-1,71.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,0,840000,196000,1,0,0,0,0,160001,0,160001,103701,1,w3,0,0,103701,0,840000,98000,Out,Available,Out,50%,50,100%,100,50%,50,Below Trend,Above Trend,Above Trend,06/10 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,0,0,840000,840000,0,0,679999,-5701,0,0,0,0,0,0,231217,231219,231218,2015-06-09 01:15:13,2015-06-09 01:15:13,2015-06-09 01:15:13,Mansfield,Mansfield,Mansfield,0,840000,196000,0,840000,98000,False,False,0,0,0,0,0,679999,-5701,-1,-1,-1,63.0,-1.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,0,840000,0,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,0,840000,0,Out,Available,Out,50%,50,100%,100,50%,50,Below Trend,Above Trend,Below Trend,06/11 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,0,0,840000,840000,0,0,679999,0,0,0,0,0,0,0,244410,244412,244411,2015-06-10 16:35:22,2015-06-10 16:35:22,2015-06-10 16:35:22,Mansfield,Mansfield,Mansfield,0,840000,0,0,840000,0,True,True,0,True,0,0,0,679999,0,-1,-1,-1,57.0,-1.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-11,2015-06-11 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,0,840000,0,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,0,840000,0,Out,Available,Out,50%,50,100%,100,50%,50,Below Trend,Above Trend,Below Trend,06/12 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,0,840000,840000,0,0,679999,0,0,0,0,0,0,0,266911,266913,266912,2015-06-11 14:53:47,2015-06-11 14:53:47,2015-06-11 14:53:47,Mansfield,Mansfield,Mansfield,0,840000,0,0,840000,0,True,True,0,True,0,0,0,679999,0,-1,-1,-1,52.0,-1.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-12,2015-06-12 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,42000,840000,196000,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Below Trend,06/13 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,42000,679999,196000,0,0,0,0,0,0,282055,282057,282056,2015-06-12 14:30:35,2015-06-12 14:30:35,2015-06-12 14:30:35,Mansfield,Mansfield,Mansfield,28000,840000,196000,42000,840000,196000,True,True,0,True,0,0,42000,679999,196000,-1,-1,-1,48.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-13,2015-06-13 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,42000,840000,196000,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Below Trend,06/14 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,42000,679999,196000,0,0,0,0,0,0,320490,320492,320491,2015-06-13 22:10:22,2015-06-13 22:10:22,2015-06-13 22:10:22,Mansfield,Mansfield,Mansfield,28000,840000,196000,42000,840000,196000,True,True,0,True,0,0,42000,679999,196000,-1,-1,-1,44.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-14,2015-06-14 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,42000,840000,196000,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Below Trend,06/15 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,42000,679999,196000,0,0,0,0,0,0,362697,362699,362698,2015-06-14 22:10:05,2015-06-14 22:10:05,2015-06-14 22:10:05,Mansfield,Mansfield,Mansfield,28000,840000,196000,42000,840000,196000,True,True,0,True,0,0,42000,679999,196000,-1,-1,-1,41.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-15,2015-06-15 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,0,3,0,0,160001,0,160001,0,1,w4,0,0,0,42000,840000,196000,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Below Trend,06/16 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,42000,679999,196000,0,0,0,0,0,0,413308,413310,413309,2015-06-15 22:11:13,2015-06-15 22:11:13,2015-06-15 22:11:13,Mansfield,Mansfield,Mansfield,28000,840000,196000,42000,840000,196000,True,True,0,True,0,0,42000,679999,196000,-1,-1,-1,38.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
2015-06-16,2015-06-16 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 365657,River Rouge (Detroit) MI - Sunoco,PBF DIESEL,28000,840000,196000,1,23748,3,0,23748,183749,0,183749,23748,1,w4,23748,0,23748,42000,840000,196000,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,06/17 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,28000,28000,840000,840000,196000,18252,656251,172252,0,0,0,0,0,0,461142,461144,461143,2015-06-16 22:11:21,2015-06-16 22:11:21,2015-06-16 22:11:21,Mansfield,Mansfield,Mansfield,28000,840000,196000,42000,840000,196000,False,True,23748,True,0,0,18252,656251,172252,-1,-1,-1,41.0,0.0,0,196000.0,28000.0,840000.0,-1,0,0
