,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,3,1700,0,0,0,0,1000,1,w1,0,0,1700,1242,30240,5799,Available,Available,Available,150%,150,120%,120,100%,100,Below Trend,Below Trend,Above Trend,06/02 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-04 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,30240,4799,0,0,0,0,0,0,195671,195673,195672,2015-06-01 05:59:28,2015-06-01 05:59:28,2015-06-01 05:59:28,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,True,1700,True,0,0,-458,30240,4099,-1,-1,-1,-1.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2700,3,2700,0,1700,0,1700,2700,1,w1,0,0,4400,1242,30240,5799,Available,Available,Available,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/03 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-04 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,28540,3099,0,0,0,0,0,0,200691,200693,200692,2015-06-02 02:12:04,2015-06-02 02:12:04,2015-06-02 02:12:04,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,True,4400,True,0,0,-1458,28540,1399,-1,-1,-1,101.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,4400,0,4400,5400,1,w1,0,0,4400,1242,30240,5799,Available,Available,Limited,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/04 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-04 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,25840,399,0,0,0,0,0,0,205781,205783,205782,2015-06-03 01:53:59,2015-06-03 01:53:59,2015-06-03 01:53:59,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,True,4400,True,0,0,1242,25840,1399,-1,-1,-1,175.0,0.0,0,5799.0,828.0,24840.0,-1,1,1
2015-06-04,2015-06-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,3,0,3,700,0,4400,0,4400,0,1,w2,0,0,700,1242,30240,5799,Available,Available,Available,150%,150,120%,120,100%,100,Below Trend,Above Trend,Below Trend,06/05 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-11 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,25840,5799,0,0,0,0,0,0,210840,210842,210841,2015-06-04 06:16:59,2015-06-04 06:16:59,2015-06-04 06:16:59,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,False,0,0,0,0,1242,25840,5099,-1,-1,-1,131.0,0.0,0,5799.0,828.0,24840.0,-1,0,1
2015-06-05,2015-06-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,0,0,0,0,0,5100,0,5100,700,0,w2,0,0,700,1242,30240,5799,Available,Available,Available,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/06 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-11 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,25140,5099,0,0,0,0,0,0,215931,215933,215932,2015-06-05 00:51:42,2015-06-05 00:51:42,2015-06-05 00:51:42,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,True,False,0,0,0,0,1242,25140,5099,-1,-1,-1,121.0,0.0,0,5799.0,828.0,24840.0,-1,1,0
2015-06-06,2015-06-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,120,-1,100,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,828,-1,25200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,828,25200,5799,1242,30240,5799,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,5799.0,828.0,24840.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,120,-1,100,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,828,-1,25200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1000,3,1000,0,11000,0,11000,6600,0,w3,0,0,6600,1242,30240,5799,Available,Available,Out,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/09 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-11 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,19240,-801,0,0,0,0,0,0,226111,226113,226112,2015-06-08 12:54:08,2015-06-08 12:54:08,2015-06-08 12:54:08,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,False,0,0,0,0,242,19240,-801,-1,-1,-1,164.0,400.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2000,3,2000,0,12000,0,12000,7600,1,w3,0,0,8600,1242,30240,5799,Available,Available,Out,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/10 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-11 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,18240,-1801,0,0,0,0,0,0,231200,231202,231201,2015-06-09 01:15:13,2015-06-09 01:15:13,2015-06-09 01:15:13,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,False,0,0,0,0,-758,18240,-2801,-1,-1,-1,159.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,14000,0,14000,9600,1,w3,0,0,8600,1242,30240,5799,Available,Available,Out,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/11 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-11 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,16240,-3801,0,0,0,0,0,0,244393,244395,244394,2015-06-10 16:35:22,2015-06-10 16:35:22,2015-06-10 16:35:22,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,False,0,0,0,0,1242,16240,-2801,-1,-1,-1,167.0,0.0,100,5799.0,828.0,24840.0,-1,0,0
2015-06-11,2015-06-11 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2000,3,2000,1000,15000,0,15000,1000,1,w4,1000,0,2000,1242,30240,5799,Limited,Available,Available,150%,150,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/12 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,242,15240,4799,0,0,0,0,0,0,266894,266896,266895,2015-06-11 14:53:47,2015-06-11 14:53:47,2015-06-11 14:53:47,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,True,2000,True,0,0,-758,15240,3799,-1,-1,-1,162.0,400.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-12,2015-06-12 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2700,3,2700,1000,17000,0,17000,3000,1,w4,1000,0,4700,1242,30240,5799,Limited,Available,Available,150%,150,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/13 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,242,13240,2799,0,0,0,0,0,0,282038,282040,282039,2015-06-12 14:30:35,2015-06-12 14:30:35,2015-06-12 14:30:35,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,False,True,4700,True,0,0,-1458,13240,1099,-1,-1,-1,169.0,600.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-13,2015-06-13 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,3,1700,1700,20400,0,20400,6400,1,w4,1700,0,6400,1242,30240,5799,Out,Limited,Out,150%,150,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/14 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-458,9840,-601,0,0,0,0,0,0,320473,320475,320474,2015-06-13 22:10:22,2015-06-13 22:10:22,2015-06-13 22:10:22,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,True,True,6400,True,0,0,-458,9840,-601,-1,-1,-1,187.0,267.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-14,2015-06-14 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,3,0,0,20400,0,20400,6400,1,w4,0,0,6400,1242,30240,5799,Available,Limited,Out,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/15 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,9840,-601,0,0,0,0,0,0,362680,362682,362681,2015-06-14 22:10:05,2015-06-14 22:10:05,2015-06-14 22:10:05,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,True,True,6400,True,0,0,1242,9840,-601,-1,-1,-1,173.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-15,2015-06-15 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,3,0,0,20400,0,20400,6400,1,w4,0,0,6400,1242,30240,5799,Available,Limited,Out,150%,150,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/16 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,9840,-601,0,0,0,0,0,0,413291,413293,413292,2015-06-15 22:11:13,2015-06-15 22:11:13,2015-06-15 22:11:13,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,5799,True,True,6400,True,0,0,1242,9840,-601,-1,-1,-1,162.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-16,2015-06-16 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,3,1700,1700,22100,0,22100,8100,1,w4,1700,0,8100,828,30240,5799,Out,Limited,Out,100%,100,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/17 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-872,8140,-2301,1000,1000,1000,700,700,700,461125,461127,461126,2015-06-16 22:11:21,2015-06-16 22:11:21,2015-06-16 22:11:21,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,8100,True,0,0,-872,8140,-2301,1000,-1,1000,164.0,267.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-17,2015-06-17 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,22100,0,22100,8100,1,w4,0,0,8100,828,30240,5799,Available,Limited,Out,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/18 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-18 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,8140,-2301,0,0,0,0,0,0,511548,511550,511549,2015-06-17 22:11:50,2015-06-17 22:11:50,2015-06-17 22:11:50,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,8100,True,0,0,828,8140,-2301,-1,-1,-1,155.0,0.0,100,5799.0,828.0,24840.0,-1,0,0
2015-06-18,2015-06-18 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1000,0,1000,1000,23100,0,23100,1000,1,w5,1000,0,1000,828,30240,5799,Out,Limited,Available,100%,100,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/19 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-172,7140,4799,0,0,0,0,0,0,562704,562706,562705,2015-06-18 22:11:27,2015-06-18 22:11:27,2015-06-18 22:11:27,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,1000,True,0,0,-172,7140,4799,-1,-1,-1,153.0,133.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-19,2015-06-19 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,23100,0,23100,1000,1,w5,0,0,1000,828,30240,5799,Available,Limited,Available,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/20 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,7140,4799,0,0,0,0,0,0,611130,611132,611131,2015-06-19 22:13:21,2015-06-19 22:13:21,2015-06-19 22:13:21,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,1000,True,0,0,828,7140,4799,-1,-1,-1,145.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-20,2015-06-20 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1000,0,1000,1000,24100,0,24100,2000,1,w5,1000,0,2000,828,30240,5799,Out,Limited,Available,100%,100,120%,120,100%,100,Above Trend,Above Trend,Above Trend,06/21 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-172,6140,3799,0,0,0,0,0,0,659019,659021,659020,2015-06-20 22:10:09,2015-06-20 22:10:09,2015-06-20 22:10:09,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,2000,True,0,0,-172,6140,3799,-1,-1,-1,143.0,133.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-21,2015-06-21 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,24100,0,24100,2000,1,w5,0,0,2000,828,30240,5799,Available,Limited,Available,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/22 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,6140,3799,0,0,0,0,0,0,702319,702321,702320,2015-06-21 22:10:07,2015-06-21 22:10:07,2015-06-21 22:10:07,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,2000,True,0,0,828,6140,3799,-1,-1,-1,137.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-22,2015-06-22 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,24100,0,24100,2000,1,w5,0,0,2000,828,30240,5799,Available,Limited,Available,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/23 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,6140,3799,0,0,0,0,0,0,751419,751421,751420,2015-06-22 22:10:59,2015-06-22 22:10:59,2015-06-22 22:10:59,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,2000,True,0,0,828,6140,3799,-1,-1,-1,130.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-23,2015-06-23 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,24100,0,24100,2000,1,w5,0,0,2000,828,30240,5799,Available,Limited,Available,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/24 00:00:00 EDT,07/01 00:00:00 EDT,w4,0,2015-06-25 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,6140,3799,0,0,0,0,0,0,801514,801516,801515,2015-06-23 22:11:52,2015-06-23 22:11:52,2015-06-23 22:11:52,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,2000,True,0,0,828,6140,3799,-1,-1,-1,125.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
2015-06-24,2015-06-24 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,24100,0,24100,2000,1,w5,0,0,0,828,30240,5799,Available,Limited,Available,100%,100,120%,120,100%,100,Below Trend,Above Trend,Above Trend,06/25 00:00:00 EDT,07/01 00:00:00 EDT,w5,0,2015-07-01 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,828,6140,3799,0,0,0,0,0,0,848849,848851,848850,2015-06-24 22:11:13,2015-06-24 22:11:13,2015-06-24 22:11:13,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,0,True,0,0,828,6140,5799,-1,-1,-1,120.0,0.0,0,5799.0,828.0,24840.0,-1,0,0
