,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,3,7500,7500,7500,0,7500,98417,1,w1,7500,0,7500,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,06/02 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,496500,19183,0,0,0,0,0,0,195674,195676,195675,2015-06-01 05:59:28,2015-06-01 05:59:28,2015-06-01 05:59:28,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,7500,True,0,0,13500,496500,110100,-1,-1,-1,54.0,0.0,0,98000.0,14000.0,420000.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,0,0,0,7500,0,7500,98417,1,w1,0,0,7500,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,06/03 00:00:00 EDT,07/01 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,496500,19183,0,0,0,0,0,0,200694,200696,200695,2015-06-02 02:12:04,2015-06-02 02:12:04,2015-06-02 02:12:04,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,7500,True,0,0,21000,496500,110100,-1,-1,-1,27.0,0.0,0,98000.0,14000.0,420000.0,-1,1,1
2015-06-03,2015-06-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,0,0,0,7500,0,7500,0,1,w2,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,06/04 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,496500,117600,0,0,0,0,0,0,205784,205786,205785,2015-06-03 01:53:59,2015-06-03 01:53:59,2015-06-03 01:53:59,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,0,0,0,0,21000,496500,117600,-1,-1,-1,18.0,0.0,0,98000.0,14000.0,420000.0,-1,1,1
2015-06-04,2015-06-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,3,0,0,0,0,7500,0,7500,0,1,w2,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,06/05 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,496500,117600,0,0,0,0,0,0,210843,210845,210844,2015-06-04 06:16:59,2015-06-04 06:16:59,2015-06-04 06:16:59,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,0,0,0,0,21000,496500,117600,-1,-1,-1,13.0,0.0,0,98000.0,14000.0,420000.0,-1,1,1
2015-06-05,2015-06-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,0,0,0,0,0,7500,0,7500,0,0,w2,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,06/06 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,496500,117600,0,0,0,0,0,0,215934,215936,215935,2015-06-05 00:51:42,2015-06-05 00:51:42,2015-06-05 00:51:42,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,0,0,0,0,21000,496500,117600,-1,-1,-1,11.0,0.0,0,98000.0,14000.0,420000.0,-1,1,1
2015-06-06,2015-06-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,120,-1,120,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,14000,-1,420000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,14000,420000,98000,21000,504000,117600,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,98000.0,14000.0,420000.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,120,-1,120,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,14000,-1,420000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,37504,3,37504,30002,90610,0,90610,83110,0,w3,30002,0,83110,21000,504000,117600,Out,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,06/09 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-9002,413390,34490,26000,26000,26000,1898,1898,1898,226114,226116,226115,2015-06-08 12:54:08,2015-06-08 12:54:08,2015-06-08 12:54:08,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,False,0,0,0,0,-16504,413390,34490,26000,-1,-1,81.0,800.0,0,98000.0,14000.0,420000.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,22500,0,0,0,98112,0,98112,90612,1,w3,0,0,105610,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,06/10 00:00:00 EDT,07/01 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,405888,26988,0,0,0,0,0,0,231203,231205,231204,2015-06-09 01:15:13,2015-06-09 01:15:13,2015-06-09 01:15:13,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,False,0,0,0,0,-1500,405888,11990,-1,-1,-1,78.0,0.0,100,98000.0,14000.0,420000.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,20000,3,20000,12500,133112,0,133112,12500,1,w4,12500,0,20000,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,06/11 00:00:00 EDT,07/01 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,8500,370888,105100,0,0,0,0,0,0,244396,244398,244397,2015-06-10 16:35:22,2015-06-10 16:35:22,2015-06-10 16:35:22,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,False,True,20000,True,0,0,1000,370888,97600,-1,-1,-1,95.0,200.0,0,98000.0,14000.0,420000.0,-1,0,0
