,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,8000,3,8000,8000,8000,0,8000,91008,1,w1,8000,0,8000,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/02 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13000,496000,26592,0,0,0,0,0,0,7366920,7366922,7366921,2015-11-01 22:25:59,2015-11-01 22:25:59,2015-11-01 22:25:59,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,8000,True,8000,True,13000,496000,109600,-1,-1,-1,57.0,0.0,0,98000.0,14000.0,420000.0,57.0,1,1
2015-11-02,2015-11-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15008,3,15008,15008,23008,0,23008,106016,1,w1,15008,0,23008,21000,504000,117600,Limited,Available,Limited,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/03 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,5992,480992,11584,0,0,0,0,0,0,7416416,7416418,7416417,2015-11-02 22:24:34,2015-11-02 22:24:34,2015-11-02 22:24:34,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,23008,True,23008,True,5992,480992,94592,-1,-1,-1,82.0,133.0,0,98000.0,14000.0,420000.0,82.0,1,1
2015-11-03,2015-11-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15200,0,15200,15200,38208,0,38208,121216,1,w1,15200,0,38208,21000,504000,117600,Limited,Available,Out,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/04 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,5800,465792,-3616,0,0,0,0,0,0,7477886,7477888,7477887,2015-11-03 22:20:26,2015-11-03 22:20:26,2015-11-03 22:20:26,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,38208,True,38208,True,5800,465792,79392,-1,-1,-1,91.0,133.0,0,98000.0,14000.0,420000.0,91.0,1,1
2015-11-04,2015-11-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,0,0,0,38208,0,38208,0,1,w2,0,0,0,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,11/05 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,465792,117600,0,0,0,0,0,0,7701825,7701827,7701826,2015-11-04 23:53:06,2015-11-04 23:53:06,2015-11-04 23:53:06,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,0,True,38208,True,21000,465792,117600,-1,-1,-1,68.0,0.0,0,98000.0,14000.0,420000.0,68.0,1,1
2015-11-05,2015-11-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15008,0,15008,15008,53216,0,53216,15008,1,w2,15008,0,15008,21000,504000,117600,Limited,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/06 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,5992,450784,102592,0,0,0,0,0,0,7839498,7839500,7839499,2015-11-05 22:20:58,2015-11-05 22:20:58,2015-11-05 22:20:58,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,15008,True,53216,True,5992,450784,102592,-1,-1,-1,76.0,133.0,0,98000.0,14000.0,420000.0,76.0,1,1
2015-11-06,2015-11-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,0,7500,7500,60716,0,60716,22508,1,w2,7500,0,22508,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/07 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,443284,95092,0,0,0,0,0,0,7887645,7887647,7887646,2015-11-06 22:23:20,2015-11-06 22:23:20,2015-11-06 22:23:20,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,22508,True,60716,True,13500,443284,95092,-1,-1,-1,72.0,0.0,0,98000.0,14000.0,420000.0,72.0,1,1
2015-11-07,2015-11-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,22800,0,22800,22800,83516,0,83516,45308,1,w2,22800,0,45308,21000,504000,117600,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,11/08 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-1800,420484,72292,0,0,0,0,0,0,7931079,7931081,7931080,2015-11-07 22:24:12,2015-11-07 22:24:12,2015-11-07 22:24:12,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,45308,True,83516,True,-1800,420484,72292,-1,-1,-1,85.0,133.0,0,98000.0,14000.0,420000.0,85.0,1,1
2015-11-08,2015-11-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15000,0,15000,15000,98516,0,98516,60308,1,w2,15000,0,60308,21000,504000,117600,Limited,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,11/09 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,6000,405484,57292,0,0,0,0,0,0,7979495,7979497,7979496,2015-11-08 22:21:25,2015-11-08 22:21:25,2015-11-08 22:21:25,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,60308,True,98516,True,6000,405484,57292,-1,-1,-1,88.0,133.0,0,98000.0,14000.0,420000.0,88.0,1,1
2015-11-09,2015-11-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,28000,0,28000,28000,126516,0,126516,88308,1,w2,28000,0,88308,21000,504000,117600,Out,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,11/10 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-7000,377484,29292,0,0,0,0,0,0,8030593,8030595,8030594,2015-11-09 22:19:40,2015-11-09 22:19:40,2015-11-09 22:19:40,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,88308,True,126516,True,-7000,377484,29292,-1,-1,-1,100.0,267.0,0,98000.0,14000.0,420000.0,100.0,1,1
2015-11-10,2015-11-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,22500,0,22500,22500,149016,0,149016,110808,1,w2,22500,0,110808,21000,504000,117600,Out,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,11/11 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-1500,354984,6792,0,0,0,0,0,0,8082267,8082269,8082268,2015-11-10 23:42:40,2015-11-10 23:42:40,2015-11-10 23:42:40,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,110808,True,149016,True,-1500,354984,6792,-1,-1,-1,106.0,133.0,100,98000.0,14000.0,420000.0,106.0,1,1
