,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,2679,3,2679,2679,2679,0,2679,68977,1,w1,2679,0,2679,20712,420000,96658,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,11/02 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,18033,417321,27681,0,0,0,0,0,0,7366923,7366925,7366924,2015-11-01 22:25:59,2015-11-01 22:25:59,2015-11-01 22:25:59,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,2679,True,2679,True,18033,417321,93979,-1,-1,-1,19.0,0.0,0,96658.0,13808.0,414240.0,19.0,1,1
2015-11-02,2015-11-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,24222,3,24222,20500,23179,0,23179,89477,1,w1,20500,0,26901,20712,420000,96658,Limited,Available,Limited,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/03 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,212,396821,7181,0,0,0,0,0,0,7416419,7416421,7416420,2015-11-02 22:24:34,2015-11-02 22:24:34,2015-11-02 22:24:34,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,False,False,26901,True,26901,True,-3510,396821,69757,-1,-1,-1,83.0,133.0,0,96658.0,13808.0,414240.0,96.0,0,0
2015-11-03,2015-11-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,10762,0,10762,10762,37663,0,37663,103961,1,w1,10762,0,37663,20712,420000,96658,Available,Available,Out,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,11/04 00:00:00 EST,12/01 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,9950,382337,-7303,0,0,0,0,0,0,7477889,7477891,7477890,2015-11-03 22:20:26,2015-11-03 22:20:26,2015-11-03 22:20:26,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,37663,True,37663,True,9950,382337,58995,-1,-1,-1,90.0,0.0,0,96658.0,13808.0,414240.0,90.0,1,1
2015-11-04,2015-11-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,15260,0,15260,15260,52923,0,52923,15260,1,w2,15260,0,15260,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,11/05 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,5452,367077,81398,0,0,0,0,0,0,7701828,7701830,7701829,2015-11-04 23:53:06,2015-11-04 23:53:06,2015-11-04 23:53:06,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,15260,True,52923,True,5452,367077,81398,-1,-1,-1,95.0,133.0,0,96658.0,13808.0,414240.0,95.0,1,1
2015-11-05,2015-11-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,21674,0,21674,21674,74597,0,74597,36934,1,w2,21674,0,36934,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/06 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-962,345403,59724,2000,2000,2000,2000,2000,2000,7839501,7839503,7839502,2015-11-05 22:20:58,2015-11-05 22:20:58,2015-11-05 22:20:58,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,36934,True,74597,True,-962,345403,59724,2000,-1,-1,107.0,133.0,0,96658.0,13808.0,414240.0,107.0,1,1
2015-11-06,2015-11-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,16386,0,16386,16386,90983,0,90983,53320,1,w2,16386,0,53320,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/07 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,4326,329017,43338,0,0,0,0,0,0,7887648,7887650,7887649,2015-11-06 22:23:20,2015-11-06 22:23:20,2015-11-06 22:23:20,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,53320,True,90983,True,4326,329017,43338,-1,-1,-1,108.0,133.0,0,96658.0,13808.0,414240.0,108.0,1,1
2015-11-07,2015-11-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,5953,0,5953,5953,96936,0,96936,59273,1,w2,5953,0,59273,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,11/08 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,14759,323064,37385,0,0,0,0,0,0,7931082,7931084,7931083,2015-11-07 22:24:12,2015-11-07 22:24:12,2015-11-07 22:24:12,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,59273,True,96936,True,14759,323064,37385,-1,-1,-1,99.0,0.0,0,96658.0,13808.0,414240.0,99.0,1,1
2015-11-08,2015-11-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,2111,0,2111,2111,99047,0,99047,61384,1,w2,2111,0,61384,20712,420000,96658,Available,Available,Available,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,11/09 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,18601,320953,35274,0,0,0,0,0,0,7979498,7979500,7979499,2015-11-08 22:21:25,2015-11-08 22:21:25,2015-11-08 22:21:25,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,61384,True,99047,True,18601,320953,35274,-1,-1,-1,88.0,0.0,0,96658.0,13808.0,414240.0,88.0,1,1
2015-11-09,2015-11-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,14586,0,14586,14586,113633,0,113633,75970,1,w2,14586,0,75970,20712,420000,96658,Limited,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,11/10 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,6126,306367,20688,0,0,0,0,0,0,8030596,8030598,8030597,2015-11-09 22:19:40,2015-11-09 22:19:40,2015-11-09 22:19:40,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,75970,True,113633,True,6126,306367,20688,-1,-1,-1,90.0,133.0,0,96658.0,13808.0,414240.0,90.0,1,1
2015-11-10,2015-11-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,27908,0,27908,27908,141541,0,141541,103878,1,w2,27908,0,103878,20712,420000,96658,Out,Available,Out,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/11 00:00:00 EST,12/01 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-7196,278459,-7220,6500,6500,6500,-720,-720,-720,8082270,8082272,8082271,2015-11-10 23:42:40,2015-11-10 23:42:40,2015-11-10 23:42:40,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,103878,True,141541,True,-7196,278459,-7220,6500,-1,6500,101.0,267.0,100,96658.0,13808.0,414240.0,101.0,1,1
