,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,15006,3,15006,15006,15006,0,15006,23206,1,w1,15006,0,15006,14000,231000,58800,Out,Available,Available,200%,200,110%,110,120%,120,Above Trend,Above Trend,Above Trend,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,-1006,215994,35594,0,0,0,0,0,0,5864471,5864473,5864472,2015-10-01 22:23:53,2015-10-01 22:23:53,2015-10-01 22:23:53,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,15006,True,15006,True,-1006,215994,43794,-1,-1,-1,222.0,267.0,0,49000.0,7000.0,217000.0,222.0,1,1
2015-10-02,2015-10-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,15500,3,15500,15500,30506,0,30506,38706,1,w1,15500,0,30506,14000,231000,58800,Limited,Available,Available,200%,200,110%,110,120%,120,Above Trend,Above Trend,Above Trend,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,-1500,200494,20094,5000,5000,5000,3500,3500,3500,5917093,5917095,5917094,2015-10-02 22:22:59,2015-10-02 22:22:59,2015-10-02 22:22:59,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,30506,True,30506,True,-1500,200494,28294,5000,-1,-1,225.0,267.0,0,49000.0,7000.0,217000.0,225.0,1,1
2015-10-03,2015-10-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,5501,3,5501,5501,36007,0,36007,44207,1,w1,5501,0,36007,14000,231000,58800,Available,Available,Limited,200%,200,110%,110,120%,120,On Target,Above Trend,Above Trend,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,8499,194993,14593,0,0,0,0,0,0,5963861,5963863,5963862,2015-10-03 22:22:54,2015-10-03 22:22:54,2015-10-03 22:22:54,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,36007,True,36007,True,8499,194993,22793,-1,-1,-1,177.0,0.0,0,49000.0,7000.0,217000.0,177.0,1,1
2015-10-04,2015-10-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,0,3,0,0,36007,0,36007,44207,1,w1,0,0,36007,14000,231000,58800,Available,Available,Limited,200%,200,110%,110,120%,120,Below Trend,Above Trend,Above Trend,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,14000,194993,14593,0,0,0,0,0,0,6010326,6010328,6010327,2015-10-04 22:23:09,2015-10-04 22:23:09,2015-10-04 22:23:09,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,36007,True,36007,True,14000,194993,22793,-1,-1,-1,133.0,0.0,0,49000.0,7000.0,217000.0,133.0,1,1
2015-10-05,2015-10-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,11195,3,11195,11195,47202,0,47202,55402,1,w1,11195,0,47202,14000,231000,58800,Limited,Available,Limited,200%,200,110%,110,120%,120,Above Trend,Above Trend,Above Trend,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,2805,183798,3398,0,0,0,0,0,0,6064700,6064702,6064701,2015-10-05 22:23:00,2015-10-05 22:23:00,2015-10-05 22:23:00,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,47202,True,47202,True,2805,183798,11598,-1,-1,-1,139.0,133.0,0,49000.0,7000.0,217000.0,139.0,1,1
2015-10-06,2015-10-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,4500,0,4500,4500,51702,0,51702,59902,1,w1,4500,0,51702,14000,231000,58800,Available,Available,Out,200%,200,110%,110,120%,120,On Target,Above Trend,Above Trend,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,9500,179298,-1102,0,0,0,0,0,0,6121460,6121462,6121461,2015-10-06 22:23:05,2015-10-06 22:23:05,2015-10-06 22:23:05,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,False,51702,True,51702,True,9500,179298,7098,-1,-1,-1,127.0,0.0,100,49000.0,7000.0,217000.0,127.0,1,1
2015-10-07,2015-10-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,13001,0,13001,13001,64703,0,64703,13001,1,w2,13001,0,13001,14000,231000,58800,Limited,Available,Available,200%,200,110%,110,120%,120,Above Trend,Above Trend,Above Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,999,166297,45799,0,0,0,0,0,0,6171478,6171480,6171479,2015-10-07 22:23:25,2015-10-07 22:23:25,2015-10-07 22:23:25,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,True,13001,True,64703,True,999,166297,45799,-1,-1,-1,136.0,133.0,0,49000.0,7000.0,217000.0,136.0,1,1
2015-10-08,2015-10-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,4200,0,4200,4200,68903,0,68903,17201,1,w2,4200,0,17201,14000,231000,58800,Available,Available,Available,200%,200,110%,110,120%,120,On Target,Above Trend,Above Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,9800,162097,41599,0,0,0,0,0,0,6224621,6224623,6224622,2015-10-08 22:23:45,2015-10-08 22:23:45,2015-10-08 22:23:45,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,True,17201,True,68903,True,9800,162097,41599,-1,-1,-1,127.0,0.0,0,49000.0,7000.0,217000.0,127.0,1,1
2015-10-09,2015-10-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,15698,0,15698,15698,84601,0,84601,32899,1,w2,15698,0,32899,14000,231000,58800,Out,Available,Available,200%,200,110%,110,120%,120,Above Trend,Above Trend,Above Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,-1698,146399,25901,0,0,0,0,0,0,6275849,6275851,6275850,2015-10-09 22:26:00,2015-10-09 22:26:00,2015-10-09 22:26:00,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,True,32899,True,84601,True,-1698,146399,25901,-1,-1,-1,139.0,267.0,0,49000.0,7000.0,217000.0,139.0,1,1
2015-10-10,2015-10-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 418341,Highspire PA - PPC,PBF DIESEL,7000,210000,49000,1,4500,0,4500,4500,89101,0,89101,37399,1,w2,4500,0,37399,14000,231000,58800,Available,Available,Available,200%,200,110%,110,120%,120,On Target,Above Trend,Above Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,7000,7000,210000,210000,49000,9500,141899,21401,0,0,0,0,0,0,6322554,6322556,6322555,2015-10-10 22:22:32,2015-10-10 22:22:32,2015-10-10 22:22:32,Mansfield,Mansfield,Mansfield,7000,210000,49000,14000,231000,58800,True,True,37399,True,89101,True,9500,141899,21401,-1,-1,-1,132.0,0.0,0,49000.0,7000.0,217000.0,132.0,1,1
