,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,14839,336000,75873,1,22499,3,22499,22499,22499,0,22499,44999,1,w1,22499,0,22499,22259,336000,75873,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,-241,313501,30874,0,0,0,0,0,0,5864456,5864458,5864457,2015-10-01 22:23:53,2015-10-01 22:23:53,2015-10-01 22:23:53,Mansfield,Mansfield,Mansfield,14839,336000,75873,22258,336000,75873,True,False,22499,True,22499,True,-240,313501,53374,-1,-1,-1,208.0,133.0,0,75873.0,10839.0,336009.0,208.0,1,1
2015-10-02,2015-10-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,22500,3,22500,22500,44999,0,44999,67499,1,w1,22500,0,44999,16259,336000,75873,Out,Available,Limited,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,-6242,291001,8374,0,0,0,0,0,0,5917078,5917080,5917079,2015-10-02 22:22:59,2015-10-02 22:22:59,2015-10-02 22:22:59,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,44999,True,44999,True,-6241,291001,30874,-1,-1,-1,208.0,267.0,0,75873.0,10839.0,336009.0,208.0,1,1
2015-10-03,2015-10-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7605,3,7605,7605,52604,0,52604,75104,1,w1,7605,0,52604,16259,336000,75873,Available,Available,Limited,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8654,283396,769,0,0,0,0,0,0,5963846,5963848,5963847,2015-10-03 22:22:54,2015-10-03 22:22:54,2015-10-03 22:22:54,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,52604,True,52604,True,8654,283396,23269,-1,-1,-1,162.0,0.0,0,75873.0,10839.0,336009.0,162.0,1,1
2015-10-04,2015-10-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,3,0,0,52604,0,52604,75104,1,w1,0,0,52604,16259,336000,75873,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,283396,769,0,0,0,0,0,0,6010311,6010313,6010312,2015-10-04 22:23:09,2015-10-04 22:23:09,2015-10-04 22:23:09,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,52604,True,52604,True,16259,283396,23269,-1,-1,-1,121.0,0.0,0,75873.0,10839.0,336009.0,121.0,1,1
2015-10-05,2015-10-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7500,3,7500,7500,60104,0,60104,82604,1,w1,7500,0,60104,16259,336000,75873,Available,Available,Out,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8759,275896,-6731,0,0,0,0,0,0,6064685,6064687,6064686,2015-10-05 22:23:00,2015-10-05 22:23:00,2015-10-05 22:23:00,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,60104,True,60104,True,8759,275896,15769,-1,-1,-1,111.0,0.0,0,75873.0,10839.0,336009.0,111.0,1,1
2015-10-06,2015-10-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,0,0,0,0,60104,0,60104,82604,1,w1,0,0,60104,16259,336000,75873,Available,Available,Out,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,16259,275896,-6731,0,0,0,0,0,0,6121445,6121447,6121446,2015-10-06 22:23:05,2015-10-06 22:23:05,2015-10-06 22:23:05,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,False,60104,True,60104,True,16259,275896,15769,-1,-1,-1,92.0,0.0,0,75873.0,10839.0,336009.0,92.0,1,1
2015-10-07,2015-10-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7605,0,7605,7605,67709,0,67709,7605,1,w2,7605,0,7605,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8654,268291,68268,0,0,0,0,0,0,6171463,6171465,6171464,2015-10-07 22:23:25,2015-10-07 22:23:25,2015-10-07 22:23:25,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,7605,True,67709,True,8654,268291,68268,-1,-1,-1,89.0,0.0,0,75873.0,10839.0,336009.0,89.0,1,1
2015-10-08,2015-10-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,22500,0,22500,22500,90209,0,90209,30105,1,w2,22500,0,30105,16259,336000,75873,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,-6242,245791,45768,0,0,0,0,0,0,6224606,6224608,6224607,2015-10-08 22:23:45,2015-10-08 22:23:45,2015-10-08 22:23:45,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,30105,True,90209,True,-6241,245791,45768,-1,-1,-1,104.0,267.0,0,75873.0,10839.0,336009.0,104.0,1,1
2015-10-09,2015-10-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7510,0,7510,7510,97719,0,97719,37615,1,w2,7510,0,37615,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8749,238281,38258,0,0,0,0,0,0,6275834,6275836,6275835,2015-10-09 22:26:00,2015-10-09 22:26:00,2015-10-09 22:26:00,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,37615,True,97719,True,8749,238281,38258,-1,-1,-1,100.0,0.0,0,75873.0,10839.0,336009.0,100.0,1,1
2015-10-10,2015-10-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 64179,Columbus OH West - Sunoco,PBF DIESEL,10839,336000,75873,1,7504,0,7504,7504,105223,0,105223,45119,1,w2,7504,0,45119,16259,336000,75873,Available,Available,Available,150%,150,100%,100,100%,100,On Target,Above Trend,Above Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,10839,10839,336000,336000,75873,8755,230777,30754,0,0,0,0,0,0,6322539,6322541,6322540,2015-10-10 22:22:32,2015-10-10 22:22:32,2015-10-10 22:22:32,Mansfield,Mansfield,Mansfield,10839,336000,75873,16259,336000,75873,True,True,45119,True,105223,True,8755,230777,30754,-1,-1,-1,97.0,0.0,0,75873.0,10839.0,336009.0,97.0,1,1
