,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,0,1700,1700,1700,0,1700,1700,1,w1,1700,0,1700,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-458,28540,5259,0,0,0,0,0,0,5864479,5864481,5864480,2015-10-01 22:23:53,2015-10-01 22:23:53,2015-10-01 22:23:53,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6958,True,True,1700,True,1700,True,-458,28540,5259,-1,-1,-1,209.0,267.0,0,5799.0,828.0,25668.0,209.0,1,1
2015-10-02,2015-10-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2000,0,2000,2000,3700,0,3700,3700,1,w1,2000,0,3700,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-758,26540,3259,0,0,0,0,0,0,5917101,5917103,5917102,2015-10-02 22:22:59,2015-10-02 22:22:59,2015-10-02 22:22:59,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,3700,True,3700,True,-758,26540,3259,-1,-1,-1,228.0,267.0,0,5799.0,828.0,25668.0,228.0,1,1
2015-10-03,2015-10-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,3700,0,3700,3700,1,w1,0,0,3700,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,26540,3259,0,0,0,0,0,0,5963869,5963871,5963870,2015-10-03 22:22:54,2015-10-03 22:22:54,2015-10-03 22:22:54,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,3700,True,3700,True,1242,26540,3259,-1,-1,-1,152.0,0.0,0,5799.0,828.0,25668.0,152.0,1,1
2015-10-04,2015-10-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,3700,0,3700,3700,1,w1,0,0,3700,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,26540,3259,0,0,0,0,0,0,6010334,6010336,6010335,2015-10-04 22:23:09,2015-10-04 22:23:09,2015-10-04 22:23:09,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,3700,True,3700,True,1242,26540,3259,-1,-1,-1,114.0,0.0,0,5799.0,828.0,25668.0,114.0,1,1
2015-10-05,2015-10-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,3700,0,3700,3700,1,w1,0,0,3700,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,26540,3259,0,0,0,0,0,0,6064708,6064710,6064709,2015-10-05 22:23:00,2015-10-05 22:23:00,2015-10-05 22:23:00,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,3700,True,3700,True,1242,26540,3259,-1,-1,-1,91.0,0.0,0,5799.0,828.0,25668.0,91.0,1,1
2015-10-06,2015-10-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2700,0,0,0,3700,0,3700,3700,1,w1,0,0,6400,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,26540,3259,0,0,0,0,0,0,6121468,6121470,6121469,2015-10-06 22:23:05,2015-10-06 22:23:05,2015-10-06 22:23:05,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,6400,True,6400,True,-1458,26540,559,-1,-1,-1,76.0,400.0,100,5799.0,828.0,25668.0,131.0,1,0
2015-10-07,2015-10-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,6400,0,6400,0,1,w2,0,0,0,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,23840,6959,0,0,0,0,0,0,6171486,6171488,6171487,2015-10-07 22:23:25,2015-10-07 22:23:25,2015-10-07 22:23:25,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,0,True,6400,True,1242,23840,6959,-1,-1,-1,112.0,0.0,0,5799.0,828.0,25668.0,112.0,0,1
2015-10-08,2015-10-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,6400,0,6400,0,1,w2,0,0,0,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,23840,6959,0,0,0,0,0,0,6224630,6224632,6224631,2015-10-08 22:23:45,2015-10-08 22:23:45,2015-10-08 22:23:45,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,0,True,6400,True,1242,23840,6959,-1,-1,-1,98.0,0.0,0,5799.0,828.0,25668.0,98.0,0,1
2015-10-09,2015-10-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,6400,0,6400,0,1,w2,0,0,0,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,23840,6959,0,0,0,0,0,0,6275858,6275860,6275859,2015-10-09 22:26:00,2015-10-09 22:26:00,2015-10-09 22:26:00,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,0,True,6400,True,1242,23840,6959,-1,-1,-1,87.0,0.0,0,5799.0,828.0,25668.0,87.0,0,1
2015-10-10,2015-10-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2000,0,2000,2000,8400,0,8400,2000,1,w2,2000,0,2000,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-758,21840,4959,0,0,0,0,0,0,6322563,6322565,6322564,2015-10-10 22:22:32,2015-10-10 22:22:32,2015-10-10 22:22:32,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,2000,True,8400,True,-758,21840,4959,-1,-1,-1,103.0,267.0,0,5799.0,828.0,25668.0,103.0,0,1
2015-10-11,2015-10-11 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2700,0,2700,2700,11100,0,11100,4700,1,w2,2700,0,4700,1242,30240,6959,Out,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/12 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-1458,19140,2259,0,0,0,0,0,0,6370785,6370787,6370786,2015-10-11 22:24:32,2015-10-11 22:24:32,2015-10-11 22:24:32,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,4700,True,11100,True,-1458,19140,2259,-1,-1,-1,124.0,400.0,0,5799.0,828.0,25668.0,124.0,0,1
2015-10-12,2015-10-12 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2700,0,2700,2700,13800,0,13800,7400,1,w2,2700,0,7400,1242,30240,6959,Out,Available,Out,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/13 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-1458,16440,-441,0,0,0,0,0,0,6425717,6425719,6425718,2015-10-12 22:23:41,2015-10-12 22:23:41,2015-10-12 22:23:41,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,7400,True,13800,True,-1458,16440,-441,-1,-1,-1,141.0,400.0,0,5799.0,828.0,25668.0,141.0,0,1
2015-10-13,2015-10-13 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,13800,0,13800,7400,1,w2,0,0,7400,1242,30240,6959,Available,Available,Out,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/14 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,16440,-441,0,0,0,0,0,0,6480074,6480076,6480075,2015-10-13 22:23:51,2015-10-13 22:23:51,2015-10-13 22:23:51,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,7400,True,13800,True,1242,16440,-441,-1,-1,-1,131.0,0.0,100,5799.0,828.0,25668.0,131.0,0,1
2015-10-14,2015-10-14 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2600,0,2600,2600,16400,0,16400,2600,1,w3,2600,0,2600,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/15 00:00:00 EDT,11/01 00:00:00 EST,w3,0,2015-10-21 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-1358,13840,4359,0,0,0,0,0,0,6534240,6534242,6534241,2015-10-14 22:25:07,2015-10-14 22:25:07,2015-10-14 22:25:07,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,2600,True,16400,True,-1358,13840,4359,-1,-1,-1,144.0,400.0,0,5799.0,828.0,25668.0,144.0,0,1
2015-10-15,2015-10-15 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,0,1700,1700,18100,0,18100,4300,1,w3,1700,0,4300,1242,30240,6959,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/16 00:00:00 EDT,11/01 00:00:00 EST,w3,0,2015-10-21 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-458,12140,2659,0,0,0,0,0,0,6587001,6587003,6587002,2015-10-15 22:23:33,2015-10-15 22:23:33,2015-10-15 22:23:33,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,4300,True,18100,True,-458,12140,2659,-1,-1,-1,148.0,267.0,0,5799.0,828.0,25668.0,148.0,0,1
2015-10-16,2015-10-16 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,2000,0,2000,2000,20100,0,20100,6300,1,w3,2000,0,6300,1242,30240,6959,Out,Limited,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/17 00:00:00 EDT,11/01 00:00:00 EST,w3,0,2015-10-21 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-758,10140,659,0,0,0,0,0,0,6640113,6640115,6640114,2015-10-16 22:24:24,2015-10-16 22:24:24,2015-10-16 22:24:24,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,6300,True,20100,True,-758,10140,659,-1,-1,-1,155.0,267.0,0,5799.0,828.0,25668.0,155.0,0,1
