,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,23008,3,23008,23008,23008,0,23008,46108,1,w1,23008,0,23008,21000,504000,117600,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,18000,14000,420000,420000,98000,-2008,480992,71492,0,0,0,0,0,0,5864482,5864484,5864483,2015-10-01 22:23:53,2015-10-01 22:23:53,2015-10-01 22:23:53,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,23008,True,23008,True,-2008,480992,94592,-1,-1,-1,170.0,133.0,0,98000.0,14000.0,434000.0,170.0,1,1
2015-10-02,2015-10-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,18000,420000,98000,1,30604,3,30604,30604,53612,0,53612,76712,1,w1,30604,0,53612,27000,504000,117600,Out,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-3604,450388,40888,0,0,0,0,0,0,5917104,5917106,5917105,2015-10-02 22:22:59,2015-10-02 22:22:59,2015-10-02 22:22:59,Mansfield,Mansfield,Mansfield,18000,420000,98000,27000,504000,117600,True,False,53612,True,53612,True,-3604,450388,63988,-1,-1,-1,198.0,133.0,0,98000.0,14000.0,434000.0,198.0,1,1
2015-10-03,2015-10-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,15500,3,15500,15500,69112,0,69112,92212,1,w1,15500,0,69112,21000,504000,117600,Limited,Available,Limited,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,5500,434888,25388,0,0,0,0,0,0,5963872,5963874,5963873,2015-10-03 22:22:54,2015-10-03 22:22:54,2015-10-03 22:22:54,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,69112,True,69112,True,5500,434888,48488,-1,-1,-1,170.0,133.0,0,98000.0,14000.0,434000.0,170.0,1,1
2015-10-04,2015-10-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,0,3,0,0,69112,0,69112,92212,1,w1,0,0,69112,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,21000,434888,25388,0,0,0,0,0,0,6010337,6010339,6010338,2015-10-04 22:23:09,2015-10-04 22:23:09,2015-10-04 22:23:09,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,69112,True,69112,True,21000,434888,48488,-1,-1,-1,128.0,0.0,0,98000.0,14000.0,434000.0,128.0,1,1
2015-10-05,2015-10-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,8000,3,8000,8000,77112,0,77112,100212,1,w1,8000,0,77112,21000,504000,117600,Available,Available,Limited,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13000,426888,17388,0,0,0,0,0,0,6064711,6064713,6064712,2015-10-05 22:23:00,2015-10-05 22:23:00,2015-10-05 22:23:00,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,77112,True,77112,True,13000,426888,40488,-1,-1,-1,114.0,0.0,0,98000.0,14000.0,434000.0,114.0,1,1
2015-10-06,2015-10-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,31302,0,31302,31302,108414,0,108414,131514,1,w1,31302,0,108414,21000,504000,117600,Out,Available,Out,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-10302,395586,-13914,10000,10000,10000,3914,3914,3914,6121471,6121473,6121472,2015-10-06 22:23:05,2015-10-06 22:23:05,2015-10-06 22:23:05,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,False,108414,True,108414,True,-10302,395586,9186,10000,-1,-1,133.0,267.0,100,98000.0,14000.0,434000.0,133.0,1,1
2015-10-07,2015-10-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7800,0,7800,7800,116214,0,116214,7800,1,w2,7800,0,7800,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13200,387786,109800,0,0,0,0,0,0,6171489,6171491,6171490,2015-10-07 22:23:25,2015-10-07 22:23:25,2015-10-07 22:23:25,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,7800,True,116214,True,13200,387786,109800,-1,-1,-1,123.0,0.0,0,98000.0,14000.0,434000.0,123.0,1,1
2015-10-08,2015-10-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,0,7500,7500,123714,0,123714,15300,1,w2,7500,0,15300,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,380286,102300,0,0,0,0,0,0,6224633,6224635,6224634,2015-10-08 22:23:45,2015-10-08 22:23:45,2015-10-08 22:23:45,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,15300,True,123714,True,13500,380286,102300,-1,-1,-1,114.0,0.0,0,98000.0,14000.0,434000.0,114.0,1,1
2015-10-09,2015-10-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,23108,0,23108,23108,146822,0,146822,38408,1,w2,23108,0,38408,21000,504000,117600,Out,Available,Available,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,-2108,357178,79192,0,0,0,0,0,0,6275861,6275863,6275862,2015-10-09 22:26:00,2015-10-09 22:26:00,2015-10-09 22:26:00,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,38408,True,146822,True,-2108,357178,79192,-1,-1,-1,120.0,133.0,0,98000.0,14000.0,434000.0,120.0,1,1
2015-10-10,2015-10-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF EAST COAST DIESEL,14000,420000,98000,1,7500,0,7500,7500,154322,0,154322,45908,1,w2,7500,0,45908,21000,504000,117600,Available,Available,Available,150%,150,120%,120,120%,120,On Target,Above Trend,Above Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,14000,14000,420000,420000,98000,13500,349678,71692,0,0,0,0,0,0,6322566,6322568,6322567,2015-10-10 22:22:32,2015-10-10 22:22:32,2015-10-10 22:22:32,Mansfield,Mansfield,Mansfield,14000,420000,98000,21000,504000,117600,True,True,45908,True,154322,True,13500,349678,71692,-1,-1,-1,114.0,0.0,0,98000.0,14000.0,434000.0,114.0,1,1
